game,total_sec,success
20112012_213.html.csv,81,0
20112012_217.html.csv,88,-1
20112012_22.html.csv,112,0
20112012_220.html.csv,74,1
20112012_221.html.csv,54,0
20112012_222.html.csv,98,0
20112012_224.html.csv,69,0
20112012_227.html.csv,44,-1
20112012_228.html.csv,64,0
20112012_230.html.csv,67,-1
20112012_232.html.csv,89,0
20112012_234.html.csv,36,0
20112012_236.html.csv,123,0
20112012_237.html.csv,105,0
20112012_240.html.csv,66,1
20112012_241.html.csv,105,-1
20112012_242.html.csv,137,1
20112012_243.html.csv,213,-1
20112012_244.html.csv,68,0
20112012_247.html.csv,21,0
20112012_249.html.csv,14,-1
20112012_25.html.csv,70,0
20112012_251.html.csv,93,-1
20112012_253.html.csv,25,-1
20112012_255.html.csv,86,0
20112012_257.html.csv,51,0
20112012_26.html.csv,108,-1
20112012_261.html.csv,44,0
20112012_262.html.csv,19,0
20112012_263.html.csv,268,-1
20112012_264.html.csv,137,-1
20112012_265.html.csv,105,-1
20112012_266.html.csv,56,0
20112012_269.html.csv,106,-1
20112012_27.html.csv,88,0
20112012_271.html.csv,40,0
20112012_272.html.csv,95,-1
20112012_274.html.csv,105,-1
20112012_275.html.csv,266,0
20112012_276.html.csv,81,-1
20112012_277.html.csv,324,0
20112012_280.html.csv,38,0
20112012_281.html.csv,56,0
20112012_283.html.csv,100,1
20112012_286.html.csv,67,1
20112012_287.html.csv,68,-1
20112012_288.html.csv,347,-1
20112012_290.html.csv,100,0
20112012_292.html.csv,53,0
20112012_293.html.csv,91,-1
20112012_294.html.csv,99,0
20112012_295.html.csv,62,0
20112012_296.html.csv,199,-1
20112012_298.html.csv,83,0
20112012_30.html.csv,66,0
20112012_307.html.csv,48,0
20112012_308.html.csv,13,0
20112012_309.html.csv,43,1
20112012_31.html.csv,28,1
20112012_310.html.csv,30,-1
20112012_312.html.csv,65,0
20112012_314.html.csv,108,0
20112012_315.html.csv,42,0
20112012_316.html.csv,83,-1
20112012_318.html.csv,111,1
20112012_32.html.csv,109,0
20112012_320.html.csv,84,-1
20112012_323.html.csv,69,0
20112012_326.html.csv,41,0
20112012_327.html.csv,78,0
20112012_328.html.csv,116,-1
20112012_329.html.csv,69,-1
20112012_335.html.csv,104,1
20112012_336.html.csv,92,0
20112012_337.html.csv,304,0
20112012_338.html.csv,44,0
20112012_34.html.csv,67,1
20112012_340.html.csv,321,-1
20112012_341.html.csv,37,-1
20112012_342.html.csv,75,-1
20112012_343.html.csv,86,0
20112012_344.html.csv,88,0
20112012_345.html.csv,62,0
20112012_346.html.csv,39,0
20112012_347.html.csv,48,0
20112012_348.html.csv,55,-1
20112012_349.html.csv,68,-1
20112012_35.html.csv,81,0
