n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C R L D D G,C L L D D G,Period Start- Local time: 7:10 EST,20,00,NYI,PIT
2,1,FAC,C R L D D G,C L L D D G,PIT won Neu. Zone - NYI #91 TAVARES vs PIT #87 CROSBY,20,00,NYI,PIT
3,1,MISS,C R L D D G,C L L D D G,"PIT #14 KUNITZ, Backhand, Hit Crossbar, Off. Zone, 12 ft.",19,32,NYI,PIT
4,1,TAKE,C R R D D G,C L L D D G,"PIT TAKEAWAY - #14 KUNITZ, Off. Zone",19,14,NYI,PIT
5,1,BLOCK,C R R D D G,C C L D D G,"PIT #48 KENNEDY BLOCKED BY  NYI #2 STREIT, Slap, Def. Zone",18,21,NYI,PIT
6,1,STOP,C R R D D G,C C L D D G,PUCK IN NETTING,18,20,NYI,PIT
7,1,FAC,C R L D D G,C L L D D G,NYI won Def. Zone - NYI #16 REASONER vs PIT #71 MALKIN,18,20,NYI,PIT
8,1,GIVE,C R L D D G,C L L D D G,"PIT GIVEAWAY - #71 MALKIN, Off. Zone",17,56,NYI,PIT
9,1,STOP,C R L D D G,C L L D D G,ICING,17,51,NYI,PIT
10,1,FAC,C R L D D G,R R R D D G,NYI won Def. Zone - NYI #16 REASONER vs PIT #12 PARK,17,51,NYI,PIT
11,1,HIT,C L L D D G,R R R D D G,"NYI #29 PANDOLFO HIT PIT #27 ADAMS, Neu. Zone",17,35,NYI,PIT
12,1,BLOCK,C L L D D G,R R R D D G,"PIT #58 LETANG BLOCKED BY  NYI #17 MARTIN, Wrist, Def. Zone",17,25,NYI,PIT
13,1,MISS,C L L D D G,C L L D D G,"NYI #17 MARTIN, Wrist, Wide of Net, Off. Zone, 57 ft.",17,00,NYI,PIT
14,1,HIT,C L L D D G,C L L D D G,"NYI #17 MARTIN HIT PIT #4 MICHALEK, Off. Zone",16,56,NYI,PIT
15,1,STOP,C L L D D G,C L L D D G,PUCK FROZEN,16,52,NYI,PIT
16,1,FAC,C R L D D G,C C L D D G,NYI won Def. Zone - NYI #91 TAVARES vs PIT #11 STAAL,16,52,NYI,PIT
17,1,HIT,C R L D D G,C C L D D G,"NYI #15 PARENTEAU HIT PIT #4 MICHALEK, Off. Zone",16,41,NYI,PIT
18,1,SHOT,C R L D D G,C C L D D G,"NYI ONGOAL - #91 TAVARES, Snap, Off. Zone, 54 ft.",16,37,NYI,PIT
19,1,SHOT,C R L D D G,C C L D D G,"NYI ONGOAL - #47 MACDONALD, Slap, Off. Zone, 55 ft.",16,30,NYI,PIT
20,1,SHOT,C R L D D G,C C L D D G,"NYI ONGOAL - #3 HAMONIC, Slap, Off. Zone, 57 ft.",16,16,NYI,PIT
21,1,STOP,C R R D D G,C L L D D G,PUCK IN BENCHES,15,49,NYI,PIT
22,1,FAC,C R R D D G,C L L D D G,PIT won Neu. Zone - NYI #51 NIELSEN vs PIT #71 MALKIN,15,49,NYI,PIT
23,1,GIVE,C R R D D G,C L L D D G,"NYI GIVEAWAY - #51 NIELSEN, Def. Zone",15,31,NYI,PIT
24,1,MISS,C R R D D G,C L L D D G,"PIT #71 MALKIN, Backhand, Wide of Net, Off. Zone, 12 ft.",15,28,NYI,PIT
25,1,GOAL,C R L D D G,C L L D D G,"PIT #87 CROSBY(1), Backhand, Off. Zone, 11 ft.Assists: #9 DUPUIS(11); #5 ENGELLAND(4)",14,36,NYI,PIT
26,1,FAC,C L L D D G,C L L D D G,NYI won Neu. Zone - NYI #12 BAILEY vs PIT #87 CROSBY,14,36,NYI,PIT
27,1,HIT,C L L D D G,C L L D D G,"NYI #17 MARTIN HIT PIT #2 NISKANEN, Off. Zone",13,52,NYI,PIT
28,1,HIT,C R L D D G,R R R D D G,"NYI #15 PARENTEAU HIT PIT #4 MICHALEK, Off. Zone",13,33,NYI,PIT
29,1,HIT,C R L D D G,R R R D D G,"NYI #27 JURCINA HIT PIT #27 ADAMS, Def. Zone",13,24,NYI,PIT
30,1,BLOCK,C R R D D G,R R R D D G,"NYI #40 GRABNER BLOCKED BY  PIT #7 MARTIN, Backhand, Def. Zone",12,52,NYI,PIT
31,1,SHOT,C R R D D G,R R R D D G,"NYI ONGOAL - #2 STREIT, Slap, Off. Zone, 50 ft.",12,45,NYI,PIT
32,1,BLOCK,C R R D D G,R R R D D G,"NYI #51 NIELSEN BLOCKED BY  PIT #45 ASHAM, Wrist, Def. Zone",12,43,NYI,PIT
33,1,SHOT,C R L D D G,C C L D D G,"NYI ONGOAL - #11 ROLSTON, Wrist, Off. Zone, 25 ft.",12,05,NYI,PIT
34,1,STOP,C R L D D G,C C L D D G,ICING,11,43,NYI,PIT
35,1,FAC,C R L D D G,C L L D D G,PIT won Off. Zone - NYI #16 REASONER vs PIT #71 MALKIN,11,43,NYI,PIT
36,1,HIT,C R L D D G,C L L D D G,"NYI #11 ROLSTON HIT PIT #58 LETANG, Neu. Zone",11,22,NYI,PIT
37,1,STOP,C R L D D G,C L L D D G,"HAND PASS,TV TIMEOUT",11,22,NYI,PIT
38,1,FAC,C L L D D G,C L L D D G,NYI won Neu. Zone - NYI #12 BAILEY vs PIT #71 MALKIN,11,22,NYI,PIT
39,1,SHOT,C L L D D G,C L L D D G,"NYI ONGOAL - #24 STAIOS, Slap, Neu. Zone, 87 ft.",11,17,NYI,PIT
40,1,BLOCK,C L L D D G,C L L D D G,"NYI #24 STAIOS BLOCKED BY  PIT #7 MARTIN, Slap, Def. Zone",11,00,NYI,PIT
41,1,SHOT,C L L D D G,C L L D D G,"NYI ONGOAL - #17 MARTIN, Wrist, Off. Zone, 20 ft.",10,58,NYI,PIT
42,1,MISS,C L L D D G,C L L D D G,"PIT #7 MARTIN, Backhand, Wide of Net, Off. Zone, 34 ft.",10,51,NYI,PIT
43,1,HIT,C L L D D G,C L L D D G,"NYI #41 ULLSTROM HIT PIT #71 MALKIN, Def. Zone",10,47,NYI,PIT
44,1,SHOT,C L L D D G,C L L D D G,"NYI ONGOAL - #12 BAILEY, Slap, Neu. Zone, 85 ft.",10,37,NYI,PIT
45,1,SHOT,C R L D D G,C L L D D G,"PIT ONGOAL - #87 CROSBY, Wrist, Off. Zone, 20 ft.",10,24,NYI,PIT
46,1,SHOT,C R L D D G,C L L D D G,"PIT ONGOAL - #87 CROSBY, Wrist, Def. Zone, 148 ft.",10,20,NYI,PIT
47,1,BLOCK,C R L D D G,C L L D D G,"PIT #14 KUNITZ BLOCKED BY  NYI #27 JURCINA, Wrist, Def. Zone",10,06,NYI,PIT
48,1,PENL,C R L D D G,C L L D D G,"NYI #27 JURCINA Cross checking(2 min), Def. Zone Drawn By: PIT #87 CROSBY",10,01,NYI,PIT
49,1,FAC,C L D D G,C C L L D G,NYI won Def. Zone - NYI #16 REASONER vs PIT #87 CROSBY,10,01,NYI,PIT
50,1,MISS,C L D D G,C C L L D G,"PIT #71 MALKIN, Snap, Goalpost, Off. Zone, 21 ft.",9,21,NYI,PIT
