n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C R L D D G,C C L D D G,Period Start- Local time: 7:07 EST,20,00,PIT,NYR
2,1,FAC,C R L D D G,C C L D D G,NYR won Neu. Zone - PIT #46 VITALE vs NYR #42 ANISIMOV,20,00,PIT,NYR
3,1,HIT,C R L D D G,C C L D D G,"NYR #8 PRUST HIT PIT #24 COOKE, Def. Zone",19,34,PIT,NYR
4,1,TAKE,C R L D D G,C C L D D G,"PIT TAKEAWAY - #27 ADAMS, Neu. Zone",19,19,PIT,NYR
5,1,GIVE,C L L D D G,C R L D D G,"NYR GIVEAWAY - #22 BOYLE, Neu. Zone",18,59,PIT,NYR
6,1,SHOT,C L L D D G,C R L D D G,"PIT ONGOAL - #14 KUNITZ, Snap, Off. Zone, 40 ft.",18,56,PIT,NYR
7,1,SHOT,C L L D D G,C R L D D G,"PIT ONGOAL - #18 NEAL, Tip-In, Off. Zone, 11 ft.",18,52,PIT,NYR
8,1,HIT,C C L D D G,C R L D D G,"NYR #4 DEL ZOTTO HIT PIT #15 JEFFREY, Def. Zone",18,01,PIT,NYR
9,1,BLOCK,C C L D D G,C R L D D G,"PIT #48 KENNEDY BLOCKED BY  NYR #10 GABORIK, Wrist, Def. Zone",17,59,PIT,NYR
10,1,STOP,C C L D D G,C R L D D G,PUCK IN BENCHES,17,53,PIT,NYR
11,1,FAC,R L L D D G,C C C D D G,NYR won Neu. Zone - PIT #12 PARK vs NYR #19 RICHARDS,17,53,PIT,NYR
12,1,HIT,R L L D D G,C C C D D G,"PIT #12 PARK HIT NYR #41 BICKEL, Off. Zone",17,25,PIT,NYR
13,1,HIT,R L L D D G,C C C D D G,"NYR #34 MITCHELL HIT PIT #12 PARK, Off. Zone",17,13,PIT,NYR
14,1,STOP,R L L D D G,C C C D D G,PUCK IN NETTING,17,03,PIT,NYR
15,1,FAC,C L L D D G,C R L D D G,PIT won Def. Zone - PIT #71 MALKIN vs NYR #22 BOYLE,17,03,PIT,NYR
16,1,HIT,C L L D D G,C R L D D G,"PIT #14 KUNITZ HIT NYR #5 GIRARDI, Def. Zone",16,58,PIT,NYR
17,1,SHOT,C L L D D G,C R L D D G,"PIT ONGOAL - #7 MARTIN, Snap, Off. Zone, 14 ft.",16,44,PIT,NYR
18,1,GOAL,C L L D D G,C R L D D G,"PIT #14 KUNITZ(14), Wrist, Off. Zone, 11 ft.Assists: #7 MARTIN(13); #18 NEAL(17)",16,44,PIT,NYR
19,1,FAC,C L L D D G,C R L D D G,PIT won Neu. Zone - PIT #71 MALKIN vs NYR #21 STEPAN,16,44,PIT,NYR
20,1,HIT,C L L D D G,C R L D D G,"NYR #62 HAGELIN HIT PIT #18 NEAL, Off. Zone",16,27,PIT,NYR
21,1,HIT,C L L D D G,C R L D D G,"PIT #44 ORPIK HIT NYR #10 GABORIK, Def. Zone",16,10,PIT,NYR
22,1,STOP,C C R D D G,C R L D D G,PUCK FROZEN,15,56,PIT,NYR
23,1,FAC,C C R D D G,C C L D D G,NYR won Off. Zone - PIT #46 VITALE vs NYR #19 RICHARDS,15,56,PIT,NYR
24,1,BLOCK,C C R D D G,C C L D D G,"PIT #4 MICHALEK BLOCKED BY  NYR #19 RICHARDS, Slap, Def. Zone",15,20,PIT,NYR
25,1,HIT,C C R D D G,C C L D D G,"NYR #8 PRUST HIT PIT #7 MARTIN, Def. Zone",15,14,PIT,NYR
26,1,BLOCK,C C R D D G,C C L D D G,"PIT #27 ADAMS BLOCKED BY  NYR #8 PRUST, Slap, Def. Zone",15,11,PIT,NYR
27,1,SHOT,C C C D D G,C C L D D G,"PIT ONGOAL - #4 MICHALEK, Slap, Off. Zone, 47 ft.",15,05,PIT,NYR
28,1,MISS,C C L D D G,C C C D D G,"PIT #9 DUPUIS, Wrist, Wide of Net, Off. Zone, 48 ft.",14,31,PIT,NYR
29,1,HIT,C C L D D G,C C C D D G,"NYR #71 RUPP HIT PIT #5 ENGELLAND, Off. Zone",14,06,PIT,NYR
30,1,STOP,C C L D D G,C C C D D G,ICING,14,00,PIT,NYR
31,1,FAC,C C L D D G,C R L D D G,PIT won Def. Zone - PIT #15 JEFFREY vs NYR #22 BOYLE,14,00,PIT,NYR
32,1,STOP,C C L D D G,C R L D D G,ICING,13,50,PIT,NYR
33,1,FAC,C C L D D G,C R L D D G,PIT won Def. Zone - PIT #15 JEFFREY vs NYR #21 STEPAN,13,50,PIT,NYR
34,1,HIT,C C L D D G,C R L D D G,"PIT #48 KENNEDY HIT NYR #18 STAAL, Def. Zone",13,41,PIT,NYR
35,1,STOP,R L L D D G,C R L D D G,"OFFSIDE,TV TIMEOUT",13,22,PIT,NYR
36,1,FAC,R L L D D G,C C L D D G,NYR won Neu. Zone - PIT #12 PARK vs NYR #19 RICHARDS,13,22,PIT,NYR
37,1,HIT,R L L D D G,C C L D D G,"PIT #26 SULLIVAN HIT NYR #41 BICKEL, Off. Zone",13,04,PIT,NYR
38,1,SHOT,R L L D D G,C C L D D G,"PIT ONGOAL - #24 COOKE, Wrist, Off. Zone, 31 ft.",12,55,PIT,NYR
