n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PGSTR,,, ,20,00,FLA,MIN
2,1,PGEND,,, ,20,00,FLA,MIN
3,1,ANTHEM,,, ,20,00,FLA,MIN
4,1,PSTR,C R R D D G,C C L D D G,Period Start- Local time: 7:08 CST,20,00,FLA,MIN
5,1,FAC,C R R D D G,C C L D D G,MIN won Neu. Zone - FLA #90 MCCANN vs MIN #12 STAAL,20,00,FLA,MIN
6,1,SHOT,C R R D D G,C C L D D G,"FLA ONGOAL - #90 MCCANN, Tip-In, Off. Zone, 8 ft.",19,36,FLA,MIN
7,1,STOP,C R R D D G,C C L D D G,PUCK FROZEN,19,34,FLA,MIN
8,1,FAC,C C C D D G,C R L D D G,MIN won Def. Zone - FLA #16 BARKOV vs MIN #3 COYLE,19,34,FLA,MIN
9,1,STOP,C C C D D G,C R L D D G,OFFSIDE,19,17,FLA,MIN
10,1,FAC,C C C D D G,C R L D D G,FLA won Neu. Zone - FLA #16 BARKOV vs MIN #3 COYLE,19,17,FLA,MIN
11,1,MISS,C C C D D G,C R L D D G,"FLA #3 YANDLE, Slap, Wide of Net, Neu. Zone, 91 ft.",19,13,FLA,MIN
12,1,MISS,C C C D D G,C R L D D G,"MIN #11 PARISE, Deflected, Wide of Net, Off. Zone, 38 ft.",18,31,FLA,MIN
13,1,SHOT,C C C D D G,C R L D D G,"MIN ONGOAL - #11 PARISE, Snap, Off. Zone, 24 ft.",18,26,FLA,MIN
14,1,SHOT,C C C D D G,C C L D D G,"FLA ONGOAL - #52 WEEGAR, Wrist, Off. Zone, 50 ft.",17,43,FLA,MIN
15,1,GOAL,C C C D D G,C C L D D G,"FLA #62 MALGIN(2), Wrist, Off. Zone, 18 ft.Assists: #52 WEEGAR(4); #72 VATRANO(3)",17,40,FLA,MIN
16,1,FAC,R L L D D G,C C L D D G,MIN won Neu. Zone - FLA #91 LAMMIKKO vs MIN #21 FEHR,17,40,FLA,MIN
17,1,TAKE,R L L D D G,C C L D D G,"FLA TAKEAWAY - #22 BROUWER, Def. Zone",17,13,FLA,MIN
18,1,SHOT,R L L D D G,C C L D D G,"FLA ONGOAL - #73 HUNT, Wrist, Off. Zone, 16 ft.",17,08,FLA,MIN
19,1,BLOCK,C C C D D G,C C L D D G,"FLA #11 HUBERDEAU BLOCKED BY  MIN #46 SPURGEON, Wrist, Def. Zone",16,40,FLA,MIN
20,1,STOP,C C C D D G,C C L D D G,PUCK IN NETTING,16,40,FLA,MIN
21,1,FAC,C C C D D G,C C L D D G,FLA won Off. Zone - FLA #16 BARKOV vs MIN #64 GRANLUND,16,40,FLA,MIN
22,1,GIVE,C C C D D G,C C L D D G,"MIN GIVEAWAY - #12 STAAL, Def. Zone",16,29,FLA,MIN
23,1,TAKE,C C C D D G,C C L D D G,"MIN TAKEAWAY - #12 STAAL, Def. Zone",16,25,FLA,MIN
24,1,SHOT,C C C D D G,C C L D D G,"MIN ONGOAL - #64 GRANLUND, Wrist, Off. Zone, 17 ft.",16,20,FLA,MIN
25,1,GIVE,C R R D D G,C C L D D G,"FLA GIVEAWAY - #3 YANDLE, Def. Zone",15,44,FLA,MIN
26,1,MISS,C R R D D G,C R L D D G,"MIN #24 DUMBA, Slap, Wide of Net, Off. Zone, 65 ft.",15,19,FLA,MIN
27,1,HIT,C R R D D G,C R L D D G,"FLA #13 PYSYK HIT MIN #22 NIEDERREITER, Def. Zone",15,15,FLA,MIN
28,1,STOP,C R R D D G,C R L D D G,GOALIE STOPPED,14,58,FLA,MIN
29,1,FAC,C C C D D G,C C L D D G,MIN won Off. Zone - FLA #62 MALGIN vs MIN #14 ERIKSSON EK,14,58,FLA,MIN
