n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C C C D D G,C R L D D G,Period Start- Local time: 7:08 PST,20,00,T.B,L.A
2,1,FAC,C C C D D G,C R L D D G,L.A won Neu. Zone - T.B #51 FILPPULA vs L.A #11 KOPITAR,20,00,T.B,L.A
3,1,SHOT,C C C D D G,C R L D D G,"L.A ONGOAL - #12 GABORIK, Wrist, Off. Zone, 40 ft.",19,49,T.B,L.A
4,1,BLOCK,C R R D D G,C C L D D G,"L.A #17 LUCIC BLOCKED BY  T.B #5 GARRISON, Wrist, Def. Zone",19,10,T.B,L.A
5,1,HIT,C R L D D G,C C L D D G,"L.A #23 BROWN HIT T.B #9 JOHNSON, Def. Zone",18,06,T.B,L.A
6,1,HIT,C R L D D G,C C L D D G,"T.B #86 KUCHEROV HIT L.A #21 SHORE, Off. Zone",18,01,T.B,L.A
7,1,HIT,C R L D D G,C C L D D G,"T.B #55 COBURN HIT L.A #23 BROWN, Off. Zone",18,01,T.B,L.A
8,1,MISS,C R L D D G,C C L D D G,"T.B #27 DROUIN, Tip-In, Goalpost, Off. Zone, 12 ft.",17,52,T.B,L.A
9,1,HIT,C C C C D D,C C L D D G,"L.A #6 MUZZIN HIT T.B #91 STAMKOS, Def. Zone",17,24,T.B,L.A
10,1,PENL,C C C C D D,C C L D D G,"L.A #6 MUZZIN Interference(2 min), Def. Zone Drawn By: T.B #9 JOHNSON",17,22,T.B,L.A
11,1,FAC,C C C R D G,C L D D G,T.B won Off. Zone - T.B #90 NAMESTNIKOV vs L.A #77 CARTER,17,22,T.B,L.A
12,1,GIVE,C C R L D G,C C D D G,"T.B GIVEAWAY - #77 HEDMAN, Def. Zone",16,13,T.B,L.A
13,1,SHOT,C C R L D G,C C D D G,"L.A ONGOAL - #21 SHORE, Wrist, Neu. Zone, 73 ft.",16,08,T.B,L.A
14,1,TAKE,C C R L D G,C L D D G,"T.B TAKEAWAY - #77 HEDMAN, Neu. Zone",15,52,T.B,L.A
15,1,STOP,C C R L D G,C L D D G,PUCK IN NETTING,15,49,T.B,L.A
16,1,FAC,C C C R D G,C L D D G,T.B won Neu. Zone - T.B #90 NAMESTNIKOV vs L.A #11 KOPITAR,15,49,T.B,L.A
17,1,GIVE,C C C R D G,C L D D G,"T.B GIVEAWAY - #86 KUCHEROV, Off. Zone",15,40,T.B,L.A
18,1,SHOT,C C C R D G,C L D D G,"L.A ONGOAL - #11 KOPITAR, Wrist, Off. Zone, 30 ft.",15,23,T.B,L.A
19,1,STOP,C C C R D G,C L D D D G,GOALIE STOPPED,15,22,T.B,L.A
20,1,FAC,C R R D D G,C R L D D G,T.B won Def. Zone - T.B #11 BOYLE vs L.A #21 SHORE,15,22,T.B,L.A
21,1,STOP,C R R D D G,C R L D D G,PUCK IN BENCHES,15,18,T.B,L.A
22,1,FAC,C R R D D G,C R L D D G,T.B won Def. Zone - T.B #11 BOYLE vs L.A #21 SHORE,15,18,T.B,L.A
23,1,MISS,C C R D D G,C C L D D G,"T.B #42 MARCHESSAULT, Wrist, Wide of Net, Off. Zone, 55 ft.",14,29,T.B,L.A
24,1,HIT,C C R D D G,C C L D D G,"T.B #42 MARCHESSAULT HIT L.A #6 MUZZIN, Off. Zone",14,19,T.B,L.A
25,1,STOP,C C R D D G,C C L D D G,"PUCK IN CROWD,TV TIMEOUT",13,59,T.B,L.A
26,1,FAC,C C C D D G,C R L D D G,T.B won Def. Zone - T.B #91 STAMKOS vs L.A #11 KOPITAR,13,59,T.B,L.A
27,1,GIVE,C C C D D G,C R L D D G,"L.A GIVEAWAY - #3 MCNABB, Neu. Zone",13,45,T.B,L.A
28,1,STOP,C C C D D G,C R L D D G,PUCK IN CROWD,13,41,T.B,L.A
29,1,FAC,C C C D D G,C R L D D G,L.A won Def. Zone - T.B #51 FILPPULA vs L.A #11 KOPITAR,13,41,T.B,L.A
30,1,SHOT,C C C D D G,C R L D D G,"T.B ONGOAL - #17 KILLORN, Snap, Off. Zone, 28 ft.",13,26,T.B,L.A
31,1,GIVE,C C C D D G,C R L D D G,"L.A GIVEAWAY - #3 MCNABB, Def. Zone",13,21,T.B,L.A
32,1,SHOT,C C C D D G,C R L D D G,"L.A ONGOAL - #8 DOUGHTY, Snap, Off. Zone, 29 ft.",13,04,T.B,L.A
33,1,STOP,C R L D D G,C C L D D G,PUCK IN BENCHES,12,45,T.B,L.A
34,1,FAC,C R L D D G,C C L D D G,T.B won Neu. Zone - T.B #27 DROUIN vs L.A #77 CARTER,12,45,T.B,L.A
35,1,HIT,C R L D D G,C C L D D G,"T.B #55 COBURN HIT L.A #77 CARTER, Def. Zone",12,24,T.B,L.A
36,1,SHOT,C R L D D G,C C L D D G,"L.A ONGOAL - #73 TOFFOLI, Slap, Off. Zone, 15 ft.",12,04,T.B,L.A
37,1,STOP,C R L D D G,C C L D D G,GOALIE STOPPED,12,03,T.B,L.A
38,1,FAC,C R R D D G,C C L D D G,T.B won Def. Zone - T.B #11 BOYLE vs L.A #21 SHORE,12,03,T.B,L.A
39,1,MISS,C R R D D G,C C L D D G,"T.B #11 BOYLE, Backhand, Wide of Net, Off. Zone, 34 ft.",11,52,T.B,L.A
40,1,HIT,C R R D D G,C C L D D G,"L.A #15 ANDREOFF HIT T.B #6 STRALMAN, Off. Zone",11,43,T.B,L.A
