n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C R L D D G,C L L D D G,Period Start- Local time: 7:09 PDT,20,00,WPG,L.A
2,1,FAC,C R L D D G,C L L D D G,L.A won Neu. Zone - WPG #55 SCHEIFELE vs L.A #11 KOPITAR,20,00,WPG,L.A
3,1,MISS,C R L D D G,C L L D D G,"WPG #55 SCHEIFELE, Wrist, Wide of Net, Off. Zone, 33 ft.",19,36,WPG,L.A
4,1,MISS,C R L D D G,C L L D D G,"WPG #33 BYFUGLIEN, Wrist, Wide of Net, Off. Zone, 59 ft.",19,32,WPG,L.A
5,1,BLOCK,R L L D D G,C C L D D G,"L.A #73 TOFFOLI BLOCKED BY  WPG #5 STUART, Wrist, Def. Zone",18,50,WPG,L.A
6,1,SHOT,R L L D D G,C C L D D G,"L.A ONGOAL - #23 BROWN, Tip-In, Off. Zone, 9 ft.",18,48,WPG,L.A
7,1,BLOCK,R L L D D G,C C L D D G,"L.A #6 MUZZIN BLOCKED BY  WPG #22 THORBURN, Wrist, Def. Zone",18,41,WPG,L.A
8,1,SHOT,R L L D D G,C C L D D G,"L.A ONGOAL - #6 MUZZIN, Wrist, Off. Zone, 49 ft.",18,38,WPG,L.A
9,1,HIT,R L L D D G,C C L D D G,"L.A #52 SCHENN HIT WPG #17 LOWRY, Neu. Zone",18,32,WPG,L.A
10,1,HIT,C C R D D G,C L L D D G,"L.A #3 MCNABB HIT WPG #33 BYFUGLIEN, Def. Zone",17,17,WPG,L.A
11,1,HIT,C C R D D G,C L L D D G,"WPG #7 CHIAROT HIT L.A #17 LUCIC, Off. Zone",17,04,WPG,L.A
12,1,STOP,C R L D D G,C R L D D G,ICING,16,34,WPG,L.A
13,1,FAC,C R L D D G,C C L D D G,WPG won Def. Zone - WPG #55 SCHEIFELE vs L.A #77 CARTER,16,34,WPG,L.A
14,1,HIT,C R L D D G,C C L D D G,"L.A #23 BROWN HIT WPG #71 MELCHIORI, Off. Zone",16,29,WPG,L.A
15,1,SHOT,C R L D D G,C C L D D G,"L.A ONGOAL - #77 CARTER, Slap, Off. Zone, 41 ft.",16,11,WPG,L.A
16,1,SHOT,C R L D D G,C C L D D G,"WPG ONGOAL - #55 SCHEIFELE, Snap, Off. Zone, 26 ft.",15,52,WPG,L.A
17,1,HIT,C C R D D G,C L L D D G,"WPG #33 BYFUGLIEN HIT L.A #11 KOPITAR, Def. Zone",14,39,WPG,L.A
18,1,BLOCK,C C R D D G,C L L D D G,"L.A #17 LUCIC BLOCKED BY  WPG #7 CHIAROT, Wrist, Def. Zone",14,36,WPG,L.A
19,1,SHOT,C C R D D G,C L L D D G,"L.A ONGOAL - #11 KOPITAR, Wrist, Off. Zone, 8 ft.",14,35,WPG,L.A
20,1,SHOT,C C R D D G,C L L D D G,"L.A ONGOAL - #70 PEARSON, Wrist, Off. Zone, 7 ft.",14,33,WPG,L.A
21,1,HIT,C C R D D G,C L L D D G,"L.A #8 DOUGHTY HIT WPG #40 ARMIA, Neu. Zone",14,23,WPG,L.A
22,1,STOP,C C R D D G,C R L D D G,"HAND PASS,TV TIMEOUT",13,39,WPG,L.A
23,1,FAC,C R L D D G,C C L D D G,L.A won Neu. Zone - WPG #55 SCHEIFELE vs L.A #77 CARTER,13,39,WPG,L.A
24,1,HIT,C R L D D G,C C L D D G,"L.A #3 MCNABB HIT WPG #26 WHEELER, Def. Zone",13,19,WPG,L.A
25,1,SHOT,R L L D D G,C C L D D G,"L.A ONGOAL - #23 BROWN, Snap, Neu. Zone, 72 ft.",12,58,WPG,L.A
26,1,STOP,R L L D D G,C C L D D G,PUCK IN NETTING,12,55,WPG,L.A
27,1,FAC,R L L D D G,C C L D D G,WPG won Neu. Zone - WPG #17 LOWRY vs L.A #44 LECAVALIER,12,55,WPG,L.A
28,1,HIT,R L L D D G,C C L D D G,"L.A #52 SCHENN HIT WPG #13 TANEV, Neu. Zone",12,46,WPG,L.A
29,1,HIT,R L L D D G,C C L D D G,"WPG #71 MELCHIORI HIT L.A #22 LEWIS, Def. Zone",12,36,WPG,L.A
30,1,MISS,R L L D D G,C C L D D G,"L.A #52 SCHENN, Wrist, Wide of Net, Off. Zone, 56 ft.",12,32,WPG,L.A
31,1,MISS,R L L D D G,C C L D D G,"L.A #44 LECAVALIER, Tip-In, Wide of Net, Off. Zone, 9 ft.",12,29,WPG,L.A
32,1,STOP,R L L D D G,C C L D D G,OFFSIDE,12,21,WPG,L.A
33,1,FAC,C C R D D G,C R L D D G,L.A won Neu. Zone - WPG #6 BURMISTROV vs L.A #10 VERSTEEG,12,21,WPG,L.A
34,1,HIT,C C R D D G,C R L D D G,"WPG #5 STUART HIT L.A #13 CLIFFORD, Neu. Zone",12,13,WPG,L.A
35,1,GIVE,C C R D D G,C L L D D G,"WPG GIVEAWAY - #8 TROUBA, Def. Zone",11,37,WPG,L.A
36,1,HIT,C C R D D G,C L L D D G,"L.A #70 PEARSON HIT WPG #5 STUART, Off. Zone",11,28,WPG,L.A
37,1,GOAL,C R L D D G,C C L D D G,"L.A #73 TOFFOLI(31), Wrist, Off. Zone, 11 ft.Assists: #77 CARTER(38); #23 BROWN(17)",10,42,WPG,L.A
38,1,FAC,C C R D D G,C R L D D G,L.A won Neu. Zone - WPG #9 COPP vs L.A #15 ANDREOFF,10,42,WPG,L.A
39,1,HIT,C C R D D G,C R L D D G,"WPG #71 MELCHIORI HIT L.A #13 CLIFFORD, Def. Zone",10,25,WPG,L.A
40,1,STOP,C C R D D G,C R L D D G,ICING,10,05,WPG,L.A
41,1,FAC,C C R D D G,C C L D D G,WPG won Def. Zone - WPG #9 COPP vs L.A #44 LECAVALIER,10,05,WPG,L.A
42,1,GIVE,R L L D D G,C C L D D G,"WPG GIVEAWAY - #5 STUART, Def. Zone",9,46,WPG,L.A
43,1,HIT,R L L D D G,C C L D D G,"L.A #5 MCBAIN HIT WPG #13 TANEV, Def. Zone",9,36,WPG,L.A
44,1,SHOT,R L L D D G,C C L D D G,"WPG ONGOAL - #13 TANEV, Wrist, Off. Zone, 50 ft.",9,29,WPG,L.A
45,1,STOP,R L L D D G,C C L D D G,"GOALIE STOPPED,TV TIMEOUT",9,28,WPG,L.A
46,1,FAC,C C R D D G,C C L D D G,L.A won Def. Zone - WPG #6 BURMISTROV vs L.A #77 CARTER,9,28,WPG,L.A
47,1,MISS,C R L D D G,C L L D D G,"WPG #26 WHEELER, Snap, Goalpost, Off. Zone, 38 ft.",8,49,WPG,L.A
48,1,GIVE,C R L D D G,C L L D D G,"L.A GIVEAWAY - #23 BROWN, Def. Zone",8,40,WPG,L.A
49,1,SHOT,C R L D D G,C L L D D G,"WPG ONGOAL - #55 SCHEIFELE, Wrist, Off. Zone, 28 ft.",8,36,WPG,L.A
50,1,STOP,C R L D D G,C L L D D G,GOALIE STOPPED,8,35,WPG,L.A
51,1,FAC,C R L D D G,C L L D D G,L.A won Def. Zone - WPG #55 SCHEIFELE vs L.A #11 KOPITAR,8,35,WPG,L.A
52,1,SHOT,C R L D D G,C L L D D G,"WPG ONGOAL - #27 EHLERS, Wrist, Off. Zone, 36 ft.",8,17,WPG,L.A
53,1,STOP,C R L D D G,C L L D D G,GOALIE STOPPED,8,16,WPG,L.A
54,1,FAC,R L L D D G,C C L D D G,WPG won Off. Zone - WPG #17 LOWRY vs L.A #44 LECAVALIER,8,16,WPG,L.A
55,1,HIT,R L L D D G,C C L D D G,"WPG #13 TANEV HIT L.A #5 MCBAIN, Off. Zone",7,56,WPG,L.A
56,1,SHOT,R L L D D G,C C L D D G,"L.A ONGOAL - #74 KING, Wrist, Off. Zone, 24 ft.",7,52,WPG,L.A
57,1,HIT,R L L D D G,C C L D D G,"WPG #71 MELCHIORI HIT L.A #74 KING, Def. Zone",7,31,WPG,L.A
58,1,STOP,R L L D D G,C C L D D G,ICING,7,22,WPG,L.A
59,1,FAC,R L L D D G,C R L D D G,L.A won Off. Zone - WPG #17 LOWRY vs L.A #15 ANDREOFF,7,22,WPG,L.A
60,1,SHOT,R L L D D G,C R L D D G,"L.A ONGOAL - #3 MCNABB, Slap, Off. Zone, 55 ft.",7,17,WPG,L.A
61,1,STOP,R L L D D G,C R L D D G,GOALIE STOPPED,7,16,WPG,L.A
62,1,FAC,C C R D D G,C R L D D G,L.A won Off. Zone - WPG #9 COPP vs L.A #10 VERSTEEG,7,16,WPG,L.A
63,1,STOP,C C R D D G,C C L D D G,PUCK IN BENCHES,7,01,WPG,L.A
64,1,FAC,C C R D D G,C C L D D G,WPG won Neu. Zone - WPG #9 COPP vs L.A #77 CARTER,7,01,WPG,L.A
65,1,SHOT,C C R D D G,C C L D D G,"WPG ONGOAL - #9 COPP, Tip-In, Off. Zone, 13 ft.",6,48,WPG,L.A
66,1,STOP,C C R D D G,C C L D D G,GOALIE STOPPED,6,47,WPG,L.A
67,1,FAC,C C R D D G,C L L D D G,WPG won Off. Zone - WPG #12 STAFFORD vs L.A #11 KOPITAR,6,47,WPG,L.A
68,1,GOAL,C C R D D G,C L L D D G,"L.A #70 PEARSON(15), Wrist, Off. Zone, 11 ft.Assists: #17 LUCIC(35); #11 KOPITAR(49)",6,31,WPG,L.A
