n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C R L D D G,C C L D D G,Period Start- Local time: 7:37 MDT,20,00,CGY,EDM
2,1,FAC,C R L D D G,C C L D D G,EDM won Neu. Zone - CGY #18 STAJAN vs EDM #93 NUGENT-HOPKINS,20,00,CGY,EDM
3,1,BLOCK,C R L D D G,C C L D D G,"EDM #58 PETRY BLOCKED BY  CGY #5 GIORDANO, Snap, Def. Zone",19,44,CGY,EDM
4,1,HIT,C R L D D G,C C L D D G,"EDM #28 JONES HIT CGY #18 STAJAN, Off. Zone",19,40,CGY,EDM
5,1,MISS,C R L D D G,C C L D D G,"EDM #93 NUGENT-HOPKINS, Snap, Wide of Net, Off. Zone, 42 ft.",19,35,CGY,EDM
6,1,BLOCK,C R L D D G,C R L D D G,"CGY #25 MOSS BLOCKED BY  EDM #15 SCHULTZ, Snap, Def. Zone",18,47,CGY,EDM
7,1,MISS,C R L D D G,C R L D D G,"CGY #25 MOSS, Backhand, Wide of Net, Off. Zone, 16 ft.",18,46,CGY,EDM
8,1,HIT,C R L D D G,C R L D D G,"CGY #6 SARICH HIT EDM #4 HALL, Off. Zone",18,43,CGY,EDM
9,1,PENL,C R L D D G,C R L D D G,"CGY #6 SARICH Roughing(2 min) Served By: #26 DESBIENS, Off. Zone Drawn By: EDM #6 WHITNEY",18,42,CGY,EDM
10,1,PENL,C R L D G,C R L D D G,"EDM #6 WHITNEY Roughing(2 min) Served By: #14 EBERLE, Def. Zone Drawn By: CGY #6 SARICH",18,42,CGY,EDM
11,1,PENL,C R L D G,C R L D D G,"EDM #6 WHITNEY Roughing(2 min), Def. Zone Drawn By: CGY #6 SARICH",18,42,CGY,EDM
12,1,FAC,C R L L D G,C L D D G,EDM won Neu. Zone - CGY #12 IGINLA vs EDM #10 HORCOFF,18,42,CGY,EDM
13,1,BLOCK,C R L L D G,C L D D G,"CGY #5 GIORDANO BLOCKED BY  EDM #15 SCHULTZ, Wrist, Def. Zone",17,23,CGY,EDM
14,1,TAKE,C R L L D G,C L D D G,"EDM TAKEAWAY - #20 BELANGER, Def. Zone",17,16,CGY,EDM
15,1,SHOT,C L L D D G,C L D D G,"EDM ONGOAL - #20 BELANGER, Wrist, Off. Zone, 33 ft.",17,11,CGY,EDM
16,1,STOP,C L L D D G,C L D D G,GOALIE STOPPED,17,09,CGY,EDM
17,1,FAC,L L L D D G,C L D D G,CGY won Def. Zone - CGY #51 HORAK vs EDM #10 HORCOFF,17,09,CGY,EDM
18,1,MISS,L L L D D G,C L D D G,"CGY #33 BABCHUK, Slap, Wide of Net, Off. Zone, 61 ft.",16,46,CGY,EDM
19,1,HIT,L L L D D G,C C L D D G,"EDM #58 PETRY HIT CGY #47 BAERTSCHI, Def. Zone",16,35,CGY,EDM
20,1,GIVE,L L L D D G,C C L D D G,"EDM GIVEAWAY - #58 PETRY, Def. Zone",16,32,CGY,EDM
21,1,HIT,L L L D D G,C C C D D G,"EDM #14 EBERLE HIT CGY #4 BOUWMEESTER, Off. Zone",16,15,CGY,EDM
22,1,STOP,L L L D D G,C C C D D G,ICING,16,07,CGY,EDM
23,1,FAC,L L L D D G,C C C D D G,EDM won Off. Zone - CGY #51 HORAK vs EDM #93 NUGENT-HOPKINS,16,07,CGY,EDM
24,1,MISS,C R L D D G,C C C D D G,"CGY #5 GIORDANO, Snap, Wide of Net, Off. Zone, 48 ft.",15,40,CGY,EDM
25,1,SHOT,C R L D D G,C C C D D G,"CGY ONGOAL - #5 GIORDANO, Slap, Off. Zone, 63 ft.",15,35,CGY,EDM
26,1,SHOT,C R L D D G,C C R D D G,"CGY ONGOAL - #40 TANGUAY, Backhand, Off. Zone, 10 ft.",15,05,CGY,EDM
27,1,STOP,C R L D D G,C C R D D G,PUCK IN CROWD,14,55,CGY,EDM
28,1,FAC,R R L D D G,C C L D D G,EDM won Neu. Zone - CGY #48 NEMISZ vs EDM #10 HORCOFF,14,55,CGY,EDM
29,1,SHOT,R R L D D G,C C L D D G,"EDM ONGOAL - #94 SMYTH, Slap, Off. Zone, 39 ft.",14,33,CGY,EDM
30,1,HIT,C R L D D G,C C L D D G,"EDM #28 JONES HIT CGY #5 GIORDANO, Off. Zone",13,11,CGY,EDM
31,1,SHOT,C R L D D G,C C L D D G,"EDM ONGOAL - #93 NUGENT-HOPKINS, Snap, Off. Zone, 44 ft.",12,57,CGY,EDM
32,1,SHOT,C R L D D G,C C L D D G,"EDM ONGOAL - #28 JONES, Tip-In, Off. Zone, 14 ft.",12,43,CGY,EDM
33,1,BLOCK,C R L D D G,C C L D D G,"EDM #93 NUGENT-HOPKINS BLOCKED BY  CGY #27 SMITH, Snap, Def. Zone",12,32,CGY,EDM
34,1,HIT,C R L D D G,C C L D D G,"EDM #25 SUTTON HIT CGY #27 SMITH, Off. Zone",12,28,CGY,EDM
35,1,GIVE,R L L D D G,C C L D D G,"CGY GIVEAWAY - #23 HANNAN, Def. Zone",12,06,CGY,EDM
36,1,GIVE,R L L D D G,C C L D D G,"EDM GIVEAWAY - #10 HORCOFF, Neu. Zone",12,00,CGY,EDM
37,1,GIVE,R L L D D G,C C L D D G,"CGY GIVEAWAY - #10 COMEAU, Off. Zone",11,45,CGY,EDM
38,1,BLOCK,R L L D D G,C C L D D G,"EDM #37 PETRELL BLOCKED BY  CGY #33 BABCHUK, Snap, Def. Zone",11,38,CGY,EDM
39,1,SHOT,R R L D D G,C C R D D G,"CGY ONGOAL - #27 SMITH, Snap, Off. Zone, 56 ft.",11,05,CGY,EDM
40,1,GIVE,R R L D D G,C C R D D G,"EDM GIVEAWAY - #58 PETRY, Def. Zone",11,01,CGY,EDM
