n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C C L D D G,C L L D D G,Period Start- Local time: 6:08 PST,20,00,EDM,VAN
2,1,FAC,C C L D D G,C L L D D G,VAN won Neu. Zone - EDM #93 NUGENT-HOPKINS vs VAN #33 SEDIN,20,00,EDM,VAN
3,1,TAKE,C C L D D G,C L L D D G,"VAN TAKEAWAY - #22 SEDIN, Off. Zone",19,43,EDM,VAN
4,1,PENL,C C L D D G,C L L D D G,"EDM #4 HALL Tripping(2 min), Neu. Zone Drawn By: VAN #22 SEDIN",19,21,EDM,VAN
5,1,FAC,C C D D G,C L L D D G,EDM won Def. Zone - EDM #93 NUGENT-HOPKINS vs VAN #25 EBBETT,19,21,EDM,VAN
6,1,GIVE,C C D D G,C L L D D G,"EDM GIVEAWAY - #44 POTTER, Def. Zone",18,55,EDM,VAN
7,1,MISS,C C D D G,C L L D D G,"VAN #2 HAMHUIS, Wrist, Wide of Net, Off. Zone, 45 ft.",18,50,EDM,VAN
8,1,SHOT,C C D D G,C L L D D G,"VAN ONGOAL - #2 HAMHUIS, Wrist, Off. Zone, 47 ft.",18,42,EDM,VAN
9,1,TAKE,C C D D G,C L L D D G,"EDM TAKEAWAY - #44 POTTER, Def. Zone",18,38,EDM,VAN
10,1,HIT,C C D D G,C L L D D G,"VAN #20 HIGGINS HIT EDM #37 PETRELL, Off. Zone",18,24,EDM,VAN
11,1,STOP,C C D D G,C L L D D G,PUCK IN BENCHES,18,24,EDM,VAN
12,1,FAC,C C D D G,C R L D D G,EDM won Def. Zone - EDM #20 BELANGER vs VAN #33 SEDIN,18,24,EDM,VAN
13,1,HIT,C C D D G,C R L D D G,"EDM #5 SMID HIT VAN #22 SEDIN, Def. Zone",18,12,EDM,VAN
14,1,MISS,C L D D G,C R L D D G,"VAN #22 SEDIN, Wrist, Wide of Net, Off. Zone, 19 ft.",17,35,EDM,VAN
15,1,SHOT,C L D D G,C R L D D G,"EDM ONGOAL - #10 HORCOFF, Wrist, Off. Zone, 39 ft.",17,25,EDM,VAN
16,1,SHOT,C R L D D G,C R L D D G,"VAN ONGOAL - #9 KASSIAN, Wrist, Off. Zone, 37 ft.",17,13,EDM,VAN
17,1,STOP,C R L D D G,C R L D D G,GOALIE STOPPED,17,13,EDM,VAN
18,1,FAC,C R R D D G,C R L D D G,EDM won Def. Zone - EDM #83 HEMSKY vs VAN #40 LAPIERRE,17,13,EDM,VAN
19,1,SHOT,C R R D D G,C R L D D G,"EDM ONGOAL - #2 PETRY, Wrist, Off. Zone, 35 ft.",16,41,EDM,VAN
20,1,HIT,C R R D D G,C R L D D G,"VAN #4 BALLARD HIT EDM #83 HEMSKY, Def. Zone",16,36,EDM,VAN
21,1,BLOCK,C C L D D G,C R L D D G,"EDM #4 HALL BLOCKED BY  VAN #2 HAMHUIS, Wrist, Def. Zone",16,09,EDM,VAN
22,1,MISS,C C L D D G,C R L D D G,"VAN #15 VOLPATTI, Wrist, Wide of Net, Off. Zone, 30 ft.",15,42,EDM,VAN
23,1,BLOCK,C C L D D G,C L L D D G,"VAN #5 GARRISON BLOCKED BY  EDM #37 PETRELL, Slap, Def. Zone",15,11,EDM,VAN
24,1,STOP,C C L D D G,C L L D D G,PUCK IN NETTING,15,11,EDM,VAN
25,1,FAC,C C L D D G,C L L D D G,VAN won Off. Zone - EDM #20 BELANGER vs VAN #33 SEDIN,15,11,EDM,VAN
26,1,SHOT,C C L D D G,C L L D D G,"EDM ONGOAL - #55 EAGER, Slap, Off. Zone, 69 ft.",14,56,EDM,VAN
27,1,HIT,C C L D D G,C L L D D G,"EDM #37 PETRELL HIT VAN #5 GARRISON, Off. Zone",14,53,EDM,VAN
