n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C C R D D G,C C L D D G,Period Start- Local time: 7:11 MST,20,00,T.B,COL
2,1,FAC,C C R D D G,C C L D D G,T.B won Neu. Zone - T.B #9 JOHNSON vs COL #29 MACKINNON,20,00,T.B,COL
3,1,HIT,C C R D D G,C L L D D G,"T.B #13 PAQUETTE HIT COL #5 GUENIN, Off. Zone",18,58,T.B,COL
4,1,SHOT,C C L D D G,C R L D D G,"T.B ONGOAL - #89 NESTEROV, Wrist, Off. Zone, 18 ft.",18,08,T.B,COL
5,1,MISS,C C L D D G,C R L D D G,"T.B #55 COBURN, Wrist, Wide of Net, Off. Zone, 40 ft.",18,06,T.B,COL
6,1,STOP,C R R D D G,C R L D D G,ICING,17,29,T.B,COL
7,1,FAC,C R R D D G,C R L D D G,COL won Off. Zone - T.B #90 NAMESTNIKOV vs COL #7 MITCHELL,17,29,T.B,COL
8,1,BLOCK,C R R D D G,C R L D D G,"COL #41 BODNARCHUK BLOCKED BY  T.B #24 CALLAHAN, Wrist, Def. Zone",17,23,T.B,COL
9,1,TAKE,C R R D D G,C R L D D G,"COL TAKEAWAY - #7 MITCHELL, Off. Zone",17,12,T.B,COL
10,1,SHOT,C R R D D G,C R L D D G,"T.B ONGOAL - #11 BOYLE, Wrist, Off. Zone, 32 ft.",16,47,T.B,COL
11,1,MISS,C R R D D G,C R L D D G,"T.B #11 BOYLE, Backhand, Wide of Net, Off. Zone, 19 ft.",16,45,T.B,COL
12,1,SHOT,C C R D D G,C C L D D G,"COL ONGOAL - #29 MACKINNON, Wrist, Off. Zone, 38 ft.",16,11,T.B,COL
13,1,TAKE,C C R D D G,C C L D D G,"T.B TAKEAWAY - #5 GARRISON, Def. Zone",16,05,T.B,COL
14,1,STOP,C C R D D G,C C L D D G,ICING,16,00,T.B,COL
15,1,FAC,C C R D D G,C L L D D G,T.B won Def. Zone - T.B #9 JOHNSON vs COL #34 SODERBERG,16,00,T.B,COL
16,1,BLOCK,C C R D D G,C L L D D G,"COL #14 COMEAU BLOCKED BY  T.B #62 SUSTR, Snap, Def. Zone",15,46,T.B,COL
17,1,SHOT,C C R D D G,C L L D D G,"COL ONGOAL - #34 SODERBERG, Wrist, Off. Zone, 25 ft.",15,38,T.B,COL
18,1,STOP,C C R D D G,C L L D D G,GOALIE STOPPED,15,38,T.B,COL
19,1,FAC,C C R D D G,C L L D D G,T.B won Def. Zone - T.B #51 FILPPULA vs COL #14 COMEAU,15,38,T.B,COL
20,1,SHOT,C C R D D G,C L L D D G,"T.B ONGOAL - #24 CALLAHAN, Slap, Off. Zone, 39 ft.",15,16,T.B,COL
21,1,HIT,C R L D D G,C L L D D G,"T.B #89 NESTEROV HIT COL #14 COMEAU, Def. Zone",14,50,T.B,COL
22,1,MISS,C C L D D G,C R L D D G,"T.B #90 NAMESTNIKOV, Deflected, Wide of Net, Off. Zone, 17 ft.",14,45,T.B,COL
23,1,HIT,C C L D D G,C R L D D G,"T.B #91 STAMKOS HIT COL #12 IGINLA, Neu. Zone",14,37,T.B,COL
24,1,SHOT,C C L D D G,C R L D D G,"T.B ONGOAL - #18 PALAT, Wrist, Off. Zone, 44 ft.",14,26,T.B,COL
25,1,STOP,C C L D D G,C R L D D G,GOALIE STOPPED,14,26,T.B,COL
26,1,FAC,C C L D D G,C R L D D G,T.B won Off. Zone - T.B #90 NAMESTNIKOV vs COL #7 MITCHELL,14,26,T.B,COL
27,1,MISS,C C L D D G,C R L D D G,"T.B #55 COBURN, Snap, Wide of Net, Off. Zone, 44 ft.",14,22,T.B,COL
28,1,BLOCK,C C L D D G,C R L D D G,"T.B #91 STAMKOS BLOCKED BY  COL #32 BEAUCHEMIN, Slap, Def. Zone",14,19,T.B,COL
29,1,HIT,C C L D D G,C R L D D G,"COL #32 BEAUCHEMIN HIT T.B #90 NAMESTNIKOV, Def. Zone",14,19,T.B,COL
30,1,SHOT,C C L D D G,C R L D D G,"T.B ONGOAL - #55 COBURN, Slap, Off. Zone, 60 ft.",14,01,T.B,COL
31,1,BLOCK,C C C D D G,C R L D D G,"T.B #90 NAMESTNIKOV BLOCKED BY  COL #41 BODNARCHUK, Wrist, Def. Zone",13,54,T.B,COL
32,1,STOP,C C R D D G,C R L D D G,"PUCK IN BENCHES,TV TIMEOUT",13,52,T.B,COL
33,1,FAC,C C R D D G,C R L D D G,T.B won Neu. Zone - T.B #51 FILPPULA vs COL #25 GRIGORENKO,13,52,T.B,COL
34,1,STOP,C C R D D G,C R L D D G,ICING,13,41,T.B,COL
35,1,FAC,C C R D D G,C R L D D G,T.B won Def. Zone - T.B #51 FILPPULA vs COL #25 GRIGORENKO,13,41,T.B,COL
36,1,TAKE,C C R D D G,C R L D D G,"COL TAKEAWAY - #27 MARTINSEN, Def. Zone",13,17,T.B,COL
37,1,BLOCK,C C R D D G,C C L D D G,"T.B #86 KUCHEROV BLOCKED BY  COL #4 BARRIE, Wrist, Def. Zone",12,51,T.B,COL
38,1,SHOT,C C R D D G,C C L D D G,"T.B ONGOAL - #17 KILLORN, Wrist, Off. Zone, 26 ft.",12,47,T.B,COL
39,1,STOP,C C R D D G,C C L D D G,GOALIE STOPPED,12,47,T.B,COL
40,1,FAC,C C R D D G,C R L D D G,COL won Def. Zone - T.B #9 JOHNSON vs COL #7 MITCHELL,12,47,T.B,COL
41,1,HIT,C C R D D G,C R L D D G,"COL #55 MCLEOD HIT T.B #5 GARRISON, Off. Zone",12,28,T.B,COL
42,1,HIT,C C R D D G,C R L D D G,"COL #8 SKILLE HIT T.B #86 KUCHEROV, Off. Zone",12,23,T.B,COL
43,1,STOP,C C R D D G,C R L D D G,PUCK IN CROWD,12,19,T.B,COL
44,1,FAC,C C L D D G,C L L D D G,COL won Neu. Zone - T.B #91 STAMKOS vs COL #34 SODERBERG,12,19,T.B,COL
45,1,MISS,C C L D D G,C L L D D G,"COL #14 COMEAU, Wrist, Wide of Net, Off. Zone, 46 ft.",11,49,T.B,COL
46,1,STOP,C C L D D G,C L L D D G,GOALIE STOPPED,11,49,T.B,COL
47,1,FAC,C C R D D G,C C L D D G,COL won Off. Zone - T.B #51 FILPPULA vs COL #29 MACKINNON,11,49,T.B,COL
48,1,BLOCK,C C R D D G,C C L D D G,"COL #4 BARRIE BLOCKED BY  T.B #6 STRALMAN, Backhand, Def. Zone",11,39,T.B,COL
49,1,PENL,C C R D D G,C C L D D G,"COL #40 TANGUAY Hooking(2 min), Off. Zone Drawn By: T.B #51 FILPPULA",11,37,T.B,COL
50,1,FAC,C C C R D G,C L D D G,COL won Def. Zone - T.B #51 FILPPULA vs COL #7 MITCHELL,11,37,T.B,COL
