n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C R L D D G,C L L D D G,Period Start- Local time: 8:17 CST,20,00,COL,MIN
2,1,FAC,C R L D D G,C L L D D G,MIN won Neu. Zone - COL #9 DUCHENE vs MIN #9 KOIVU,20,00,COL,MIN
3,1,STOP,C R L D D G,C L L D D G,OFFSIDE,19,54,COL,MIN
4,1,FAC,C R L D D G,C L L D D G,MIN won Neu. Zone - COL #9 DUCHENE vs MIN #9 KOIVU,19,54,COL,MIN
5,1,SHOT,C R L D D G,C L L D D G,"MIN ONGOAL - #9 KOIVU, Wrist, Off. Zone, 59 ft.",19,29,COL,MIN
6,1,HIT,C R L D D G,C L L D D G,"COL #92 LANDESKOG HIT MIN #15 HEATLEY, Def. Zone",19,24,COL,MIN
7,1,SHOT,C R L D D G,C L L D D G,"MIN ONGOAL - #11 PARISE, Tip-In, Off. Zone, 26 ft.",19,18,COL,MIN
8,1,STOP,C R L D D G,C L L D D G,GOALIE STOPPED,19,17,COL,MIN
9,1,FAC,C R L D D G,C C R D D G,COL won Def. Zone - COL #26 STASTNY vs MIN #21 BRODZIAK,19,17,COL,MIN
10,1,STOP,C R L D D G,C C R D D G,PUCK FROZEN,19,01,COL,MIN
11,1,FAC,C R L D D G,C C R D D G,COL won Def. Zone - COL #26 STASTNY vs MIN #21 BRODZIAK,19,01,COL,MIN
12,1,STOP,C R R D D G,C C R D D G,ICING,18,44,COL,MIN
13,1,FAC,C R R D D G,C L L D D G,COL won Def. Zone - COL #26 STASTNY vs MIN #9 KOIVU,18,44,COL,MIN
14,1,HIT,C R R D D G,C L L D D G,"MIN #20 SUTER HIT COL #27 DOWNIE, Def. Zone",18,08,COL,MIN
15,1,SHOT,C R R D D G,C L L D D G,"COL ONGOAL - #27 DOWNIE, Backhand, Off. Zone, 16 ft.",17,55,COL,MIN
16,1,GOAL,C R R D D G,C L L D D G,"COL #7 MITCHELL(1), Wrist, Off. Zone, 4 ft.Assists: #27 DOWNIE(1); #23 HEJDUK(1)",17,53,COL,MIN
17,1,FAC,C R L D D G,C C R D D G,COL won Neu. Zone - COL #9 DUCHENE vs MIN #64 GRANLUND,17,53,COL,MIN
18,1,HIT,C R L D D G,C C R D D G,"MIN #4 STONER HIT COL #15 PARENTEAU, Neu. Zone",17,44,COL,MIN
19,1,SHOT,C R L D D G,C C R D D G,"COL ONGOAL - #92 LANDESKOG, Wrist, Off. Zone, 29 ft.",17,41,COL,MIN
20,1,STOP,C R L D D G,C C R D D G,GOALIE STOPPED,17,40,COL,MIN
21,1,FAC,C L L D D G,C C C D D G,MIN won Def. Zone - COL #58 BORDELEAU vs MIN #28 KONOPKA,17,40,COL,MIN
22,1,PENL,C L L D D G,C C C D D G,"MIN #28 KONOPKA Fighting (maj)(5 min), Def. Zone Drawn By: COL #55 MCLEOD",17,32,COL,MIN
23,1,PENL,C L L D D G,C C D D G,"COL #55 MCLEOD Fighting (maj)(5 min), Off. Zone Drawn By: MIN #28 KONOPKA",17,32,COL,MIN
24,1,PENL,C L D D G,C C D D G,"MIN #28 KONOPKA Interference(2 min) Served By: #15 HEATLEY, Def. Zone Drawn By: COL #55 MCLEOD",17,32,COL,MIN
25,1,FAC,C R R L D G,C R D D G,MIN won Def. Zone - COL #9 DUCHENE vs MIN #21 BRODZIAK,17,32,COL,MIN
26,1,GIVE,C R R L D G,C R D D G,"MIN GIVEAWAY - #4 STONER, Def. Zone",17,24,COL,MIN
27,1,BLOCK,C R R L D G,C R D D G,"COL #9 DUCHENE BLOCKED BY  MIN #4 STONER, Wrist, Def. Zone",17,00,COL,MIN
28,1,SHOT,C R R L D G,C L D D G,"COL ONGOAL - #11 MCGINN, Wrap-around, Off. Zone, 6 ft.",16,10,COL,MIN
29,1,SHOT,C R R L D G,C L D D G,"COL ONGOAL - #11 MCGINN, Wrist, Off. Zone, 11 ft.",16,08,COL,MIN
30,1,STOP,C R R L D G,C L D D G,GOALIE STOPPED,16,07,COL,MIN
31,1,FAC,C R R L D G,C C D D G,MIN won Def. Zone - COL #26 STASTNY vs MIN #21 BRODZIAK,16,07,COL,MIN
32,1,BLOCK,C R R L D G,C C L D D G,"COL #11 MCGINN BLOCKED BY  MIN #44 FALK, Snap, Def. Zone",15,32,COL,MIN
33,1,BLOCK,C R R L D G,C C L D D G,"COL #54 JONES BLOCKED BY  MIN #14 POWE, Wrist, Def. Zone",15,24,COL,MIN
34,1,STOP,C R R L D G,C C L D D G,PUCK IN NETTING,15,23,COL,MIN
35,1,FAC,C C L D D G,C L L D D G,MIN won Def. Zone - COL #7 MITCHELL vs MIN #9 KOIVU,15,23,COL,MIN
36,1,HIT,C R L D D G,C L L D D G,"COL #15 PARENTEAU HIT MIN #11 PARISE, Neu. Zone",15,07,COL,MIN
37,1,HIT,C R L D D G,C L L D D G,"MIN #15 HEATLEY HIT COL #92 LANDESKOG, Off. Zone",14,57,COL,MIN
38,1,SHOT,C R L D D G,C L L D D G,"COL ONGOAL - #92 LANDESKOG, Backhand, Off. Zone, 25 ft.",14,48,COL,MIN
39,1,HIT,C C L D D G,C C R D D G,"COL #7 MITCHELL HIT MIN #10 SETOGUCHI, Off. Zone",14,14,COL,MIN
40,1,HIT,C C L D D G,C C R D D G,"COL #7 MITCHELL HIT MIN #7 CULLEN, Def. Zone",14,02,COL,MIN
41,1,HIT,C C L D D G,C C R D D G,"MIN #10 SETOGUCHI HIT COL #44 WILSON, Off. Zone",13,57,COL,MIN
42,1,BLOCK,C R L D D G,C C R D D G,"COL #54 JONES BLOCKED BY  MIN #22 CLUTTERBUCK, Backhand, Def. Zone",13,19,COL,MIN
43,1,SHOT,C R L D D G,C C R D D G,"MIN ONGOAL - #22 CLUTTERBUCK, Slap, Off. Zone, 55 ft.",13,13,COL,MIN
44,1,HIT,C R L D D G,C C R D D G,"COL #4 ZANON HIT MIN #39 PROSSER, Def. Zone",13,11,COL,MIN
45,1,STOP,C R L D D G,C C R D D G,"GOALIE STOPPED,TV TIMEOUT",13,09,COL,MIN
46,1,FAC,C C R D D G,C L L D D G,COL won Def. Zone - COL #26 STASTNY vs MIN #9 KOIVU,13,09,COL,MIN
47,1,GIVE,C C R D D G,C L L D D G,"MIN GIVEAWAY - #11 PARISE, Off. Zone",12,56,COL,MIN
48,1,HIT,C R R D D G,C L L D D G,"MIN #46 SPURGEON HIT COL #7 MITCHELL, Def. Zone",12,48,COL,MIN
49,1,HIT,C R R D D G,C C L D D G,"COL #27 DOWNIE HIT MIN #21 BRODZIAK, Def. Zone",12,16,COL,MIN
50,1,SHOT,C R L D D G,C C C D D G,"COL ONGOAL - #92 LANDESKOG, Wrist, Off. Zone, 52 ft.",11,49,COL,MIN
51,1,HIT,C R L D D G,C C R D D G,"MIN #64 GRANLUND HIT COL #40 OLVER, Def. Zone",11,34,COL,MIN
52,1,HIT,C R L D D G,C C R D D G,"COL #40 OLVER HIT MIN #39 PROSSER, Off. Zone",11,28,COL,MIN
53,1,SHOT,C R L D D G,C C R D D G,"COL ONGOAL - #8 HEJDA, Slap, Neu. Zone, 86 ft.",11,13,COL,MIN
54,1,STOP,C R L D D G,C C R D D G,GOALIE STOPPED,11,11,COL,MIN
55,1,FAC,C R L D D G,C C R D D G,MIN won Def. Zone - COL #26 STASTNY vs MIN #64 GRANLUND,11,11,COL,MIN
56,1,PENL,C R L D D G,C C R D D G,"MIN #20 SUTER Tripping(2 min), Off. Zone Drawn By: COL #11 MCGINN",10,55,COL,MIN
57,1,FAC,C R R L D G,C L D D G,COL won Off. Zone - COL #26 STASTNY vs MIN #9 KOIVU,10,55,COL,MIN
58,1,BLOCK,C R R L D G,C L D D G,"COL #6 JOHNSON BLOCKED BY  MIN #11 PARISE, Slap, Def. Zone",10,48,COL,MIN
59,1,HIT,C R R L D G,C R D D G,"MIN #4 STONER HIT COL #11 MCGINN, Def. Zone",10,22,COL,MIN
60,1,MISS,C R R L D G,C R D D G,"COL #11 MCGINN, Snap, Goalpost, Off. Zone, 33 ft.",10,20,COL,MIN
61,1,TAKE,C R R L D G,C R D D G,"MIN TAKEAWAY - #77 GILBERT, Def. Zone",10,07,COL,MIN
62,1,TAKE,C R R L D G,C R D D G,"MIN TAKEAWAY - #22 CLUTTERBUCK, Def. Zone",9,31,COL,MIN
63,1,HIT,C C L D D G,C L D D G,"COL #7 MITCHELL HIT MIN #46 SPURGEON, Off. Zone",9,01,COL,MIN
64,1,GIVE,C R L D D G,C L D D D G,"MIN GIVEAWAY - #46 SPURGEON, Def. Zone",8,49,COL,MIN
65,1,SHOT,C R L D D G,C L D D D G,"COL ONGOAL - #55 MCLEOD, Wrist, Off. Zone, 18 ft.",8,48,COL,MIN
66,1,STOP,C R L D D G,C L D D G,ICING,8,37,COL,MIN
67,1,FAC,C R L D D G,C C R D D G,MIN won Off. Zone - COL #54 JONES vs MIN #64 GRANLUND,8,37,COL,MIN
68,1,BLOCK,C R L D D G,C C R D D G,"MIN #44 FALK BLOCKED BY  COL #7 MITCHELL, Wrist, Def. Zone",8,33,COL,MIN
69,1,STOP,C R L D D G,C C R D D G,"PUCK IN NETTING,TV TIMEOUT",8,32,COL,MIN
70,1,FAC,C R L D D G,C C R D D G,MIN won Off. Zone - COL #54 JONES vs MIN #64 GRANLUND,8,32,COL,MIN
71,1,HIT,C R L D D G,C C R D D G,"COL #11 MCGINN HIT MIN #96 BOUCHARD, Def. Zone",8,21,COL,MIN
72,1,HIT,C R L D D G,C C R D D G,"MIN #22 CLUTTERBUCK HIT COL #8 HEJDA, Off. Zone",7,41,COL,MIN
73,1,HIT,C R L D D G,C C L D D G,"COL #3 O'BYRNE HIT MIN #7 CULLEN, Def. Zone",7,16,COL,MIN
