n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C C R D D G,C C R D D G,Period Start- Local time: 1:05 EST,20,00,STL,NYI
2,1,FAC,C C R D D G,C C R D D G,STL won Neu. Zone - STL #42 BACKES vs NYI #51 NIELSEN,20,00,STL,NYI
3,1,HIT,C C R D D G,C C R D D G,"NYI #2 LEDDY HIT STL #21 BERGLUND, Def. Zone",19,43,STL,NYI
4,1,GIVE,C C R D D G,C C R D D G,"STL GIVEAWAY - #27 PIETRANGELO, Def. Zone",19,18,STL,NYI
5,1,GIVE,C C R D D G,C C R D D G,"NYI GIVEAWAY - #40 GRABNER, Off. Zone",19,13,STL,NYI
6,1,SHOT,C C L D D G,C R L D D G,"NYI ONGOAL - #21 OKPOSO, Wrist, Off. Zone, 36 ft.",19,01,STL,NYI
7,1,STOP,C C L D D G,C R L D D G,GOALIE STOPPED,19,01,STL,NYI
8,1,FAC,C C L D D G,C R L D D G,NYI won Off. Zone - STL #26 STASTNY vs NYI #21 OKPOSO,19,01,STL,NYI
9,1,STOP,C C L D D G,C R L D D G,ICING,18,50,STL,NYI
10,1,FAC,C C L D D G,C R L D D G,NYI won Off. Zone - STL #26 STASTNY vs NYI #91 TAVARES,18,50,STL,NYI
11,1,HIT,C C L D D G,C R L D D G,"NYI #8 REINHART HIT STL #56 PAAJARVI, Off. Zone",18,36,STL,NYI
12,1,BLOCK,C C L D D G,C R L D D G,"NYI #8 REINHART BLOCKED BY  STL #22 SHATTENKIRK, Wrist, Def. Zone",18,17,STL,NYI
13,1,BLOCK,C C R D D G,C C C D D G,"NYI #29 NELSON BLOCKED BY  STL #48 LINDBOHM, Slap, Def. Zone",17,58,STL,NYI
14,1,STOP,C C R D D G,C C C D D G,PUCK IN NETTING,17,58,STL,NYI
15,1,FAC,C C R D D G,C C C D D G,STL won Def. Zone - STL #12 LEHTERA vs NYI #29 NELSON,17,58,STL,NYI
16,1,STOP,C C R D D G,C C C D D G,ICING,17,51,STL,NYI
17,1,FAC,C C R D D G,C C C D D G,NYI won Off. Zone - STL #12 LEHTERA vs NYI #18 STROME,17,51,STL,NYI
18,1,SHOT,C C R D D G,C C C D D G,"NYI ONGOAL - #29 NELSON, Slap, Off. Zone, 39 ft.",17,47,STL,NYI
19,1,SHOT,C C R D D G,C C C D D G,"NYI ONGOAL - #18 STROME, Wrist, Off. Zone, 7 ft.",17,40,STL,NYI
20,1,SHOT,C C R D D G,C C C D D G,"NYI ONGOAL - #27 LEE, Wrist, Off. Zone, 7 ft.",17,40,STL,NYI
21,1,STOP,C C R D D G,C C C D D G,GOALIE STOPPED,17,39,STL,NYI
22,1,FAC,C C R D D G,C R L D D G,NYI won Off. Zone - STL #9 OTT vs NYI #53 CIZIKAS,17,39,STL,NYI
23,1,HIT,C C R D D G,C R L D D G,"STL #9 OTT HIT NYI #46 DONOVAN, Neu. Zone",17,21,STL,NYI
24,1,GIVE,C C R D D G,C R L D D G,"NYI GIVEAWAY - #41 HALAK, Def. Zone",16,56,STL,NYI
25,1,HIT,C C R D D G,C R L D D G,"NYI #17 MARTIN HIT STL #22 SHATTENKIRK, Def. Zone",16,49,STL,NYI
26,1,SHOT,C C R D D G,C R L D D G,"STL ONGOAL - #22 SHATTENKIRK, Wrist, Off. Zone, 19 ft.",16,47,STL,NYI
27,1,GIVE,C C R D D G,C R L D D G,"STL GIVEAWAY - #22 SHATTENKIRK, Def. Zone",16,31,STL,NYI
28,1,STOP,C C R D D G,C R L D D G,OFFSIDE,16,27,STL,NYI
29,1,FAC,C C R D D G,C R L D D G,STL won Neu. Zone - STL #12 LEHTERA vs NYI #91 TAVARES,16,27,STL,NYI
30,1,HIT,C C R D D G,C R L D D G,"NYI #37 STRAIT HIT STL #17 SCHWARTZ, Def. Zone",16,14,STL,NYI
31,1,MISS,C C R D D G,C R L D D G,"NYI #86 KULEMIN, Tip-In, Over Net, Off. Zone, 27 ft.",15,56,STL,NYI
32,1,HIT,C C R D D G,C R L D D G,"STL #17 SCHWARTZ HIT NYI #91 TAVARES, Def. Zone",15,56,STL,NYI
33,1,HIT,C C R D D G,C R L D D G,"STL #27 PIETRANGELO HIT NYI #37 STRAIT, Def. Zone",15,49,STL,NYI
34,1,STOP,C C R D D G,C C C D D G,OFFSIDE,15,30,STL,NYI
35,1,FAC,C C R D D G,C C R D D G,NYI won Neu. Zone - STL #21 BERGLUND vs NYI #51 NIELSEN,15,30,STL,NYI
36,1,GIVE,C C R D D G,C C R D D G,"NYI GIVEAWAY - #44 DE HAAN, Neu. Zone",15,21,STL,NYI
37,1,SHOT,C C R D D G,C C R D D G,"STL ONGOAL - #21 BERGLUND, Wrist, Off. Zone, 10 ft.",15,14,STL,NYI
38,1,SHOT,C C R D D G,C C R D D G,"STL ONGOAL - #74 OSHIE, Wrist, Off. Zone, 16 ft.",15,12,STL,NYI
