n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,R L L D D G,C R L D D G,Period Start- Local time: 7:07 MDT,20,00,BUF,CGY
2,1,FAC,R L L D D G,C R L D D G,CGY won Neu. Zone - BUF #22 LARSSON vs CGY #93 BENNETT,20,00,BUF,CGY
3,1,HIT,R L L D D G,C R L D D G,"BUF #82 FOLIGNO HIT CGY #29 ENGELLAND, Off. Zone",19,44,BUF,CGY
4,1,SHOT,C R L D D G,C R L D D G,"CGY ONGOAL - #93 BENNETT, Wrist, Off. Zone, 28 ft.",19,32,BUF,CGY
5,1,MISS,C R L D D G,C R L D D G,"CGY #5 GIORDANO, Wrist, Over Net, Off. Zone, 63 ft.",19,24,BUF,CGY
6,1,STOP,C C R D D G,C R L D D G,GOALIE STOPPED,18,50,BUF,CGY
7,1,FAC,C L L D D G,C R L D D G,CGY won Def. Zone - BUF #22 LARSSON vs CGY #23 MONAHAN,18,50,BUF,CGY
8,1,MISS,C C L D D G,C R L D D G,"BUF #28 GIRGENSONS, Tip-In, Wide of Net, Off. Zone, 7 ft.",18,15,BUF,CGY
9,1,SHOT,C C R D D G,C R L D D G,"CGY ONGOAL - #18 STAJAN, Wrist, Off. Zone, 30 ft.",17,57,BUF,CGY
10,1,MISS,C C R D D G,C R L D D G,"CGY #39 CHIASSON, Tip-In, Wide of Net, Off. Zone, 8 ft.",17,52,BUF,CGY
11,1,STOP,C C R D D G,C R L D D G,GOALIE STOPPED,17,52,BUF,CGY
12,1,FAC,C C R D D G,C R L D D G,BUF won Def. Zone - BUF #27 GRANT vs CGY #18 STAJAN,17,52,BUF,CGY
13,1,HIT,C C R D D G,C R L D D G,"CGY #79 FERLAND HIT BUF #73 BAPTISTE, Off. Zone",17,45,BUF,CGY
14,1,SHOT,L L L D D G,C R L D D G,"BUF ONGOAL - #6 FRANSON, Snap, Off. Zone, 49 ft.",17,19,BUF,CGY
15,1,SHOT,L L L D D G,C R L D D G,"CGY ONGOAL - #36 BROUWER, Wrist, Off. Zone, 60 ft.",17,06,BUF,CGY
16,1,MISS,C C R D D G,C R L D D G,"CGY #93 BENNETT, Backhand, Wide of Net, Off. Zone, 17 ft.",16,49,BUF,CGY
17,1,HIT,C C R D D G,C R L D D G,"BUF #4 GORGES HIT CGY #7 BRODIE, Def. Zone",16,48,BUF,CGY
18,1,PENL,C C R D D G,C R L D D G,"BUF #4 GORGES Interference(2 min), Def. Zone Drawn By: CGY #17 BOUMA",16,48,BUF,CGY
19,1,FAC,C R D D G,C R L D D G,CGY won Off. Zone - BUF #27 GRANT vs CGY #23 MONAHAN,16,48,BUF,CGY
20,1,TAKE,C R D D G,C R L D D G,"BUF TAKEAWAY - #27 GRANT, Def. Zone",16,41,BUF,CGY
21,1,SHOT,C R D D G,C R L D D G,"BUF ONGOAL - #12 GIONTA, Slap, Neu. Zone, 113 ft.",16,15,BUF,CGY
22,1,GIVE,C L D D G,C C R L D G,"CGY GIVEAWAY - #11 BACKLUND, Off. Zone",15,32,BUF,CGY
23,1,STOP,R L D D G,C C R L D G,OFFSIDE,15,13,BUF,CGY
24,1,FAC,R L D D G,C R L D D G,CGY won Neu. Zone - BUF #22 LARSSON vs CGY #18 STAJAN,15,13,BUF,CGY
25,1,SHOT,R L D D G,C R L D D G,"CGY ONGOAL - #39 CHIASSON, Tip-In, Off. Zone, 8 ft.",14,57,BUF,CGY
26,1,SHOT,R L D D G,C R L D D G,"CGY ONGOAL - #79 FERLAND, Wrist, Off. Zone, 5 ft.",14,53,BUF,CGY
27,1,SHOT,C C R D D G,C R L D D G,"CGY ONGOAL - #79 FERLAND, Backhand, Off. Zone, 10 ft.",14,35,BUF,CGY
28,1,STOP,C C R D D G,C R L D D G,GOALIE STOPPED,14,33,BUF,CGY
29,1,FAC,C C R D D G,C R L D D G,CGY won Off. Zone - BUF #28 GIRGENSONS vs CGY #23 MONAHAN,14,33,BUF,CGY
