n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PGSTR,,, ,20,00,ARI,CAR
2,1,PGEND,,, ,20,00,ARI,CAR
3,1,ANTHEM,,, ,20,00,ARI,CAR
4,1,PSTR,C C R D D G,C R L D D G,Period Start- Local time: 7:07 EDT,20,00,ARI,CAR
5,1,FAC,C C R D D G,C R L D D G,CAR won Neu. Zone - ARI #21 STEPAN vs CAR #11 STAAL,20,00,ARI,CAR
6,1,STOP,C C R D D G,C R L D D G,ICING,19,36,ARI,CAR
7,1,FAC,C C R D D G,C C L D D G,CAR won Off. Zone - ARI #21 STEPAN vs CAR #28 LINDHOLM,19,36,ARI,CAR
8,1,GOAL,C C R D D G,C C L D D G,"CAR #53 SKINNER(21), Wrist, Off. Zone, 7 ft.Assists: #28 LINDHOLM(25); #34 DI GIUSEPPE(3)",19,12,ARI,CAR
9,1,FAC,C R L D D G,R L L D D G,ARI won Neu. Zone - ARI #18 DVORAK vs CAR #20 AHO,19,12,ARI,CAR
10,1,GIVE,C R L D D G,R L L D D G,"CAR GIVEAWAY - #30 WARD, Def. Zone",19,02,ARI,CAR
11,1,SHOT,C R L D D G,R L L D D G,"ARI ONGOAL - #18 DVORAK, Snap, Off. Zone, 28 ft.",19,01,ARI,CAR
12,1,BLOCK,C R L D D G,R L L D D G,"CAR #55 MCKEOWN BLOCKED BY  ARI #44 CONNAUTON, Snap, Def. Zone",18,24,ARI,CAR
13,1,BLOCK,C R L D D G,C C R D D G,"CAR #7 RYAN BLOCKED BY  ARI #6 CHYCHRUN, Wrist, Def. Zone",17,56,ARI,CAR
14,1,STOP,C C R D D G,C C R D D G,ICING,17,32,ARI,CAR
15,1,FAC,C C R D D G,C C R D D G,ARI won Off. Zone - ARI #20 STROME vs CAR #7 RYAN,17,32,ARI,CAR
16,1,SHOT,C C R D D G,C R L D D G,"CAR ONGOAL - #14 WILLIAMS, Deflected, Off. Zone, 22 ft.",17,07,ARI,CAR
17,1,STOP,C C R D D G,C R L D D G,GOALIE STOPPED,17,06,ARI,CAR
18,1,FAC,C C R D D G,C R L D D G,ARI won Def. Zone - ARI #21 STEPAN vs CAR #11 STAAL,17,06,ARI,CAR
19,1,HIT,C C R D D G,C R L D D G,"ARI #2 SCHENN HIT CAR #23 MCGINN, Def. Zone",16,58,ARI,CAR
20,1,HIT,C R L D D G,C R L D D G,"ARI #18 DVORAK HIT CAR #14 WILLIAMS, Def. Zone",16,27,ARI,CAR
21,1,GIVE,C R L D D G,C R L D D G,"CAR GIVEAWAY - #11 STAAL, Neu. Zone",16,18,ARI,CAR
22,1,STOP,C R L D D G,C C L D D G,ICING,15,56,ARI,CAR
23,1,FAC,C R L D D G,C C L D D G,CAR won Off. Zone - ARI #18 DVORAK vs CAR #28 LINDHOLM,15,56,ARI,CAR
