n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C L L D D G,C R L D D G,Period Start- Local time: 7:15 EST,20,00,TOR,OTT
2,1,FAC,C L L D D G,C R L D D G,TOR won Neu. Zone - TOR #84 GRABOVSKI vs OTT #7 TURRIS,20,00,TOR,OTT
3,1,SHOT,C L L D D G,C R L D D G,"OTT ONGOAL - #11 ALFREDSSON, Slap, Off. Zone, 56 ft.",19,47,TOR,OTT
4,1,GIVE,C L L D D G,C R L D D G,"TOR GIVEAWAY - #16 MACARTHUR, Def. Zone",19,35,TOR,OTT
5,1,TAKE,C L L D D G,C R L D D G,"TOR TAKEAWAY - #41 KULEMIN, Def. Zone",19,31,TOR,OTT
6,1,MISS,C C C D D G,C C R D D G,"OTT #25 NEIL, Wrist, Wide of Net, Off. Zone, 39 ft.",18,34,TOR,OTT
7,1,SHOT,C C R D D G,C C R D D G,"TOR ONGOAL - #46 CRABB, Slap, Off. Zone, 58 ft.",18,16,TOR,OTT
8,1,STOP,C R R D D G,C C L D D G,ICING,17,45,TOR,OTT
9,1,FAC,C R R D D G,C C L D D G,OTT won Off. Zone - TOR #20 STECKEL vs OTT #28 KONOPKA,17,45,TOR,OTT
10,1,HIT,C R R D D G,C C L D D G,"TOR #46 CRABB HIT OTT #4 PHILLIPS, Def. Zone",17,38,TOR,OTT
11,1,HIT,C R R D D G,C C L D D G,"TOR #20 STECKEL HIT OTT #28 KONOPKA, Def. Zone",17,26,TOR,OTT
12,1,SHOT,C R R D D G,C C L D D G,"OTT ONGOAL - #4 PHILLIPS, Wrist, Off. Zone, 63 ft.",17,21,TOR,OTT
13,1,MISS,C L L D D G,C R L D D G,"TOR #41 KULEMIN, Wrist, Wide of Net, Off. Zone, 20 ft.",16,41,TOR,OTT
14,1,MISS,C L L D D G,C R L D D G,"TOR #2 SCHENN, Slap, Wide of Net, Off. Zone, 52 ft.",16,33,TOR,OTT
15,1,GIVE,C L L D D G,C R L D D G,"OTT GIVEAWAY - #7 TURRIS, Neu. Zone",16,07,TOR,OTT
16,1,SHOT,C C R D D G,C C R D D G,"TOR ONGOAL - #19 LUPUL, Wrist, Off. Zone, 47 ft.",15,59,TOR,OTT
17,1,SHOT,C C R D D G,C C R D D G,"TOR ONGOAL - #3 PHANEUF, Slap, Off. Zone, 62 ft.",15,53,TOR,OTT
18,1,STOP,C C R D D G,C C R D D G,GOALIE STOPPED,15,52,TOR,OTT
19,1,SHOT,C C R D D G,C C R D D G,"TOR ONGOAL - #81 KESSEL, Wrist, Off. Zone, 18 ft.",15,52,TOR,OTT
20,1,FAC,C C R D D G,C C R D D G,OTT won Def. Zone - TOR #42 BOZAK vs OTT #15 SMITH,15,52,TOR,OTT
21,1,HIT,C C R D D G,C C R D D G,"OTT #15 SMITH HIT TOR #24 LILES, Off. Zone",15,38,TOR,OTT
22,1,GIVE,C C R D D G,C C R D D G,"TOR GIVEAWAY - #19 LUPUL, Def. Zone",15,34,TOR,OTT
23,1,BLOCK,C C R D D G,C C R D D G,"OTT #15 SMITH BLOCKED BY  TOR #19 LUPUL, Wrist, Def. Zone",15,21,TOR,OTT
24,1,HIT,C C R D D G,C R L D D G,"TOR #3 PHANEUF HIT OTT #19 SPEZZA, Def. Zone",14,51,TOR,OTT
25,1,STOP,C C R D D G,C R L D D G,PUCK FROZEN,14,39,TOR,OTT
26,1,FAC,C R R D D G,C R L D D G,TOR won Def. Zone - TOR #20 STECKEL vs OTT #19 SPEZZA,14,39,TOR,OTT
27,1,HIT,C R R D D G,C R L D D G,"OTT #39 CARKNER HIT TOR #9 ARMSTRONG, Off. Zone",14,33,TOR,OTT
28,1,HIT,C L L D D G,C C L D D G,"OTT #23 DAUGAVINS HIT TOR #51 GARDINER, Neu. Zone",14,02,TOR,OTT
29,1,MISS,C L L D D G,C C L D D G,"TOR #51 GARDINER, Wrist, Wide of Net, Neu. Zone, 86 ft.",13,55,TOR,OTT
30,1,HIT,C L L D D G,C C L D D G,"TOR #2 SCHENN HIT OTT #42 O'BRIEN, Def. Zone",13,45,TOR,OTT
31,1,HIT,C L L D D G,C C L D D G,"TOR #2 SCHENN HIT OTT #42 O'BRIEN, Neu. Zone",13,29,TOR,OTT
32,1,GIVE,C L L D D G,C C L D D G,"TOR GIVEAWAY - #41 KULEMIN, Def. Zone",13,24,TOR,OTT
33,1,HIT,C C R D D G,C R L D D G,"OTT #11 ALFREDSSON HIT TOR #4 FRANSON, Off. Zone",12,55,TOR,OTT
34,1,BLOCK,C C R D D G,C R L D D G,"OTT #2 COWEN BLOCKED BY  TOR #42 BOZAK, Wrist, Def. Zone",12,45,TOR,OTT
35,1,SHOT,C C R D D G,C R L D D G,"OTT ONGOAL - #55 GONCHAR, Snap, Off. Zone, 57 ft.",12,42,TOR,OTT
36,1,BLOCK,C C R D D G,C C R L D D,"OTT #2 COWEN BLOCKED BY  TOR #4 FRANSON, Wrist, Def. Zone",12,32,TOR,OTT
37,1,PENL,C C R D D G,C C R L D D,"TOR #4 FRANSON Interference(2 min), Def. Zone Drawn By: OTT #71 FOLIGNO",12,31,TOR,OTT
38,1,STOP,C C R D G,C C R L D D,TV TIMEOUT,12,31,TOR,OTT
39,1,FAC,C R D D G,C C R D D G,OTT won Off. Zone - TOR #20 STECKEL vs OTT #19 SPEZZA,12,31,TOR,OTT
