n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PGSTR,,, ,20,00,COL,WPG
2,1,PGEND,,, ,20,00,COL,WPG
3,1,ANTHEM,,, ,20,00,COL,WPG
4,1,PSTR,C C L D D G,C R L D D G,Period Start- Local time: 7:08 CST,20,00,COL,WPG
5,1,FAC,C C L D D G,C R L D D G,COL won Neu. Zone - COL #13 KERFOOT vs WPG #55 SCHEIFELE,20,00,COL,WPG
6,1,STOP,C C L D D G,C R L D D G,OFFSIDE,19,53,COL,WPG
7,1,FAC,C C L D D G,C R L D D G,WPG won Neu. Zone - COL #13 KERFOOT vs WPG #55 SCHEIFELE,19,53,COL,WPG
8,1,MISS,C C L D D G,C R L D D G,"COL #22 WILSON, Wrist, Wide of Net, Off. Zone, 42 ft.",19,43,COL,WPG
9,1,HIT,C C L D D G,C R L D D G,"COL #13 KERFOOT HIT WPG #55 SCHEIFELE, Off. Zone",19,40,COL,WPG
10,1,SHOT,C C L D D G,C R L D D G,"COL ONGOAL - #92 LANDESKOG, Wrist, Off. Zone, 20 ft.",19,20,COL,WPG
11,1,STOP,C C L D D G,C R L D D G,GOALIE STOPPED,19,17,COL,WPG
12,1,FAC,C L L D D G,C C C D D G,WPG won Def. Zone - COL #34 SODERBERG vs WPG #18 LITTLE,19,17,COL,WPG
13,1,GIVE,C L L D D G,C C C D D G,"COL GIVEAWAY - #14 COMEAU, Def. Zone",19,03,COL,WPG
14,1,HIT,C L L D D G,C C C D D G,"WPG #18 LITTLE HIT COL #83 NIETO, Off. Zone",18,48,COL,WPG
15,1,MISS,C L L D D G,C C C D D G,"COL #14 COMEAU, Wrist, Wide of Net, Off. Zone, 44 ft.",18,36,COL,WPG
16,1,HIT,C R L D D G,C R L D D G,"WPG #9 COPP HIT COL #12 NEMETH, Off. Zone",17,57,COL,WPG
17,1,BLOCK,C R L D D G,C R L D D G,"WPG #29 LAINE BLOCKED BY  COL #17 JOST, Slap, Def. Zone",17,53,COL,WPG
18,1,GIVE,C R L D D G,C R L D D G,"COL GIVEAWAY - #17 JOST, Def. Zone",17,52,COL,WPG
19,1,SHOT,C R L D D G,C R L D D G,"WPG ONGOAL - #57 MYERS, Slap, Off. Zone, 63 ft.",17,47,COL,WPG
20,1,STOP,C R L D D G,C R L D D G,GOALIE STOPPED,17,46,COL,WPG
21,1,FAC,C L L D D G,C C R D D G,WPG won Off. Zone - COL #47 TONINATO vs WPG #15 HENDRICKS,17,46,COL,WPG
22,1,MISS,C L L D D G,C C R D D G,"WPG #7 CHIAROT, Snap, Wide of Net, Off. Zone, 57 ft.",17,38,COL,WPG
23,1,HIT,C L L D D G,C C R D D G,"WPG #7 CHIAROT HIT COL #47 TONINATO, Def. Zone",17,23,COL,WPG
