n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,R L L D D G,C L L D D G,Period Start- Local time: 7:07 EST,20,00,BUF,WSH
2,1,FAC,R L L D D G,C L L D D G,BUF won Neu. Zone - BUF #22 LARSSON vs WSH #19 BACKSTROM,20,00,BUF,WSH
3,1,HIT,R L L D D G,C L L D D G,"BUF #22 LARSSON HIT WSH #27 ALZNER, Off. Zone",19,31,BUF,WSH
4,1,BLOCK,C C L D D G,C L L D D G,"WSH #8 OVECHKIN BLOCKED BY  BUF #47 BOGOSIAN, Wrist, Def. Zone",19,17,BUF,WSH
5,1,STOP,C C L D D G,C L L D D G,PUCK IN NETTING,19,17,BUF,WSH
6,1,FAC,C C L D D G,C R L D D G,BUF won Def. Zone - BUF #84 VARONE vs WSH #16 FEHR,19,17,BUF,WSH
7,1,STOP,C C L D D G,C R L D D G,OFFSIDE,18,55,BUF,WSH
8,1,FAC,C C L D D G,C R L D D G,WSH won Neu. Zone - BUF #59 SCHALLER vs WSH #83 BEAGLE,18,55,BUF,WSH
9,1,BLOCK,C C L D D G,C R L D D G,"WSH #6 GLEASON BLOCKED BY  BUF #59 SCHALLER, Wrist, Def. Zone",18,33,BUF,WSH
10,1,HIT,C C L D D G,C C R D D G,"BUF #41 MESZAROS HIT WSH #83 BEAGLE, Def. Zone",18,20,BUF,WSH
11,1,HIT,C C L D D G,C C R D D G,"WSH #21 LAICH HIT BUF #41 MESZAROS, Off. Zone",18,03,BUF,WSH
12,1,HIT,C R L D D G,C C R D D G,"WSH #43 WILSON HIT BUF #41 MESZAROS, Off. Zone",17,52,BUF,WSH
13,1,SHOT,C R L D D G,C C R D D G,"WSH ONGOAL - #21 LAICH, Wrist, Off. Zone, 33 ft.",17,50,BUF,WSH
14,1,STOP,C R L D D G,C L L D D G,ICING,17,32,BUF,WSH
15,1,FAC,R L L D D G,C L L D D G,BUF won Off. Zone - BUF #22 LARSSON vs WSH #92 KUZNETSOV,17,32,BUF,WSH
16,1,GOAL,R L L D D G,C L L D D G,"BUF #22 LARSSON(2), Wrist, Off. Zone, 11 ft.Assists: #82 FOLIGNO(8); #47 BOGOSIAN(14)",17,25,BUF,WSH
17,1,FAC,R L L D D G,C L L D D G,WSH won Neu. Zone - BUF #22 LARSSON vs WSH #19 BACKSTROM,17,25,BUF,WSH
18,1,GIVE,R L L D D G,C L L D D G,"BUF GIVEAWAY - #31 HACKETT, Def. Zone",17,16,BUF,WSH
19,1,HIT,C C L D D G,C R L D D G,"WSH #16 FEHR HIT BUF #63 ENNIS, Def. Zone",15,38,BUF,WSH
20,1,HIT,C C L D D G,C R L D D G,"WSH #44 ORPIK HIT BUF #84 VARONE, Def. Zone",15,33,BUF,WSH
21,1,MISS,C C L D D G,C R L D D G,"BUF #59 SCHALLER, Slap, Wide of Net, Off. Zone, 46 ft.",15,05,BUF,WSH
22,1,GOAL,C C L D D G,C R L D D G,"WSH #22 GLENCROSS(11), Wrist, Off. Zone, 15 ft.Assists: #52 GREEN(32); #83 BEAGLE(10)",14,45,BUF,WSH
23,1,FAC,C R L D D G,C C R D D G,BUF won Neu. Zone - BUF #37 ELLIS vs WSH #92 KUZNETSOV,14,45,BUF,WSH
24,1,GIVE,C R L D D G,C C R D D G,"BUF GIVEAWAY - #31 HACKETT, Def. Zone",14,01,BUF,WSH
25,1,HIT,C L L D D G,C C R D D G,"WSH #43 WILSON HIT BUF #61 BENOIT, Off. Zone",13,46,BUF,WSH
26,1,SHOT,R L L D D G,C L L D D G,"BUF ONGOAL - #12 GIONTA, Slap, Off. Zone, 45 ft.",13,30,BUF,WSH
27,1,HIT,R L L D D G,C L L D D G,"WSH #52 GREEN HIT BUF #82 FOLIGNO, Def. Zone",13,27,BUF,WSH
28,1,SHOT,R L L D D G,C L L D D G,"WSH ONGOAL - #8 OVECHKIN, Backhand, Off. Zone, 15 ft.",13,21,BUF,WSH
29,1,BLOCK,R L L D D G,C L L D D G,"WSH #74 CARLSON BLOCKED BY  BUF #6 WEBER, Slap, Def. Zone",13,14,BUF,WSH
30,1,STOP,R L L D D G,C L L D D G,"PUCK FROZEN,TV TIMEOUT",12,54,BUF,WSH
31,1,FAC,R L L D D G,C L L D D G,BUF won Def. Zone - BUF #22 LARSSON vs WSH #19 BACKSTROM,12,54,BUF,WSH
32,1,HIT,R L L D D G,C L L D D G,"WSH #8 OVECHKIN HIT BUF #22 LARSSON, Def. Zone",12,42,BUF,WSH
33,1,SHOT,R L L D D G,C L L D D G,"WSH ONGOAL - #90 JOHANSSON, Backhand, Off. Zone, 15 ft.",12,30,BUF,WSH
34,1,STOP,R L L D D G,C L L D D G,PUCK IN CROWD,12,12,BUF,WSH
35,1,FAC,C C L D D G,C R L D D G,WSH won Neu. Zone - BUF #84 VARONE vs WSH #16 FEHR,12,12,BUF,WSH
36,1,MISS,C C L D D G,C R L D D G,"WSH #42 WARD, Wrist, Wide of Net, Off. Zone, 40 ft.",12,01,BUF,WSH
37,1,GIVE,C C L D D G,C R L D D G,"BUF GIVEAWAY - #84 VARONE, Def. Zone",12,00,BUF,WSH
38,1,STOP,C C L D D G,C R L D D G,ICING,11,55,BUF,WSH
39,1,FAC,C C L D D G,C R L D D G,WSH won Off. Zone - BUF #84 VARONE vs WSH #16 FEHR,11,55,BUF,WSH
40,1,MISS,C C L D D G,C R L D D G,"WSH #44 ORPIK, Wrist, Wide of Net, Off. Zone, 63 ft.",11,50,BUF,WSH
41,1,HIT,C C L D D G,C R L D D G,"BUF #24 STRACHAN HIT WSH #42 WARD, Def. Zone",11,39,BUF,WSH
42,1,BLOCK,C C L D D G,C R L D D G,"WSH #44 ORPIK BLOCKED BY  BUF #41 MESZAROS, Wrist, Def. Zone",11,22,BUF,WSH
43,1,SHOT,C C L D D G,C R L D D G,"BUF ONGOAL - #63 ENNIS, Wrist, Off. Zone, 39 ft.",11,13,BUF,WSH
44,1,HIT,C C L D D G,C R L D D G,"BUF #59 SCHALLER HIT WSH #83 BEAGLE, Off. Zone",10,13,BUF,WSH
45,1,HIT,C C L D D G,C R L D D G,"WSH #20 BROUWER HIT BUF #6 WEBER, Off. Zone",10,04,BUF,WSH
46,1,MISS,R L L D D G,C C R D D G,"WSH #2 NISKANEN, Wrist, Wide of Net, Off. Zone, 68 ft.",9,20,BUF,WSH
47,1,HIT,R L L D D G,C C R D D G,"BUF #82 FOLIGNO HIT WSH #43 WILSON, Def. Zone",9,12,BUF,WSH
48,1,MISS,C C L D D G,C L L D D G,"WSH #19 BACKSTROM, Wrist, Wide of Net, Off. Zone, 41 ft.",8,56,BUF,WSH
49,1,GIVE,C C L D D G,C L L D D G,"WSH GIVEAWAY - #74 CARLSON, Def. Zone",8,43,BUF,WSH
50,1,BLOCK,C C L D D G,C L L D D G,"BUF #6 WEBER BLOCKED BY  WSH #74 CARLSON, Wrist, Def. Zone",8,40,BUF,WSH
51,1,GIVE,C C L D D G,C L L D D G,"WSH GIVEAWAY - #19 BACKSTROM, Def. Zone",8,31,BUF,WSH
52,1,GIVE,C C L D D G,C L L D D G,"WSH GIVEAWAY - #19 BACKSTROM, Def. Zone",8,25,BUF,WSH
53,1,MISS,C C L D D G,C L L D D G,"WSH #8 OVECHKIN, Wrist, Wide of Net, Off. Zone, 53 ft.",8,07,BUF,WSH
54,1,HIT,C C L D D G,C L L D D G,"BUF #44 DESLAURIERS HIT WSH #90 JOHANSSON, Off. Zone",7,54,BUF,WSH
55,1,HIT,C C L D D G,C L L D D G,"BUF #59 SCHALLER HIT WSH #8 OVECHKIN, Off. Zone",7,47,BUF,WSH
56,1,PENL,C C L D D G,C R L D D G,"WSH #25 CHIMERA Interference(2 min), Off. Zone Drawn By: BUF #61 BENOIT",7,13,BUF,WSH
57,1,STOP,C C L D D G,C R D D G,TV TIMEOUT,7,13,BUF,WSH
58,1,FAC,C R L D D G,C R D D G,WSH won Def. Zone - BUF #12 GIONTA vs WSH #19 BACKSTROM,7,13,BUF,WSH
59,1,HIT,C R L D D G,C R D D G,"WSH #27 ALZNER HIT BUF #47 BOGOSIAN, Def. Zone",5,59,BUF,WSH
60,1,TAKE,C C L D D G,C R D D G,"WSH TAKEAWAY - #42 WARD, Neu. Zone",5,39,BUF,WSH
61,1,STOP,C C L D D G,C R D D G,OFFSIDE,5,21,BUF,WSH
62,1,FAC,C C L D D G,C R D D G,WSH won Neu. Zone - BUF #84 VARONE vs WSH #21 LAICH,5,21,BUF,WSH
63,1,GIVE,C C L D D G,C L L D D G,"BUF GIVEAWAY - #24 STRACHAN, Def. Zone",4,53,BUF,WSH
64,1,SHOT,C C L D D G,C L L D D G,"WSH ONGOAL - #19 BACKSTROM, Wrist, Off. Zone, 29 ft.",4,52,BUF,WSH
65,1,SHOT,C C L D D G,C L L D D G,"WSH ONGOAL - #52 GREEN, Wrist, Off. Zone, 60 ft.",4,39,BUF,WSH
66,1,STOP,C C L D D G,C L L D D G,"GOALIE STOPPED,TV TIMEOUT",4,38,BUF,WSH
67,1,FAC,R L L D D G,C L L D D G,WSH won Off. Zone - BUF #22 LARSSON vs WSH #19 BACKSTROM,4,38,BUF,WSH
68,1,BLOCK,R L L D D G,C L L D D G,"WSH #8 OVECHKIN BLOCKED BY  BUF #12 GIONTA, Snap, Def. Zone",4,34,BUF,WSH
69,1,HIT,R L L D D G,C L L D D G,"BUF #22 LARSSON HIT WSH #90 JOHANSSON, Def. Zone",4,30,BUF,WSH
70,1,TAKE,R L L D D G,C L L D D G,"BUF TAKEAWAY - #82 FOLIGNO, Neu. Zone",3,58,BUF,WSH
71,1,TAKE,R L L D D G,C L L D D G,"WSH TAKEAWAY - #19 BACKSTROM, Neu. Zone",3,50,BUF,WSH
72,1,HIT,R L L D D G,C L L D D G,"BUF #22 LARSSON HIT WSH #90 JOHANSSON, Def. Zone",3,49,BUF,WSH
73,1,HIT,C C L D D G,C R L D D G,"WSH #22 GLENCROSS HIT BUF #55 RISTOLAINEN, Off. Zone",3,20,BUF,WSH
74,1,HIT,C C L D D G,C R L D D G,"BUF #6 WEBER HIT WSH #22 GLENCROSS, Def. Zone",3,13,BUF,WSH
75,1,BLOCK,C C L D D G,C R L D D G,"WSH #44 ORPIK BLOCKED BY  BUF #63 ENNIS, Wrist, Def. Zone",3,07,BUF,WSH
76,1,GIVE,C C L D D G,C R L D D G,"WSH GIVEAWAY - #20 BROUWER, Off. Zone",2,37,BUF,WSH
77,1,STOP,C C L D D G,C C R D D G,OFFSIDE,2,33,BUF,WSH
78,1,FAC,C C L D D G,C C R D D G,WSH won Neu. Zone - BUF #59 SCHALLER vs WSH #92 KUZNETSOV,2,33,BUF,WSH
79,1,HIT,C C L D D G,C C R D D G,"BUF #19 HODGSON HIT WSH #6 GLEASON, Def. Zone",1,44,BUF,WSH
80,1,HIT,C C L D D G,C C R D D G,"WSH #21 LAICH HIT BUF #44 DESLAURIERS, Off. Zone",1,38,BUF,WSH
81,1,SHOT,C R L D D G,C R L D D G,"BUF ONGOAL - #37 ELLIS, Wrist, Off. Zone, 29 ft.",1,30,BUF,WSH
82,1,HIT,C R L D D G,C R L D D G,"BUF #24 STRACHAN HIT WSH #25 CHIMERA, Def. Zone",1,12,BUF,WSH
83,1,BLOCK,C R L D D G,C R L D D G,"WSH #27 ALZNER BLOCKED BY  BUF #20 DALPE, Wrist, Def. Zone",0,51,BUF,WSH
84,1,HIT,R L L D D G,C L L D D G,"WSH #44 ORPIK HIT BUF #22 LARSSON, Def. Zone",0,18,BUF,WSH
85,1,MISS,R L L D D G,C L L D D G,"WSH #74 CARLSON, Wrist, Over Net, Off. Zone, 32 ft.",0,08,BUF,WSH
86,1,PEND,R L L D D G,C L L D D G,Period End- Local time: 7:39 EST,0,00,BUF,WSH
87,2,PSTR,R L L D D G,C L L D D G,Period Start- Local time: 7:57 EST,20,00,BUF,WSH
88,2,FAC,R L L D D G,C L L D D G,WSH won Neu. Zone - BUF #22 LARSSON vs WSH #19 BACKSTROM,20,00,BUF,WSH
89,2,SHOT,R L L D D G,C L L D D G,"WSH ONGOAL - #2 NISKANEN, Slap, Off. Zone, 61 ft.",19,45,BUF,WSH
90,2,HIT,C L L D D G,C R L D D G,"BUF #22 LARSSON HIT WSH #16 FEHR, Neu. Zone",19,04,BUF,WSH
91,2,SHOT,C C L D D G,C R L D D G,"WSH ONGOAL - #16 FEHR, Wrist, Off. Zone, 41 ft.",18,50,BUF,WSH
92,2,STOP,C C L D D G,C R L D D G,ICING,18,24,BUF,WSH
93,2,FAC,C C L D D G,C R L D D G,WSH won Off. Zone - BUF #84 VARONE vs WSH #83 BEAGLE,18,24,BUF,WSH
94,2,SHOT,C C L D D G,C R L D D G,"BUF ONGOAL - #19 HODGSON, Backhand, Off. Zone, 26 ft.",17,32,BUF,WSH
95,2,HIT,C C L D D G,C C R D D G,"WSH #21 LAICH HIT BUF #59 SCHALLER, Off. Zone",17,11,BUF,WSH
96,2,HIT,C C L D D G,C C R D D G,"BUF #59 SCHALLER HIT WSH #21 LAICH, Def. Zone",16,57,BUF,WSH
