n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PGSTR,,, ,20,00,CHI,DAL
2,1,PGEND,,, ,20,00,CHI,DAL
3,1,ANTHEM,,, ,20,00,CHI,DAL
4,1,PSTR,C C L D D G,C R L D D G,Period Start- Local time: 7:37 CST,20,00,CHI,DAL
5,1,FAC,C C L D D G,C R L D D G,CHI won Neu. Zone - CHI #19 TOEWS vs DAL #91 SEGUIN,20,00,CHI,DAL
6,1,SHOT,C C L D D G,C R L D D G,"DAL ONGOAL - #3 KLINGBERG, Wrist, Off. Zone, 50 ft.",19,47,CHI,DAL
7,1,STOP,C C L D D G,C R L D D G,GOALIE STOPPED,19,45,CHI,DAL
8,1,FAC,C C L D D G,C R L D D G,DAL won Off. Zone - CHI #19 TOEWS vs DAL #91 SEGUIN,19,45,CHI,DAL
9,1,MISS,C C L D D G,C R L D D G,"DAL #3 KLINGBERG, Wrist, Over Net, Off. Zone, 55 ft.",19,41,CHI,DAL
10,1,GIVE,C C L D D G,C R L D D G,"DAL GIVEAWAY - #14 BENN, Off. Zone",19,36,CHI,DAL
11,1,HIT,C C R D D G,C C C D D G,"DAL #12 FAKSA HIT CHI #63 DAHLSTROM, Off. Zone",19,17,CHI,DAL
12,1,MISS,C C R D D G,C C C D D G,"CHI #15 ANISIMOV, Wrist, Wide of Net, Off. Zone, 43 ft.",18,51,CHI,DAL
13,1,STOP,C C R D D G,C C C D D G,PUCK IN NETTING,18,50,CHI,DAL
14,1,FAC,C C R D D G,C C L D D G,CHI won Off. Zone - CHI #64 KAMPF vs DAL #16 DICKINSON,18,50,CHI,DAL
15,1,GOAL,C C R D D G,C C L D D G,"CHI #12 DEBRINCAT(15), Wrist, Off. Zone, 39 ft.Assists: #95 SIKURA(2); #64 KAMPF(8)",18,48,CHI,DAL
16,1,FAC,C C R D D G,C C L D D G,DAL won Neu. Zone - CHI #64 KAMPF vs DAL #16 DICKINSON,18,48,CHI,DAL
17,1,STOP,C C R D D G,C C L D D G,ICING,18,17,CHI,DAL
18,1,FAC,C C L D D G,C C L D D G,DAL won Def. Zone - CHI #40 HAYDEN vs DAL #16 DICKINSON,18,17,CHI,DAL
19,1,HIT,C C L D D G,C C L D D G,"CHI #11 PERLINI HIT DAL #45 POLAK, Off. Zone",18,12,CHI,DAL
20,1,TAKE,C C L D D G,C C R D D G,"DAL TAKEAWAY - #13 JANMARK, Off. Zone",18,02,CHI,DAL
21,1,BLOCK,C C L D D G,C R R D D G,"DAL #3 KLINGBERG BLOCKED BY  CHI #63 DAHLSTROM, Wrist, Def. Zone",17,49,CHI,DAL
22,1,HIT,C C L D D G,C R R D D G,"DAL #43 NICHUSHKIN HIT CHI #63 DAHLSTROM, Off. Zone",17,40,CHI,DAL
23,1,PENL,C C C D D G,C C R L D G,"CHI #19 TOEWS Tripping(2 min), Def. Zone Drawn By: DAL #43 NICHUSHKIN",17,31,CHI,DAL
24,1,FAC,C L D D G,C C R L D G,DAL won Off. Zone - CHI #24 KAHUN vs DAL #11 HANZAL,17,31,CHI,DAL
25,1,SHOT,C L D D G,C C R L D G,"DAL ONGOAL - #3 KLINGBERG, Wrist, Off. Zone, 54 ft.",17,26,CHI,DAL
26,1,SHOT,C L D D G,C C R L D G,"CHI ONGOAL - #20 SAAD, Backhand, Off. Zone, 28 ft.",17,15,CHI,DAL
27,1,HIT,C C D D G,C C R L D G,"DAL #11 HANZAL HIT CHI #5 MURPHY, Off. Zone",16,45,CHI,DAL
28,1,SHOT,C L D D G,C C R D D G,"DAL ONGOAL - #12 FAKSA, Wrist, Off. Zone, 46 ft.",16,23,CHI,DAL
29,1,GIVE,C L D D G,C C R D D G,"CHI GIVEAWAY - #40 HAYDEN, Def. Zone",16,20,CHI,DAL
30,1,MISS,C L D D G,C C R D D G,"DAL #12 FAKSA, Tip-In, Wide of Net, Off. Zone, 12 ft.",16,18,CHI,DAL
31,1,MISS,C L D D G,C C R D D G,"DAL #34 GURIANOV, Snap, Wide of Net, Off. Zone, 27 ft.",16,06,CHI,DAL
32,1,MISS,C L D D G,C C R D D G,"DAL #4 HEISKANEN, Wrist, Goalpost, Off. Zone, 25 ft.",15,55,CHI,DAL
33,1,SHOT,C L D D G,C C R D D G,"CHI ONGOAL - #20 SAAD, Wrist, Off. Zone, 20 ft.",15,47,CHI,DAL
34,1,GIVE,C R R D D G,C R L D D G,"DAL GIVEAWAY - #14 BENN, Def. Zone",15,15,CHI,DAL
35,1,STOP,C R R D D G,C R L D D G,ICING,15,03,CHI,DAL
36,1,FAC,C R R D D G,C C L D D G,CHI won Def. Zone - CHI #17 STROME vs DAL #15 COMEAU,15,03,CHI,DAL
37,1,HIT,C R L D D G,C C L D D G,"DAL #16 DICKINSON HIT CHI #62 JOHNSON, Neu. Zone",14,34,CHI,DAL
38,1,BLOCK,C R L D D G,C C L D D G,"CHI #12 DEBRINCAT BLOCKED BY  DAL #44 BAYREUTHER, Wrist, Def. Zone",14,32,CHI,DAL
39,1,STOP,C R L D D G,C C L D D G,PUCK IN NETTING,14,31,CHI,DAL
40,1,FAC,C C L D D G,C R R D D G,DAL won Def. Zone - CHI #62 JOHNSON vs DAL #17 SHORE,14,31,CHI,DAL
41,1,SHOT,C C L D D G,C R R D D G,"DAL ONGOAL - #17 SHORE, Wrist, Off. Zone, 23 ft.",14,09,CHI,DAL
42,1,GIVE,C C L D D G,C R R D D G,"DAL GIVEAWAY - #43 NICHUSHKIN, Off. Zone",13,58,CHI,DAL
43,1,MISS,C C L D D G,C R R D D G,"CHI #11 PERLINI, Backhand, Wide of Net, Off. Zone, 24 ft.",13,55,CHI,DAL
44,1,STOP,C C L D D G,C R R D D G,"GOALIE STOPPED,TV TIMEOUT",13,53,CHI,DAL
45,1,FAC,C C L D D G,C C C D D G,DAL won Def. Zone - CHI #19 TOEWS vs DAL #11 HANZAL,13,53,CHI,DAL
46,1,HIT,C C L D D G,C C C D D G,"CHI #5 MURPHY HIT DAL #12 FAKSA, Neu. Zone",13,42,CHI,DAL
47,1,GIVE,C C R D D G,C R L D D G,"CHI GIVEAWAY - #63 DAHLSTROM, Def. Zone",12,59,CHI,DAL
48,1,STOP,C C R D D G,C R L D D G,OFFSIDE,12,58,CHI,DAL
49,1,FAC,C C R D D G,C R L D D G,CHI won Neu. Zone - CHI #17 STROME vs DAL #14 BENN,12,58,CHI,DAL
50,1,STOP,C C R D D G,C R L D D G,PUCK IN CROWD,12,52,CHI,DAL
51,1,FAC,C C R D D G,C R L D D G,DAL won Neu. Zone - CHI #17 STROME vs DAL #14 BENN,12,52,CHI,DAL
52,1,HIT,C C R D D G,C R L D D G,"DAL #91 SEGUIN HIT CHI #56 GUSTAFSSON, Off. Zone",12,42,CHI,DAL
53,1,SHOT,C C R D D G,C R L D D G,"DAL ONGOAL - #4 HEISKANEN, Snap, Off. Zone, 43 ft.",12,19,CHI,DAL
54,1,GIVE,C C R D D G,C R L D D G,"DAL GIVEAWAY - #91 SEGUIN, Off. Zone",12,16,CHI,DAL
55,1,GIVE,C C R D D G,C C R D D G,"CHI GIVEAWAY - #42 FORSLING, Def. Zone",11,54,CHI,DAL
56,1,SHOT,C C L D D G,C R R D D G,"CHI ONGOAL - #63 DAHLSTROM, Wrist, Off. Zone, 53 ft.",10,44,CHI,DAL
57,1,STOP,C C L D D G,C R R D D G,GOALIE STOPPED,10,43,CHI,DAL
58,1,FAC,C C L D D G,C C R D D G,CHI won Off. Zone - CHI #11 PERLINI vs DAL #12 FAKSA,10,43,CHI,DAL
59,1,BLOCK,C C L D D G,C C R D D G,"CHI #56 GUSTAFSSON BLOCKED BY  DAL #17 SHORE, Slap, Def. Zone",10,38,CHI,DAL
60,1,SHOT,C C L D D G,C R R D D G,"DAL ONGOAL - #43 NICHUSHKIN, Backhand, Off. Zone, 20 ft.",10,20,CHI,DAL
61,1,SHOT,C C L D D G,C R R D D G,"DAL ONGOAL - #43 NICHUSHKIN, Wrist, Off. Zone, 41 ft.",10,12,CHI,DAL
62,1,SHOT,C C L D D G,C R R D D G,"CHI ONGOAL - #11 PERLINI, Wrist, Off. Zone, 25 ft.",10,04,CHI,DAL
63,1,SHOT,C C L D D G,C R R D D G,"CHI ONGOAL - #11 PERLINI, Deflected, Off. Zone, 10 ft.",10,01,CHI,DAL
64,1,SHOT,C C L D D G,C C R D D G,"DAL ONGOAL - #43 NICHUSHKIN, Wrist, Off. Zone, 53 ft.",9,54,CHI,DAL
65,1,STOP,C C L D D G,C C R D D G,"GOALIE STOPPED,TV TIMEOUT",9,53,CHI,DAL
66,1,FAC,C C L D D G,C R L D D G,DAL won Off. Zone - CHI #19 TOEWS vs DAL #14 BENN,9,53,CHI,DAL
67,1,GIVE,C C L D D G,C R L D D G,"DAL GIVEAWAY - #3 KLINGBERG, Off. Zone",9,41,CHI,DAL
68,1,GIVE,C C L D D G,C R L D D G,"DAL GIVEAWAY - #91 SEGUIN, Off. Zone",9,21,CHI,DAL
69,1,SHOT,C C L D D G,C R L D D G,"CHI ONGOAL - #5 MURPHY, Wrist, Off. Zone, 37 ft.",9,15,CHI,DAL
70,1,MISS,C C L D D G,C R L D D G,"CHI #19 TOEWS, Snap, Wide of Net, Off. Zone, 18 ft.",9,12,CHI,DAL
71,1,TAKE,C C R D D G,C C C D D G,"CHI TAKEAWAY - #17 STROME, Def. Zone",8,35,CHI,DAL
72,1,MISS,C C R D D G,C C C D D G,"CHI #2 KEITH, Slap, Wide of Net, Off. Zone, 54 ft.",8,29,CHI,DAL
73,1,HIT,C C R D D G,C C C D D G,"DAL #11 HANZAL HIT CHI #17 STROME, Def. Zone",8,26,CHI,DAL
74,1,BLOCK,C C R D D G,C C C D D G,"DAL #4 HEISKANEN BLOCKED BY  CHI #56 GUSTAFSSON, Wrist, Def. Zone",8,21,CHI,DAL
75,1,STOP,C C R D D G,C C C D D G,PUCK IN NETTING,8,20,CHI,DAL
76,1,FAC,C C R D D G,C R R D D G,DAL won Off. Zone - CHI #64 KAMPF vs DAL #43 NICHUSHKIN,8,20,CHI,DAL
77,1,MISS,C C R D D G,C R R D D G,"DAL #43 NICHUSHKIN, Wrist, Wide of Net, Off. Zone, 27 ft.",8,19,CHI,DAL
78,1,SHOT,C C R D D G,C R R D D G,"DAL ONGOAL - #43 NICHUSHKIN, Wrist, Off. Zone, 50 ft.",8,10,CHI,DAL
79,1,HIT,C C R D D G,C R R D D G,"DAL #34 GURIANOV HIT CHI #42 FORSLING, Off. Zone",8,10,CHI,DAL
80,1,STOP,C C R D D G,C R R D D G,ICING,8,04,CHI,DAL
81,1,FAC,C C R D D G,C R L D D G,CHI won Def. Zone - CHI #64 KAMPF vs DAL #91 SEGUIN,8,04,CHI,DAL
82,1,BLOCK,C C R D D G,C R L D D G,"DAL #47 RADULOV BLOCKED BY  CHI #7 SEABROOK, Tip-In, Def. Zone",7,57,CHI,DAL
83,1,SHOT,C C R D D G,C R L D D G,"DAL ONGOAL - #14 BENN, Tip-In, Off. Zone, 14 ft.",7,55,CHI,DAL
84,1,SHOT,C C R D D G,C R L D D G,"DAL ONGOAL - #47 RADULOV, Slap, Off. Zone, 41 ft.",7,44,CHI,DAL
85,1,STOP,C C R D D G,C R L D D G,GOALIE STOPPED,7,43,CHI,DAL
86,1,FAC,C C L D D G,C C L D D G,CHI won Def. Zone - CHI #19 TOEWS vs DAL #16 DICKINSON,7,43,CHI,DAL
87,1,SHOT,C C L D D G,C C L D D G,"CHI ONGOAL - #63 DAHLSTROM, Wrist, Off. Zone, 55 ft.",7,21,CHI,DAL
88,1,GIVE,C C R D D G,C R R D D G,"CHI GIVEAWAY - #88 KANE, Off. Zone",6,49,CHI,DAL
89,1,BLOCK,C C R D D G,C R R D D G,"DAL #17 SHORE BLOCKED BY  CHI #2 KEITH, Wrist, Def. Zone",6,31,CHI,DAL
90,1,STOP,C C R D D G,C R R D D G,PUCK IN NETTING,6,30,CHI,DAL
91,1,FAC,C C R D D G,C R L D D G,DAL won Off. Zone - CHI #17 STROME vs DAL #91 SEGUIN,6,30,CHI,DAL
92,1,SHOT,C C L D D G,C R L D D G,"CHI ONGOAL - #62 JOHNSON, Wrist, Off. Zone, 32 ft.",6,05,CHI,DAL
93,1,STOP,C C L D D G,C R L D D G,GOALIE STOPPED,6,04,CHI,DAL
94,1,FAC,C C L D D G,C C C D D G,DAL won Def. Zone - CHI #62 JOHNSON vs DAL #11 HANZAL,6,04,CHI,DAL
95,1,HIT,C C L D D G,C C C D D G,"DAL #18 PITLICK HIT CHI #62 JOHNSON, Neu. Zone",5,53,CHI,DAL
96,1,BLOCK,C C L D D G,C C C D D G,"DAL #18 PITLICK BLOCKED BY  CHI #40 HAYDEN, Wrist, Def. Zone",5,48,CHI,DAL
97,1,STOP,C C L D D G,C C C D D G,"PUCK IN NETTING,TV TIMEOUT",5,47,CHI,DAL
98,1,FAC,C C R D D G,C C C D D G,DAL won Off. Zone - CHI #64 KAMPF vs DAL #12 FAKSA,5,47,CHI,DAL
99,1,SHOT,C C R D D G,C C C D D G,"DAL ONGOAL - #18 PITLICK, Wrist, Off. Zone, 40 ft.",5,45,CHI,DAL
100,1,HIT,C C R D D G,C C C D D G,"CHI #5 MURPHY HIT DAL #12 FAKSA, Def. Zone",5,38,CHI,DAL
101,1,SHOT,C C L D D G,C C L D D G,"DAL ONGOAL - #11 HANZAL, Slap, Neu. Zone, 93 ft.",5,05,CHI,DAL
