n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PGSTR,,, ,20,00,FLA,CHI
2,1,PGEND,,, ,20,00,FLA,CHI
3,1,ANTHEM,,, ,20,00,FLA,CHI
4,1,PSTR,C C C D D G,C R L D D G,Period Start- Local time: 7:38 CST,20,00,FLA,CHI
5,1,FAC,C C C D D G,C R L D D G,FLA won Neu. Zone - FLA #16 BARKOV vs CHI #19 TOEWS,20,00,FLA,CHI
6,1,BLOCK,C C C D D G,C R L D D G,"FLA #13 PYSYK BLOCKED BY  CHI #12 DEBRINCAT, Wrist, Def. Zone",19,28,FLA,CHI
7,1,SHOT,C C C D D G,C R L D D G,"FLA ONGOAL - #13 PYSYK, Wrist, Off. Zone, 57 ft.",19,19,FLA,CHI
8,1,HIT,C C C D D G,C R R D D G,"CHI #19 TOEWS HIT FLA #27 BJUGSTAD, Def. Zone",19,11,FLA,CHI
9,1,SHOT,C C R D D G,C C R D D G,"CHI ONGOAL - #44 RUTTA, Wrist, Off. Zone, 47 ft.",19,06,FLA,CHI
10,1,STOP,C C R D D G,C C R D D G,GOALIE STOPPED,19,06,FLA,CHI
11,1,FAC,C C R D D G,C C R D D G,FLA won Def. Zone - FLA #21 TROCHECK vs CHI #15 ANISIMOV,19,06,FLA,CHI
12,1,GIVE,C C R D D G,C C R D D G,"FLA GIVEAWAY - #3 YANDLE, Def. Zone",18,58,FLA,CHI
13,1,BLOCK,C C R D D G,C C R D D G,"CHI #2 KEITH BLOCKED BY  FLA #62 MALGIN, Wrist, Def. Zone",18,57,FLA,CHI
14,1,STOP,C C R D D G,C C R D D G,OFFSIDE,18,35,FLA,CHI
15,1,FAC,C L L D D G,C R L D D G,FLA won Neu. Zone - FLA #90 MCCANN vs CHI #48 HINOSTROZA,18,35,FLA,CHI
16,1,HIT,C L L D D G,C R L D D G,"FLA #23 BRICKLEY HIT CHI #38 HARTMAN, Off. Zone",18,23,FLA,CHI
17,1,HIT,C L L D D G,C R L D D G,"CHI #38 HARTMAN HIT FLA #88 MCGINN, Off. Zone",18,14,FLA,CHI
18,1,HIT,C L L D D G,C R L D D G,"CHI #10 SHARP HIT FLA #52 WEEGAR, Off. Zone",18,07,FLA,CHI
19,1,HIT,C L L D D G,C R L D D G,"CHI #38 HARTMAN HIT FLA #90 MCCANN, Def. Zone",18,02,FLA,CHI
20,1,GIVE,C C C D D G,C R L D D G,"CHI GIVEAWAY - #7 SEABROOK, Def. Zone",17,50,FLA,CHI
21,1,BLOCK,C C C D D G,C R L D D G,"FLA #7 SCEVIOUR BLOCKED BY  CHI #5 MURPHY, Wrist, Def. Zone",17,47,FLA,CHI
22,1,HIT,C C C D D G,C C L D D G,"CHI #17 BOUMA HIT FLA #13 PYSYK, Off. Zone",17,40,FLA,CHI
23,1,STOP,C C C D D G,C C L D D G,OFFSIDE,17,23,FLA,CHI
24,1,FAC,C C C D D G,C R L D D G,FLA won Neu. Zone - FLA #16 BARKOV vs CHI #19 TOEWS,17,23,FLA,CHI
25,1,GIVE,C C C D D G,C R L D D G,"CHI GIVEAWAY - #82 OESTERLE, Def. Zone",17,10,FLA,CHI
26,1,GIVE,C C C D D G,C R L D D G,"FLA GIVEAWAY - #5 EKBLAD, Def. Zone",17,02,FLA,CHI
27,1,SHOT,C C C D D G,C R L D D G,"CHI ONGOAL - #20 SAAD, Tip-In, Off. Zone, 11 ft.",17,00,FLA,CHI
28,1,TAKE,C C C D D G,C R L D D G,"CHI TAKEAWAY - #19 TOEWS, Neu. Zone",16,52,FLA,CHI
29,1,MISS,C C C D D G,C R L D D G,"CHI #12 DEBRINCAT, Wrist, Wide of Net, Off. Zone, 20 ft.",16,44,FLA,CHI
30,1,SHOT,C C C D D G,C R L D D G,"CHI ONGOAL - #44 RUTTA, Wrist, Off. Zone, 56 ft.",16,39,FLA,CHI
31,1,SHOT,C C R D D G,C C R D D G,"FLA ONGOAL - #21 TROCHECK, Tip-In, Off. Zone, 11 ft.",16,13,FLA,CHI
32,1,SHOT,C C R D D G,C C R D D G,"FLA ONGOAL - #21 TROCHECK, Backhand, Off. Zone, 15 ft.",16,09,FLA,CHI
33,1,BLOCK,C C R D D G,C C R D D G,"FLA #13 PYSYK BLOCKED BY  CHI #8 SCHMALTZ, Wrist, Def. Zone",15,53,FLA,CHI
34,1,HIT,C C R D D G,C C R D D G,"CHI #5 MURPHY HIT FLA #62 MALGIN, Def. Zone",15,53,FLA,CHI
35,1,GIVE,C C R D D G,C C R D D G,"CHI GIVEAWAY - #5 MURPHY, Def. Zone",15,51,FLA,CHI
36,1,STOP,C L L D D G,C C R D D G,"REFEREE OR LINESMAN,PLAYER INJURY",15,46,FLA,CHI
37,1,FAC,C L L D D G,C C R D D G,CHI won Neu. Zone - FLA #90 MCCANN vs CHI #15 ANISIMOV,15,46,FLA,CHI
38,1,TAKE,C C L D D G,C C R D D G,"FLA TAKEAWAY - #16 BARKOV, Neu. Zone",15,20,FLA,CHI
39,1,BLOCK,C C C D D G,C C R D D G,"FLA #16 BARKOV BLOCKED BY  CHI #2 KEITH, Wrist, Def. Zone",15,06,FLA,CHI
40,1,STOP,C C C D D G,C C R D D G,PUCK IN NETTING,15,06,FLA,CHI
41,1,FAC,C C C D D G,C R L D D G,FLA won Off. Zone - FLA #17 MACKENZIE vs CHI #48 HINOSTROZA,15,06,FLA,CHI
42,1,BLOCK,C C C D D G,C R L D D G,"FLA #52 WEEGAR BLOCKED BY  CHI #48 HINOSTROZA, Wrist, Def. Zone",15,03,FLA,CHI
43,1,SHOT,C C C D D G,C R L D D G,"FLA ONGOAL - #7 SCEVIOUR, Wrist, Off. Zone, 26 ft.",14,25,FLA,CHI
44,1,STOP,C C C D D G,C R L D D G,GOALIE STOPPED,14,24,FLA,CHI
45,1,FAC,C C R D D G,C C L D D G,CHI won Def. Zone - FLA #21 TROCHECK vs CHI #57 WINGELS,14,24,FLA,CHI
46,1,HIT,C C R D D G,C C L D D G,"CHI #17 BOUMA HIT FLA #19 MATHESON, Off. Zone",14,10,FLA,CHI
47,1,BLOCK,C C R D D G,C C L D D G,"CHI #5 MURPHY BLOCKED BY  FLA #13 PYSYK, Wrist, Def. Zone",14,07,FLA,CHI
48,1,HIT,C C R D D G,C C L D D G,"CHI #57 WINGELS HIT FLA #90 MCCANN, Neu. Zone",14,03,FLA,CHI
49,1,HIT,C C R D D G,C C L D D G,"CHI #7 SEABROOK HIT FLA #21 TROCHECK, Neu. Zone",13,50,FLA,CHI
50,1,HIT,C C R D D G,C C L D D G,"FLA #19 MATHESON HIT CHI #40 HAYDEN, Def. Zone",13,49,FLA,CHI
51,1,STOP,C C R D D G,C R L D D G,ICING,13,40,FLA,CHI
52,1,FAC,C C R D D G,C R L D D G,FLA won Def. Zone - FLA #21 TROCHECK vs CHI #19 TOEWS,13,40,FLA,CHI
53,1,GIVE,C C R D D G,C R L D D G,"FLA GIVEAWAY - #5 EKBLAD, Def. Zone",13,35,FLA,CHI
54,1,TAKE,C C C D D G,C R L D D G,"FLA TAKEAWAY - #16 BARKOV, Def. Zone",13,11,FLA,CHI
55,1,STOP,C L L D D G,C C R D D G,"OFFSIDE,TV TIMEOUT",12,37,FLA,CHI
56,1,FAC,C L L D D G,C C R D D G,CHI won Neu. Zone - FLA #90 MCCANN vs CHI #15 ANISIMOV,12,37,FLA,CHI
57,1,HIT,C C L D D G,C C R D D G,"FLA #23 BRICKLEY HIT CHI #8 SCHMALTZ, Def. Zone",12,26,FLA,CHI
58,1,STOP,C C L D D G,C C R D D G,PUCK IN CROWD,12,13,FLA,CHI
59,1,FAC,C L L D D G,C C L D D G,CHI won Def. Zone - FLA #90 MCCANN vs CHI #57 WINGELS,12,13,FLA,CHI
60,1,HIT,C L L D D G,C C L D D G,"CHI #40 HAYDEN HIT FLA #5 EKBLAD, Neu. Zone",12,04,FLA,CHI
61,1,HIT,C C L D D G,C C L D D G,"CHI #17 BOUMA HIT FLA #6 PETROVIC, Off. Zone",11,53,FLA,CHI
62,1,HIT,C C C D D G,C C L D D G,"FLA #52 WEEGAR HIT CHI #17 BOUMA, Def. Zone",11,39,FLA,CHI
63,1,STOP,C C C D D G,C R L D D G,ICING,11,30,FLA,CHI
64,1,FAC,C C C D D G,C R L D D G,CHI won Off. Zone - FLA #17 MACKENZIE vs CHI #48 HINOSTROZA,11,30,FLA,CHI
65,1,HIT,C C C D D G,C R L D D G,"FLA #6 PETROVIC HIT CHI #38 HARTMAN, Def. Zone",11,20,FLA,CHI
66,1,SHOT,C R L D D G,C R L D D G,"FLA ONGOAL - #21 TROCHECK, Wrist, Off. Zone, 29 ft.",10,51,FLA,CHI
67,1,STOP,C R L D D G,C R L D D G,GOALIE STOPPED,10,50,FLA,CHI
68,1,FAC,C R L D D G,C R L D D G,CHI won Def. Zone - FLA #21 TROCHECK vs CHI #19 TOEWS,10,50,FLA,CHI
69,1,HIT,C R L D D G,C R L D D G,"FLA #13 PYSYK HIT CHI #12 DEBRINCAT, Def. Zone",10,42,FLA,CHI
70,1,SHOT,C R L D D G,C R L D D G,"CHI ONGOAL - #19 TOEWS, Tip-In, Off. Zone, 10 ft.",10,39,FLA,CHI
71,1,TAKE,C C L D D G,C R R L D D,"FLA TAKEAWAY - #13 PYSYK, Def. Zone",10,17,FLA,CHI
72,1,PENL,C C L D D G,C C R D D G,"FLA #21 TROCHECK Hooking(2 min), Neu. Zone Drawn By: CHI #20 SAAD",10,17,FLA,CHI
73,1,FAC,C C D D G,C C R D D G,FLA won Def. Zone - FLA #17 MACKENZIE vs CHI #19 TOEWS,10,17,FLA,CHI
74,1,BLOCK,C C D D G,C C R D D G,"CHI #7 SEABROOK BLOCKED BY  FLA #17 MACKENZIE, Snap, Def. Zone",9,30,FLA,CHI
75,1,MISS,C C D D G,C C R D D G,"CHI #19 TOEWS, Tip-In, Wide of Net, Off. Zone, 18 ft.",9,19,FLA,CHI
76,1,MISS,C C D D G,C C R D D G,"CHI #19 TOEWS, Tip-In, Wide of Net, Off. Zone, 10 ft.",9,04,FLA,CHI
77,1,SHOT,C C D D G,C C R D D G,"CHI ONGOAL - #19 TOEWS, Tip-In, Off. Zone, 10 ft.",9,00,FLA,CHI
78,1,BLOCK,C C D D G,C C R D D G,"CHI #88 KANE BLOCKED BY  FLA #17 MACKENZIE, Wrist, Def. Zone",8,44,FLA,CHI
79,1,GIVE,C C D D G,C C R D D G,"FLA GIVEAWAY - #3 YANDLE, Def. Zone",8,26,FLA,CHI
80,1,SHOT,C C D D G,C C R D D G,"CHI ONGOAL - #88 KANE, Wrist, Off. Zone, 10 ft.",8,26,FLA,CHI
81,1,SHOT,C C D D G,C C R D D G,"CHI ONGOAL - #19 TOEWS, Wrist, Off. Zone, 7 ft.",8,25,FLA,CHI
82,1,STOP,C C D D G,C C R D D G,GOALIE STOPPED,8,25,FLA,CHI
83,1,FAC,C C D D G,C R L D D G,FLA won Def. Zone - FLA #16 BARKOV vs CHI #48 HINOSTROZA,8,25,FLA,CHI
