n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C C R D D G,C C R D D G,Period Start- Local time: 7:38 EDT,20,00,FLA,OTT
2,1,FAC,C C R D D G,C C R D D G,OTT won Neu. Zone - FLA #16 BARKOV vs OTT #15 SMITH,20,00,FLA,OTT
3,1,HIT,C C R D D G,C C R D D G,"FLA #16 BARKOV HIT OTT #49 CLAESSON, Off. Zone",19,29,FLA,OTT
4,1,GIVE,C C R D D G,C C R D D G,"FLA GIVEAWAY - #5 EKBLAD, Neu. Zone",19,28,FLA,OTT
5,1,HIT,C R L D D G,C R L D D G,"OTT #27 LAZAR HIT FLA #3 KAMPFER, Off. Zone",18,52,FLA,OTT
6,1,STOP,C R R D D G,C C C D D G,CHLG VIS - OFF-SIDE,18,23,FLA,OTT
7,1,FAC,C R R D D G,C C C D D G,FLA won Neu. Zone - FLA #23 GRIMALDI vs OTT #93 ZIBANEJAD,18,23,FLA,OTT
8,1,BLOCK,C R R D D G,C C C D D G,"FLA #46 KINDL BLOCKED BY  OTT #45 WIDEMAN, Wrist, Def. Zone",18,04,FLA,OTT
9,1,SHOT,C R R D D G,C C C D D G,"FLA ONGOAL - #6 PETROVIC, Wrist, Off. Zone, 36 ft.",17,58,FLA,OTT
10,1,BLOCK,C R R D D G,C C C D D G,"FLA #23 GRIMALDI BLOCKED BY  OTT #67 HARPUR, Wrist, Def. Zone",17,41,FLA,OTT
11,1,SHOT,C C L D D G,C R L D D G,"FLA ONGOAL - #22 THORNTON, Wrist, Off. Zone, 44 ft.",17,22,FLA,OTT
12,1,GIVE,C C L D D G,R R L D D G,"OTT GIVEAWAY - #13 PAUL, Neu. Zone",17,01,FLA,OTT
13,1,HIT,C C L D D G,R R L D D G,"OTT #49 CLAESSON HIT FLA #41 MCKEGG, Neu. Zone",16,59,FLA,OTT
14,1,HIT,C C L D D G,R R L D D G,"FLA #42 HOWDEN HIT OTT #55 ROBINSON, Off. Zone",16,51,FLA,OTT
15,1,SHOT,C C R D D G,C C R D D G,"OTT ONGOAL - #44 PAGEAU, Wrist, Off. Zone, 24 ft.",16,29,FLA,OTT
16,1,SHOT,C C R D D G,C C R D D G,"OTT ONGOAL - #15 SMITH, Wrist, Off. Zone, 8 ft.",16,28,FLA,OTT
17,1,STOP,C C R D D G,C C R D D G,OFFSIDE,16,23,FLA,OTT
18,1,FAC,C C R D D G,C C R D D G,OTT won Neu. Zone - FLA #16 BARKOV vs OTT #44 PAGEAU,16,23,FLA,OTT
19,1,STOP,C C R D D G,C R L D D G,OFFSIDE,16,00,FLA,OTT
20,1,FAC,C R L D D G,C R L D D G,OTT won Neu. Zone - FLA #27 BJUGSTAD vs OTT #27 LAZAR,16,00,FLA,OTT
21,1,HIT,C R L D D G,C R L D D G,"FLA #27 BJUGSTAD HIT OTT #27 LAZAR, Def. Zone",15,42,FLA,OTT
22,1,BLOCK,C R L D D G,C R L D D G,"FLA #36 JOKINEN BLOCKED BY  OTT #90 CHIASSON, Wrist, Def. Zone",15,33,FLA,OTT
23,1,STOP,C R L D D G,C R L D D G,PUCK IN NETTING,15,32,FLA,OTT
24,1,FAC,C R R D D G,C C C D D G,FLA won Off. Zone - FLA #23 GRIMALDI vs OTT #93 ZIBANEJAD,15,32,FLA,OTT
25,1,PENL,C R R D D G,C C R D D G,"OTT #45 WIDEMAN Unsportsmanlike conduct(2 min), Off. Zone Drawn By: FLA #24 HUDLER",14,57,FLA,OTT
26,1,PENL,C R R D D G,C C R D G,"FLA #24 HUDLER Unsportsmanlike conduct(2 min), Def. Zone Drawn By: OTT #45 WIDEMAN",14,57,FLA,OTT
27,1,FAC,C C D D G,C C D D G,OTT won Neu. Zone - FLA #16 BARKOV vs OTT #44 PAGEAU,14,57,FLA,OTT
28,1,TAKE,C C D D G,C C D D G,"FLA TAKEAWAY - #16 BARKOV, Off. Zone",14,38,FLA,OTT
29,1,MISS,C R D D G,C C D D G,"OTT #65 KARLSSON, Slap, Goalpost, Off. Zone, 54 ft.",14,11,FLA,OTT
