n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PGSTR,,, ,20,00,T.B,WPG
2,1,PGEND,,, ,20,00,T.B,WPG
3,1,ANTHEM,,, ,20,00,T.B,WPG
4,1,PSTR,C C C D D G,C L L D D G,Period Start- Local time: 6:10 CST,20,00,T.B,WPG
5,1,FAC,C C C D D G,C L L D D G,WPG won Neu. Zone - T.B #71 CIRELLI vs WPG #17 LOWRY,20,00,T.B,WPG
6,1,HIT,C C C D D G,C L L D D G,"T.B #10 MILLER HIT WPG #5 KULIKOV, Neu. Zone",19,55,T.B,WPG
7,1,GIVE,C C C D D G,C L L D D G,"T.B GIVEAWAY - #88 VASILEVSKIY, Def. Zone",19,50,T.B,WPG
8,1,BLOCK,C C C D D G,C L L D D G,"WPG #85 PERREAULT BLOCKED BY  T.B #77 HEDMAN, Wrist, Def. Zone",19,50,T.B,WPG
9,1,SHOT,C C C D D G,C C R D D G,"T.B ONGOAL - #17 KILLORN, Wrist, Off. Zone, 50 ft.",19,33,T.B,WPG
10,1,STOP,C C C D D G,C C R D D G,GOALIE STOPPED,19,31,T.B,WPG
11,1,FAC,C C R D D G,C R L D D G,T.B won Off. Zone - T.B #21 POINT vs WPG #55 SCHEIFELE,19,31,T.B,WPG
12,1,BLOCK,C C R D D G,C R L D D G,"T.B #27 MCDONAGH BLOCKED BY  WPG #44 MORRISSEY, Wrist, Def. Zone",19,25,T.B,WPG
13,1,GIVE,C C R D D G,C R L D D G,"WPG GIVEAWAY - #27 EHLERS, Def. Zone",19,17,T.B,WPG
14,1,MISS,C C R D D G,C R L D D G,"T.B #27 MCDONAGH, Wrist, Wide of Net, Off. Zone, 47 ft.",19,07,T.B,WPG
15,1,STOP,C C R D D G,C R L D D G,ICING,18,56,T.B,WPG
16,1,FAC,C C L D D G,C R L D D G,WPG won Def. Zone - T.B #37 GOURDE vs WPG #55 SCHEIFELE,18,56,T.B,WPG
17,1,BLOCK,C C L D D G,C R L D D G,"WPG #18 LITTLE BLOCKED BY  T.B #98 SERGACHEV, Wrist, Def. Zone",18,21,T.B,WPG
18,1,SHOT,C C L D D G,C R L D D G,"WPG ONGOAL - #33 BYFUGLIEN, Wrist, Off. Zone, 57 ft.",18,15,T.B,WPG
19,1,STOP,C C L D D G,C R L D D G,GOALIE STOPPED,18,14,T.B,WPG
20,1,FAC,C R L D D G,C R L D D G,T.B won Def. Zone - T.B #13 PAQUETTE vs WPG #18 LITTLE,18,14,T.B,WPG
21,1,SHOT,C C R D D G,C C L D D G,"T.B ONGOAL - #9 JOHNSON, Snap, Off. Zone, 11 ft.",17,26,T.B,WPG
22,1,SHOT,C C R D D G,C C L D D G,"T.B ONGOAL - #9 JOHNSON, Wrist, Off. Zone, 9 ft.",17,25,T.B,WPG
23,1,SHOT,C C R D D G,C C L D D G,"T.B ONGOAL - #55 COBURN, Wrist, Off. Zone, 28 ft.",17,21,T.B,WPG
