n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C R L D D G,C R L D D G,Period Start- Local time: 1:07 EST,20,00,NYI,N.J
2,1,FAC,C R L D D G,C R L D D G,NYI won Neu. Zone - NYI #91 TAVARES vs N.J #26 ELIAS,20,00,NYI,N.J
3,1,BLOCK,C R R D D G,C R L D D G,"NYI #51 NIELSEN BLOCKED BY  N.J #5 LARSSON, Snap, Def. Zone",19,15,NYI,N.J
4,1,STOP,C R R D D G,C L L D D G,OFFSIDE,18,58,NYI,N.J
5,1,FAC,C R R D D G,C L L D D G,N.J won Neu. Zone - NYI #51 NIELSEN vs N.J #14 HENRIQUE,18,58,NYI,N.J
6,1,SHOT,C L L D D G,C R L D D G,"N.J ONGOAL - #25 JANSSEN, Wrist, Off. Zone, 34 ft.",17,17,NYI,N.J
7,1,HIT,C R L D D G,C R L D D G,"NYI #3 HAMONIC HIT N.J #6 GREENE, Neu. Zone",16,51,NYI,N.J
8,1,GIVE,C R L D D G,C R L D D G,"N.J GIVEAWAY - #8 ZUBRUS, Off. Zone",16,40,NYI,N.J
9,1,SHOT,C R L D D G,C R L D D G,"N.J ONGOAL - #24 SALVADOR, Slap, Off. Zone, 55 ft.",15,55,NYI,N.J
10,1,BLOCK,C R R D D G,C L L D D G,"N.J #14 HENRIQUE BLOCKED BY  NYI #27 JURCINA, Wrist, Def. Zone",15,13,NYI,N.J
11,1,HIT,C R R D D G,C C R D D G,"NYI #12 BAILEY HIT N.J #29 FAYNE, Def. Zone",14,47,NYI,N.J
12,1,SHOT,C R L D D G,C C R D D G,"N.J ONGOAL - #29 FAYNE, Snap, Off. Zone, 57 ft.",14,16,NYI,N.J
13,1,HIT,C L L D D G,C R L D D G,"N.J #25 JANSSEN HIT NYI #24 STAIOS, Off. Zone",13,46,NYI,N.J
14,1,SHOT,C L L D D G,C R L D D G,"NYI ONGOAL - #2 STREIT, Snap, Off. Zone, 51 ft.",13,45,NYI,N.J
15,1,STOP,C L L D D G,C R L D D G,"GOALIE STOPPED,TV TIMEOUT",13,45,NYI,N.J
16,1,FAC,C L L D D G,C R L D D G,N.J won Def. Zone - NYI #29 PANDOLFO vs N.J #11 MILLS,13,45,NYI,N.J
17,1,STOP,C R L D D G,C R L D D G,ICING,13,18,NYI,N.J
18,1,FAC,C R L D D G,C R L D D G,NYI won Off. Zone - NYI #91 TAVARES vs N.J #11 MILLS,13,18,NYI,N.J
19,1,HIT,C R L D D G,C R L D D G,"NYI #10 MOTTAU HIT N.J #8 ZUBRUS, Def. Zone",12,16,NYI,N.J
20,1,BLOCK,C R L D D G,C R L D D G,"NYI #27 JURCINA BLOCKED BY  N.J #5 LARSSON, Slap, Def. Zone",12,04,NYI,N.J
21,1,BLOCK,C R R D D G,C L L D D G,"NYI #12 BAILEY BLOCKED BY  N.J #28 VOLCHENKOV, Slap, Def. Zone",11,17,NYI,N.J
22,1,STOP,C R R D D G,C L L D D G,PUCK IN NETTING,11,17,NYI,N.J
23,1,FAC,C R L D D G,C C R D D G,N.J won Def. Zone - NYI #12 BAILEY vs N.J #18 SESTITO,11,17,NYI,N.J
24,1,HIT,C R L D D G,C C R D D G,"NYI #2 STREIT HIT N.J #20 CARTER, Def. Zone",11,03,NYI,N.J
25,1,SHOT,C R L D D G,C C R D D G,"N.J ONGOAL - #23 CLARKSON, Snap, Off. Zone, 30 ft.",10,58,NYI,N.J
26,1,BLOCK,C R L D D G,C C R D D G,"NYI #12 BAILEY BLOCKED BY  N.J #28 VOLCHENKOV, Snap, Def. Zone",10,45,NYI,N.J
27,1,GIVE,C C L D D G,C R L D D G,"N.J GIVEAWAY - #15 SYKORA, Off. Zone",9,30,NYI,N.J
28,1,STOP,C R L D D G,C R L D D G,ICING,9,06,NYI,N.J
29,1,FAC,C R L D D G,C L L D D G,NYI won Def. Zone - NYI #91 TAVARES vs N.J #14 HENRIQUE,9,06,NYI,N.J
30,1,STOP,C R L D D G,C L L D D G,ICING,8,56,NYI,N.J
31,1,FAC,C R L D D G,C L L D D G,NYI won Def. Zone - NYI #91 TAVARES vs N.J #14 HENRIQUE,8,56,NYI,N.J
32,1,HIT,C R L D D G,C L L D D G,"NYI #27 JURCINA HIT N.J #9 PARISE, Def. Zone",8,40,NYI,N.J
33,1,GOAL,C R L D D G,C L L D D G,"NYI #26 MOULSON(7), Snap, Off. Zone, 35 ft.Assists: #15 PARENTEAU(12); #27 JURCINA(2)",8,32,NYI,N.J
34,1,FAC,C R R D D G,C C R D D G,NYI won Neu. Zone - NYI #51 NIELSEN vs N.J #18 SESTITO,8,32,NYI,N.J
35,1,BLOCK,C R R D D G,C C R D D G,"N.J #23 CLARKSON BLOCKED BY  NYI #2 STREIT, Wrist, Def. Zone",8,15,NYI,N.J
36,1,SHOT,C R L D D G,C L L D D G,"NYI ONGOAL - #11 ROLSTON, Slap, Off. Zone, 48 ft.",7,37,NYI,N.J
37,1,BLOCK,C R L D D G,C L L D D G,"N.J #29 FAYNE BLOCKED BY  NYI #12 BAILEY, Slap, Def. Zone",7,23,NYI,N.J
38,1,STOP,C R L D D G,C L L D D G,"OFFSIDE,TV TIMEOUT",7,14,NYI,N.J
