n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PGSTR,,, ,20,00,PHI,CBJ
2,1,PGEND,,, ,20,00,PHI,CBJ
3,1,ANTHEM,,, ,20,00,PHI,CBJ
4,1,PSTR,C C R D D G,C R L D D G,Period Start- Local time: 7:07 EST,20,00,PHI,CBJ
5,1,FAC,C C R D D G,C R L D D G,CBJ won Neu. Zone - PHI #28 GIROUX vs CBJ #18 DUBOIS,20,00,PHI,CBJ
6,1,STOP,C C R D D G,C R L D D G,ICING,19,41,PHI,CBJ
7,1,FAC,C C R D D G,C R L D D G,PHI won Def. Zone - PHI #14 COUTURIER vs CBJ #71 FOLIGNO,19,41,PHI,CBJ
8,1,SHOT,C R L D D G,C R L D D G,"CBJ ONGOAL - #38 JENNER, Snap, Off. Zone, 14 ft.",19,16,PHI,CBJ
9,1,STOP,C R R D D G,C R L D D G,PUCK IN CROWD,18,28,PHI,CBJ
10,1,FAC,C R R D D G,C R L D D G,PHI won Off. Zone - PHI #51 FILPPULA vs CBJ #18 DUBOIS,18,28,PHI,CBJ
11,1,SHOT,C R R D D G,C R L D D G,"PHI ONGOAL - #22 WEISE, Tip-In, Off. Zone, 17 ft.",18,22,PHI,CBJ
12,1,MISS,C R R D D G,C R L D D G,"PHI #6 SANHEIM, Snap, Wide of Net, Off. Zone, 66 ft.",18,14,PHI,CBJ
13,1,HIT,C R R D D G,C R L D D G,"PHI #17 SIMMONDS HIT CBJ #9 PANARIN, Off. Zone",18,06,PHI,CBJ
14,1,SHOT,C C R D D G,C R L D D G,"CBJ ONGOAL - #77 ANDERSON, Snap, Off. Zone, 41 ft.",17,42,PHI,CBJ
15,1,STOP,C C R D D G,C R L D D G,PUCK FROZEN,17,39,PHI,CBJ
16,1,FAC,C L L D D G,C C L D D G,CBJ won Off. Zone - PHI #21 LAUGHTON vs CBJ #14 SCHROEDER,17,39,PHI,CBJ
17,1,SHOT,C C R D D G,C R L D D G,"PHI ONGOAL - #53 GOSTISBEHERE, Wrist, Off. Zone, 52 ft.",16,37,PHI,CBJ
18,1,STOP,C C R D D G,C R L D D G,GOALIE STOPPED,16,36,PHI,CBJ
19,1,FAC,C C R D D G,C R L D D G,PHI won Off. Zone - PHI #28 GIROUX vs CBJ #71 FOLIGNO,16,36,PHI,CBJ
20,1,BLOCK,C C R D D G,C R L D D G,"PHI #14 COUTURIER BLOCKED BY  CBJ #38 JENNER, Wrist, Def. Zone",16,31,PHI,CBJ
21,1,TAKE,C C R D D G,C R L D D G,"PHI TAKEAWAY - #53 GOSTISBEHERE, Off. Zone",16,15,PHI,CBJ
22,1,MISS,C C R D D G,C R L D D G,"PHI #11 KONECNY, Snap, Over Net, Off. Zone, 12 ft.",16,13,PHI,CBJ
23,1,STOP,C R L D D G,C R L D D G,PUCK IN NETTING,16,12,PHI,CBJ
24,1,FAC,C R L D D G,C R L D D G,PHI won Off. Zone - PHI #19 PATRICK vs CBJ #11 CALVERT,16,12,PHI,CBJ
25,1,SHOT,C R L D D G,C R L D D G,"CBJ ONGOAL - #53 CARLSSON, Snap, Off. Zone, 48 ft.",15,51,PHI,CBJ
26,1,STOP,C R L D D G,C R L D D G,PUCK IN NETTING,15,51,PHI,CBJ
27,1,FAC,C R L D D G,C R L D D G,PHI won Def. Zone - PHI #12 RAFFL vs CBJ #18 DUBOIS,15,51,PHI,CBJ
28,1,SHOT,C R L D D G,C R L D D G,"CBJ ONGOAL - #77 ANDERSON, Snap, Off. Zone, 51 ft.",15,45,PHI,CBJ
29,1,STOP,C R L D D G,C R L D D G,GOALIE STOPPED,15,43,PHI,CBJ
30,1,FAC,C R R D D G,C R L D D G,PHI won Def. Zone - PHI #51 FILPPULA vs CBJ #18 DUBOIS,15,43,PHI,CBJ
31,1,STOP,C R R D D G,C R L D D G,OFFSIDE,15,24,PHI,CBJ
32,1,FAC,C R R D D G,C C L D D G,CBJ won Neu. Zone - PHI #51 FILPPULA vs CBJ #14 SCHROEDER,15,24,PHI,CBJ
33,1,SHOT,C L L D D G,C R L D D G,"PHI ONGOAL - #20 LEIER, Wrist, Off. Zone, 36 ft.",14,26,PHI,CBJ
34,1,STOP,C L L D D G,C R L D D G,GOALIE STOPPED,14,25,PHI,CBJ
35,1,FAC,C C R D D G,C R L D D G,PHI won Off. Zone - PHI #28 GIROUX vs CBJ #71 FOLIGNO,14,25,PHI,CBJ
36,1,BLOCK,C C R D D G,C R L D D G,"PHI #14 COUTURIER BLOCKED BY  CBJ #13 ATKINSON, Snap, Def. Zone",14,20,PHI,CBJ
37,1,SHOT,C C R D D G,C R L D D G,"PHI ONGOAL - #3 GUDAS, Wrist, Off. Zone, 61 ft.",13,52,PHI,CBJ
38,1,STOP,C C R D D G,C R L D D G,"GOALIE STOPPED,TV TIMEOUT",13,51,PHI,CBJ
39,1,FAC,C R L D D G,C R L D D G,CBJ won Def. Zone - PHI #19 PATRICK vs CBJ #38 JENNER,13,51,PHI,CBJ
40,1,MISS,C R L D D G,C R L D D G,"CBJ #38 JENNER, Tip-In, Wide of Net, Off. Zone, 13 ft.",13,32,PHI,CBJ
41,1,MISS,C R R D D G,C R L D D G,"CBJ #71 FOLIGNO, Wrist, Over Net, Off. Zone, 48 ft.",13,07,PHI,CBJ
42,1,HIT,C R R D D G,C R L D D G,"CBJ #38 JENNER HIT PHI #9 PROVOROV, Off. Zone",12,51,PHI,CBJ
43,1,MISS,C R R D D G,C R L D D G,"CBJ #28 BJORKSTRAND, Tip-In, Wide of Net, Off. Zone, 10 ft.",12,50,PHI,CBJ
44,1,SHOT,C R R D D G,C R L D D G,"CBJ ONGOAL - #28 BJORKSTRAND, Backhand, Off. Zone, 29 ft.",12,26,PHI,CBJ
45,1,HIT,C R R D D G,C R L D D G,"PHI #47 MACDONALD HIT CBJ #28 BJORKSTRAND, Def. Zone",12,22,PHI,CBJ
46,1,BLOCK,C R R D D G,C R L D D G,"CBJ #4 HARRINGTON BLOCKED BY  PHI #8 HAGG, Snap, Def. Zone",12,22,PHI,CBJ
47,1,STOP,C C R D D G,C R L D D G,OFFSIDE,11,55,PHI,CBJ
48,1,FAC,C C R D D G,C R L D D G,CBJ won Neu. Zone - PHI #28 GIROUX vs CBJ #18 DUBOIS,11,55,PHI,CBJ
49,1,SHOT,C C R D D G,C R L D D G,"PHI ONGOAL - #28 GIROUX, Wrist, Off. Zone, 30 ft.",11,21,PHI,CBJ
50,1,SHOT,C C R D D G,C R L D D G,"PHI ONGOAL - #28 GIROUX, Snap, Off. Zone, 8 ft.",11,20,PHI,CBJ
51,1,STOP,C C R D D G,C R L D D G,GOALIE STOPPED,11,19,PHI,CBJ
52,1,FAC,C L L D D G,C C L D D G,CBJ won Def. Zone - PHI #15 LEHTERA vs CBJ #14 SCHROEDER,11,19,PHI,CBJ
53,1,HIT,C L L D D G,C C L D D G,"PHI #21 LAUGHTON HIT CBJ #58 SAVARD, Off. Zone",10,54,PHI,CBJ
54,1,MISS,C R L D D G,C C R D D G,"CBJ #13 ATKINSON, Wrist, Wide of Net, Off. Zone, 21 ft.",10,15,PHI,CBJ
55,1,HIT,C R L D D G,C C R D D G,"CBJ #65 NUTIVAARA HIT PHI #12 RAFFL, Def. Zone",10,05,PHI,CBJ
56,1,SHOT,C C R D D G,C R L D D G,"PHI ONGOAL - #9 PROVOROV, Wrist, Off. Zone, 35 ft.",8,42,PHI,CBJ
57,1,STOP,C C R D D G,C R L D D G,"GOALIE STOPPED,TV TIMEOUT",8,41,PHI,CBJ
58,1,FAC,C C R D D G,C R L D D G,PHI won Off. Zone - PHI #14 COUTURIER vs CBJ #18 DUBOIS,8,41,PHI,CBJ
59,1,SHOT,C C R D D G,C R L D D G,"PHI ONGOAL - #14 COUTURIER, Wrist, Off. Zone, 51 ft.",8,26,PHI,CBJ
60,1,STOP,C C R D D G,C R L D D G,PUCK FROZEN,8,26,PHI,CBJ
61,1,FAC,C R L D D G,C R L D D G,PHI won Off. Zone - PHI #19 PATRICK vs CBJ #71 FOLIGNO,8,26,PHI,CBJ
62,1,HIT,C R L D D G,C R L D D G,"CBJ #38 JENNER HIT PHI #47 MACDONALD, Off. Zone",7,55,PHI,CBJ
63,1,GIVE,C R L D D G,C R L D D G,"PHI GIVEAWAY - #19 PATRICK, Neu. Zone",7,48,PHI,CBJ
64,1,STOP,C R L D D G,C R L D D G,"REFEREE OR LINESMAN,PLAYER INJURY",7,39,PHI,CBJ
65,1,FAC,C R R D D G,C R L D D G,PHI won Neu. Zone - PHI #51 FILPPULA vs CBJ #18 DUBOIS,7,39,PHI,CBJ
66,1,SHOT,C R R D D G,C R L D D G,"PHI ONGOAL - #3 GUDAS, Wrist, Def. Zone, 129 ft.",7,30,PHI,CBJ
67,1,BLOCK,C R R D D G,C R L D D G,"PHI #17 SIMMONDS BLOCKED BY  CBJ #4 HARRINGTON, Wrist, Def. Zone",7,22,PHI,CBJ
68,1,HIT,C R R D D G,C R L D D G,"PHI #17 SIMMONDS HIT CBJ #77 ANDERSON, Def. Zone",7,07,PHI,CBJ
69,1,SHOT,C R R D D G,C R L D D G,"CBJ ONGOAL - #53 CARLSSON, Slap, Off. Zone, 45 ft.",7,05,PHI,CBJ
70,1,STOP,C R R D D G,C R L D D G,GOALIE STOPPED,7,04,PHI,CBJ
71,1,FAC,C L L D D G,C C L D D G,CBJ won Off. Zone - PHI #21 LAUGHTON vs CBJ #14 SCHROEDER,7,04,PHI,CBJ
72,1,SHOT,C L L D D G,C C L D D G,"CBJ ONGOAL - #3 JONES, Wrist, Off. Zone, 56 ft.",6,57,PHI,CBJ
73,1,STOP,C L L D D G,C C L D D G,GOALIE STOPPED,6,56,PHI,CBJ
74,1,FAC,C L L D D G,C C L D D G,CBJ won Off. Zone - PHI #21 LAUGHTON vs CBJ #14 SCHROEDER,6,56,PHI,CBJ
75,1,BLOCK,C L L D D G,C C L D D G,"CBJ #64 MOTTE BLOCKED BY  PHI #53 GOSTISBEHERE, Wrist, Def. Zone",6,51,PHI,CBJ
76,1,MISS,C L L D D G,C C L D D G,"CBJ #64 MOTTE, Wrist, Wide of Net, Off. Zone, 44 ft.",6,40,PHI,CBJ
77,1,TAKE,C L L D D G,C C L D D G,"CBJ TAKEAWAY - #64 MOTTE, Off. Zone",6,30,PHI,CBJ
78,1,HIT,C C R D D G,C R L D D G,"CBJ #45 SEDLAK HIT PHI #47 MACDONALD, Off. Zone",6,00,PHI,CBJ
79,1,MISS,C C R D D G,C R L D D G,"PHI #14 COUTURIER, Tip-In, Wide of Net, Off. Zone, 9 ft.",5,55,PHI,CBJ
