n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PGSTR,,, ,20,00,VGK,VAN
2,1,PGEND,,, ,20,00,VGK,VAN
3,1,ANTHEM,,, ,20,00,VGK,VAN
4,1,PSTR,C C R D D G,C C L D D G,Period Start- Local time: 7:08 PDT,20,00,VGK,VAN
5,1,FAC,C C R D D G,C C L D D G,VGK won Neu. Zone - VGK #71 KARLSSON vs VAN #33 SEDIN,20,00,VGK,VAN
6,1,STOP,C C R D D G,C C L D D G,ICING,19,42,VGK,VAN
7,1,FAC,C C R D D G,C C L D D G,VAN won Def. Zone - VGK #89 TUCH vs VAN #33 SEDIN,19,42,VGK,VAN
8,1,STOP,C C R D D G,C R L D D G,PUCK IN NETTING,19,32,VGK,VAN
9,1,FAC,C C R D D G,C R L D D G,VAN won Neu. Zone - VGK #71 KARLSSON vs VAN #53 HORVAT,19,32,VGK,VAN
10,1,SHOT,C L L D D G,C R L D D G,"VGK ONGOAL - #21 EAKIN, Wrist, Off. Zone, 22 ft.",18,19,VGK,VAN
11,1,MISS,C L L D D G,C R L D D G,"VGK #90 TATAR, Backhand, Wide of Net, Off. Zone, 12 ft.",18,15,VGK,VAN
12,1,STOP,C L L D D G,C R L D D G,PUCK FROZEN,18,15,VGK,VAN
13,1,FAC,C L L D D G,C C C D D G,VAN won Def. Zone - VGK #40 CARPENTER vs VAN #20 SUTTER,18,15,VGK,VAN
14,1,SHOT,C L L D D G,C C C D D G,"VGK ONGOAL - #92 NOSEK, Wrist, Off. Zone, 29 ft.",18,08,VGK,VAN
15,1,MISS,C L L D D G,C C C D D G,"VAN #59 SAUTNER, Wrist, Wide of Net, Off. Zone, 65 ft.",17,42,VGK,VAN
16,1,SHOT,C C L D D G,C C C D D G,"VGK ONGOAL - #40 CARPENTER, Wrist, Off. Zone, 14 ft.",17,27,VGK,VAN
17,1,HIT,C C L D D G,C C C D D G,"VGK #92 NOSEK HIT VAN #17 DOWD, Off. Zone",17,27,VGK,VAN
18,1,HIT,C C L D D G,C C C D D G,"VGK #24 LINDBERG HIT VAN #17 DOWD, Off. Zone",17,23,VGK,VAN
19,1,HIT,C R L D D G,C C L D D G,"VGK #28 CARRIER HIT VAN #5 POULIOT, Off. Zone",17,07,VGK,VAN
20,1,MISS,C R L D D G,C C L D D G,"VAN #22 SEDIN, Wrist, Wide of Net, Off. Zone, 17 ft.",17,01,VGK,VAN
21,1,BLOCK,C R L D D G,C C L D D G,"VAN #22 SEDIN BLOCKED BY  VGK #5 ENGELLAND, Wrist, Def. Zone",16,58,VGK,VAN
22,1,BLOCK,C R L D D G,C C L D D G,"VAN #4 DEL ZOTTO BLOCKED BY  VGK #5 ENGELLAND, Slap, Def. Zone",16,44,VGK,VAN
23,1,MISS,C R L D D G,C C L D D G,"VAN #4 DEL ZOTTO, Slap, Wide of Net, Off. Zone, 47 ft.",16,38,VGK,VAN
24,1,MISS,C C R D D G,C C L D D G,"VAN #33 SEDIN, Wrap-around, Wide of Net, Off. Zone, 7 ft.",16,24,VGK,VAN
25,1,TAKE,C C R D D G,C C L D D G,"VGK TAKEAWAY - #88 SCHMIDT, Def. Zone",16,18,VGK,VAN
26,1,HIT,C C R D D G,C C L D D G,"VGK #71 KARLSSON HIT VAN #22 SEDIN, Def. Zone",16,01,VGK,VAN
27,1,HIT,C C R D D G,C C L D D G,"VAN #33 SEDIN HIT VGK #73 PIRRI, Off. Zone",15,57,VGK,VAN
28,1,BLOCK,C C R D D G,C R L D D G,"VGK #6 MILLER BLOCKED BY  VAN #77 GOLDOBIN, Slap, Def. Zone",15,32,VGK,VAN
29,1,GOAL,C C R D D G,C R L D D G,"VGK #73 PIRRI(1), Wrist, Off. Zone, 26 ft.Assist: #6 MILLER(30)",15,32,VGK,VAN
30,1,FAC,C L L D D G,C R L D D G,VAN won Neu. Zone - VGK #21 EAKIN vs VAN #88 GAUDETTE,15,32,VGK,VAN
31,1,GIVE,C L L D D G,C R L D D G,"VGK GIVEAWAY - #21 EAKIN, Def. Zone",15,15,VGK,VAN
32,1,BLOCK,C L L D D G,C R L D D G,"VAN #88 GAUDETTE BLOCKED BY  VGK #88 SCHMIDT, Slap, Def. Zone",15,09,VGK,VAN
33,1,HIT,C L L D D G,C R L D D G,"VAN #4 DEL ZOTTO HIT VGK #6 MILLER, Def. Zone",14,55,VGK,VAN
