n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C L L D D G,C C C D D G,Period Start- Local time: 1:08 EST,20,00,PIT,BOS
2,1,FAC,C L L D D G,C C C D D G,BOS won Neu. Zone - PIT #71 MALKIN vs BOS #37 BERGERON,20,00,PIT,BOS
3,1,STOP,C L L D D G,C C L D D G,ICING,19,38,PIT,BOS
4,1,FAC,C L L D D G,C C L D D G,BOS won Off. Zone - PIT #71 MALKIN vs BOS #46 KREJCI,19,38,PIT,BOS
5,1,SHOT,C L L D D G,C C L D D G,"BOS ONGOAL - #33 CHARA, Snap, Off. Zone, 57 ft.",19,36,PIT,BOS
6,1,STOP,C L L D D G,C C L D D G,GOALIE STOPPED,19,36,PIT,BOS
7,1,FAC,C L L D D G,C C L D D G,BOS won Off. Zone - PIT #15 JEFFREY vs BOS #23 KELLY,19,36,PIT,BOS
8,1,BLOCK,C L L D D G,C C L D D G,"BOS #44 SEIDENBERG BLOCKED BY  PIT #24 COOKE, Slap, Def. Zone",19,31,PIT,BOS
9,1,STOP,C L L D D G,C C L D D G,PUCK IN CROWD,19,31,PIT,BOS
10,1,FAC,C L L D D G,C C L D D G,PIT won Def. Zone - PIT #15 JEFFREY vs BOS #23 KELLY,19,31,PIT,BOS
11,1,HIT,C L L D D G,C C L D D G,"BOS #17 LUCIC HIT PIT #4 MICHALEK, Neu. Zone",18,33,PIT,BOS
12,1,SHOT,C L L D D G,C C L D D G,"PIT ONGOAL - #5 ENGELLAND, Slap, Off. Zone, 55 ft.",18,27,PIT,BOS
13,1,MISS,C L L D D G,C C L D D G,"PIT #71 MALKIN, Snap, Wide of Net, Off. Zone, 32 ft.",18,22,PIT,BOS
14,1,BLOCK,C L L D D G,C C L D D G,"PIT #18 NEAL BLOCKED BY  BOS #49 PEVERLEY, Wrist, Def. Zone",17,56,PIT,BOS
15,1,HIT,C C L D D G,C C L D D G,"PIT #5 ENGELLAND HIT BOS #17 LUCIC, Def. Zone",17,43,PIT,BOS
16,1,BLOCK,C C L D D G,C C C D D G,"PIT #48 KENNEDY BLOCKED BY  BOS #19 SEGUIN, Wrist, Def. Zone",17,40,PIT,BOS
17,1,STOP,C C L D D G,C C C D D G,PUCK IN CROWD,17,39,PIT,BOS
18,1,FAC,C C L D D G,C L L D D G,PIT won Neu. Zone - PIT #16 O'REILLY vs BOS #11 CAMPBELL,17,39,PIT,BOS
19,1,STOP,C C L D D G,C L L D D G,OFFSIDE,17,16,PIT,BOS
20,1,FAC,C R R D D G,C L L D D G,PIT won Neu. Zone - PIT #46 VITALE vs BOS #11 CAMPBELL,17,16,PIT,BOS
21,1,GIVE,C R R D D G,C L L D D G,"BOS GIVEAWAY - #20 PAILLE, Neu. Zone",16,51,PIT,BOS
22,1,STOP,C R R D D G,C L L D D G,PUCK FROZEN,16,30,PIT,BOS
23,1,FAC,C L L D D G,C C L D D G,BOS won Off. Zone - PIT #15 JEFFREY vs BOS #23 KELLY,16,30,PIT,BOS
24,1,HIT,C L L D D G,C C L D D G,"PIT #24 COOKE HIT BOS #44 SEIDENBERG, Def. Zone",16,15,PIT,BOS
25,1,SHOT,C L L D D G,C C L D D G,"PIT ONGOAL - #9 DUPUIS, Slap, Off. Zone, 44 ft.",16,07,PIT,BOS
26,1,HIT,C L L D D G,C C L D D G,"PIT #24 COOKE HIT BOS #23 KELLY, Off. Zone",16,01,PIT,BOS
27,1,BLOCK,C L L D D G,C C C D D G,"PIT #18 NEAL BLOCKED BY  BOS #55 BOYCHUK, Wrist, Def. Zone",15,16,PIT,BOS
28,1,HIT,C L L D D G,C C C D D G,"BOS #63 MARCHAND HIT PIT #58 LETANG, Off. Zone",14,47,PIT,BOS
29,1,BLOCK,C L L D D G,C C C D D G,"BOS #19 SEGUIN BLOCKED BY  PIT #58 LETANG, Slap, Def. Zone",14,37,PIT,BOS
30,1,MISS,C C L D D G,C C L D D G,"PIT #4 MICHALEK, Slap, Wide of Net, Off. Zone, 65 ft.",13,47,PIT,BOS
31,1,HIT,C C R D D G,C C L D D G,"PIT #48 KENNEDY HIT BOS #44 SEIDENBERG, Off. Zone",13,26,PIT,BOS
32,1,SHOT,C L L D D G,C C L D D G,"BOS ONGOAL - #52 HAMILL, Wrist, Off. Zone, 47 ft.",11,57,PIT,BOS
33,1,STOP,C L L D D G,C C L D D G,"GOALIE STOPPED,TV TIMEOUT",11,57,PIT,BOS
34,1,FAC,C L L D D G,C C L D D G,PIT won Def. Zone - PIT #46 VITALE vs BOS #46 KREJCI,11,57,PIT,BOS
35,1,BLOCK,C L L D D G,C C L D D G,"BOS #49 PEVERLEY BLOCKED BY  PIT #58 LETANG, Wrist, Def. Zone",11,39,PIT,BOS
36,1,HIT,C L L D D G,C C L D D G,"PIT #44 ORPIK HIT BOS #46 KREJCI, Def. Zone",11,15,PIT,BOS
37,1,BLOCK,C L L D D G,C C L D D G,"PIT #18 NEAL BLOCKED BY  BOS #55 BOYCHUK, Wrist, Def. Zone",11,04,PIT,BOS
38,1,SHOT,C L L D D G,C C L D D G,"PIT ONGOAL - #7 MARTIN, Snap, Off. Zone, 64 ft.",11,03,PIT,BOS
39,1,STOP,C C C D D G,C C C D D G,PUCK IN CROWD,11,03,PIT,BOS
40,1,FAC,C C C D D G,C C C D D G,BOS won Def. Zone - PIT #71 MALKIN vs BOS #19 SEGUIN,11,03,PIT,BOS
41,1,GIVE,C C C D D G,C C C D D G,"PIT GIVEAWAY - #48 KENNEDY, Off. Zone",10,54,PIT,BOS
42,1,SHOT,C C C D D G,C C C D D G,"BOS ONGOAL - #19 SEGUIN, Wrist, Off. Zone, 17 ft.",10,45,PIT,BOS
43,1,SHOT,C C C D D G,C C C D D G,"BOS ONGOAL - #21 FERENCE, Wrist, Off. Zone, 48 ft.",10,27,PIT,BOS
44,1,BLOCK,C C C D D G,C C C D D G,"BOS #19 SEGUIN BLOCKED BY  PIT #7 MARTIN, Wrist, Def. Zone",10,18,PIT,BOS
45,1,TAKE,C L L D D G,C C L D D G,"BOS TAKEAWAY - #67 POULIOT, Off. Zone",9,58,PIT,BOS
46,1,SHOT,C L L D D G,C C L D D G,"BOS ONGOAL - #44 SEIDENBERG, Snap, Off. Zone, 59 ft.",9,43,PIT,BOS
