n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PGSTR,,, ,20,00,VAN,OTT
2,1,PGEND,,, ,20,00,VAN,OTT
3,1,ANTHEM,,, ,20,00,VAN,OTT
4,1,PSTR,C L L D D G,C C R D D G,Period Start- Local time: 7:08 EDT,20,00,VAN,OTT
5,1,FAC,C L L D D G,C C R D D G,VAN won Neu. Zone - VAN #53 HORVAT vs OTT #71 TIERNEY,20,00,VAN,OTT
6,1,STOP,C L L D D G,C C R D D G,OFFSIDE,19,54,VAN,OTT
7,1,FAC,C L L D D G,C C R D D G,VAN won Neu. Zone - VAN #53 HORVAT vs OTT #71 TIERNEY,19,54,VAN,OTT
8,1,STOP,C L L D D G,C C R D D G,ICING,19,47,VAN,OTT
9,1,FAC,C L L D D G,C C L D D G,VAN won Def. Zone - VAN #53 HORVAT vs OTT #9 NORRIS,19,47,VAN,OTT
10,1,HIT,C L L D D G,C C L D D G,"OTT #7 TKACHUK HIT VAN #43 HUGHES, Off. Zone",19,39,VAN,OTT
11,1,STOP,C R L D D G,C C L D D G,PUCK IN NETTING,19,36,VAN,OTT
12,1,FAC,C R L D D G,C C L D D G,OTT won Neu. Zone - VAN #9 MILLER vs OTT #9 NORRIS,19,36,VAN,OTT
13,1,GIVE,C R L D D G,C C L D D G,"OTT GIVEAWAY - #22 ZAITSEV, Def. Zone",19,26,VAN,OTT
14,1,SHOT,C R L D D G,C C L D D G,"VAN ONGOAL - #24 VESEY, Backhand, Off. Zone, 10 ft.",19,20,VAN,OTT
15,1,HIT,C R L D D G,C C L D D G,"OTT #22 ZAITSEV HIT VAN #9 MILLER, Def. Zone",19,15,VAN,OTT
16,1,BLOCK,C R L D D G,C C L D D G,"VAN #43 HUGHES BLOCKED BY  OTT #19 BATHERSON, Wrist, Def. Zone",19,09,VAN,OTT
17,1,HIT,C C R D D G,C R L D D G,"VAN #64 MOTTE HIT OTT #26 BRANNSTROM, Off. Zone",18,56,VAN,OTT
18,1,BLOCK,C C C D D G,C R L D D G,"OTT #18 STÜTZLE BLOCKED BY  VAN #88 SCHMIDT, Snap, Def. Zone",18,49,VAN,OTT
19,1,TAKE,C C C D D G,C R L D D G,"VAN TAKEAWAY - #20 SUTTER, Off. Zone",18,24,VAN,OTT
20,1,HIT,C C C D D G,C R L D D G,"OTT #2 ZUB HIT VAN #20 SUTTER, Def. Zone",18,15,VAN,OTT
21,1,SHOT,C C C D D G,C R L D D G,"VAN ONGOAL - #23 EDLER, Wrist, Off. Zone, 45 ft.",18,13,VAN,OTT
22,1,HIT,C C R D D G,C L L D D G,"VAN #15 HIGHMORE HIT OTT #26 BRANNSTROM, Neu. Zone",18,03,VAN,OTT
