n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PGSTR,,, ,20,00,PHI,N.J
2,1,PGEND,,, ,20,00,PHI,N.J
3,1,ANTHEM,,, ,20,00,PHI,N.J
4,1,PSTR,C R R D D G,C L L D D G,Period Start- Local time: 7:07 EST,20,00,PHI,N.J
5,1,FAC,C R R D D G,C L L D D G,PHI won Off. Zone - PHI #19 PATRICK vs N.J #13 HISCHIER,20,00,PHI,N.J
6,1,STOP,C R R D D G,C L L D D G,ICING,19,51,PHI,N.J
7,1,FAC,C R R D D G,C L L D D G,N.J won Off. Zone - PHI #19 PATRICK vs N.J #13 HISCHIER,19,51,PHI,N.J
8,1,TAKE,C R R D D G,C C L D D G,"N.J TAKEAWAY - #21 PALMIERI, Off. Zone",19,22,PHI,N.J
9,1,SHOT,C C R D D G,C R L D D G,"N.J ONGOAL - #37 ZACHA, Wrist, Off. Zone, 19 ft.",18,41,PHI,N.J
10,1,BLOCK,C C R D D G,C R L D D G,"PHI #8 HAGG BLOCKED BY  N.J #44 WOOD, Wrist, Off. Zone",18,30,PHI,N.J
11,1,GIVE,C L L D D G,C R L D D G,"PHI GIVEAWAY - #12 RAFFL, Neu. Zone",18,05,PHI,N.J
12,1,TAKE,C C L D D G,C C R D D G,"PHI TAKEAWAY - #51 FILPPULA, Neu. Zone",17,14,PHI,N.J
13,1,SHOT,C C L D D G,C C R D D G,"N.J ONGOAL - #18 STAFFORD, Snap, Off. Zone, 52 ft.",17,10,PHI,N.J
14,1,STOP,C C L D D G,C C R D D G,GOALIE STOPPED,17,10,PHI,N.J
15,1,FAC,C R R D D G,C L L D D G,N.J won Off. Zone - PHI #19 PATRICK vs N.J #13 HISCHIER,17,10,PHI,N.J
16,1,SHOT,C R R D D G,C L L D D G,"N.J ONGOAL - #9 HALL, Snap, Off. Zone, 24 ft.",17,05,PHI,N.J
17,1,PENL,C R R D D G,C C L L D G,"PHI #19 PATRICK Hooking(2 min), Def. Zone Drawn By: N.J #13 HISCHIER",17,03,PHI,N.J
18,1,FAC,R L D D G,C C L L D G,N.J won Off. Zone - PHI #28 GIROUX vs N.J #37 ZACHA,17,03,PHI,N.J
19,1,STOP,R L D D G,C C L L D G,OFFSIDE,16,42,PHI,N.J
