n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C C C D D G,C L L D D G,Period Start- Local time: 7:08 EST,20,00,NYI,PIT
2,1,FAC,C C C D D G,C L L D D G,NYI won Neu. Zone - NYI #91 TAVARES vs PIT #87 CROSBY,20,00,NYI,PIT
3,1,SHOT,C C C D D G,C L L D D G,"PIT ONGOAL - #87 CROSBY, Wrist, Off. Zone, 26 ft.",19,53,NYI,PIT
4,1,HIT,C C C D D G,C L L D D G,"NYI #3 HAMONIC HIT PIT #87 CROSBY, Def. Zone",19,53,NYI,PIT
5,1,SHOT,C C C D D G,C L L D D G,"PIT ONGOAL - #57 PERRON, Wrist, Off. Zone, 13 ft.",19,44,NYI,PIT
6,1,TAKE,C C C D D G,C C L D D G,"NYI TAKEAWAY - #12 BAILEY, Neu. Zone",19,24,NYI,PIT
7,1,SHOT,C C L D D G,C C C D D G,"NYI ONGOAL - #12 BAILEY, Wrist, Off. Zone, 40 ft.",19,19,NYI,PIT
8,1,SHOT,C R L D D G,C R L D D G,"NYI ONGOAL - #51 NIELSEN, Wrist, Off. Zone, 45 ft.",18,43,NYI,PIT
9,1,SHOT,C C C D D G,C R L D D G,"NYI ONGOAL - #14 HICKEY, Wrist, Off. Zone, 47 ft.",18,16,NYI,PIT
10,1,MISS,C C C D D G,C R L D D G,"NYI #84 GRABOVSKI, Tip-In, Wide of Net, Off. Zone, 17 ft.",18,08,NYI,PIT
11,1,STOP,C C C D D G,C R L D D G,ICING,18,07,NYI,PIT
12,1,FAC,C R L D D G,C R L D D G,PIT won Def. Zone - NYI #53 CIZIKAS vs PIT #13 BONINO,18,07,NYI,PIT
13,1,STOP,C R L D D G,C C L D D G,HAND PASS,17,57,NYI,PIT
14,1,FAC,C C C D D G,C L L D D G,NYI won Neu. Zone - NYI #91 TAVARES vs PIT #87 CROSBY,17,57,NYI,PIT
15,1,SHOT,C C C D D G,C L L D D G,"NYI ONGOAL - #27 LEE, Wrist, Off. Zone, 34 ft.",17,44,NYI,PIT
16,1,STOP,C C C D D G,C L L D D G,GOALIE STOPPED,17,43,NYI,PIT
17,1,FAC,C C C D D G,C L L D D G,NYI won Off. Zone - NYI #91 TAVARES vs PIT #87 CROSBY,17,43,NYI,PIT
18,1,BLOCK,C C C D D G,C L L D D G,"NYI #12 BAILEY BLOCKED BY  PIT #28 COLE, Wrist, Def. Zone",17,35,NYI,PIT
19,1,MISS,C C C D D G,C L L D D G,"PIT #14 KUNITZ, Wrist, Over Net, Neu. Zone, 73 ft.",17,22,NYI,PIT
20,1,STOP,C C C D D G,C L L D D G,PUCK IN NETTING,17,21,NYI,PIT
21,1,FAC,C R L D D G,C C L D D G,NYI won Neu. Zone - NYI #53 CIZIKAS vs PIT #16 FEHR,17,21,NYI,PIT
22,1,HIT,C R L D D G,C C L D D G,"PIT #61 PLOTNIKOV HIT NYI #37 STRAIT, Off. Zone",17,05,NYI,PIT
23,1,SHOT,C R L D D G,C C L D D G,"PIT ONGOAL - #61 PLOTNIKOV, Wrist, Off. Zone, 7 ft.",17,01,NYI,PIT
24,1,STOP,C R L D D G,C C L D D G,GOALIE STOPPED,17,00,NYI,PIT
25,1,FAC,C R L D D G,C C C D D G,NYI won Def. Zone - NYI #21 OKPOSO vs PIT #71 MALKIN,17,00,NYI,PIT
26,1,BLOCK,C R L D D G,C C C D D G,"PIT #8 DUMOULIN BLOCKED BY  NYI #14 HICKEY, Wrist, Def. Zone",16,34,NYI,PIT
27,1,GOAL,C R L D D G,C C C D D G,"PIT #81 KESSEL(12), Wrist, Off. Zone, 10 ft.Assists: #7 CULLEN(8); #71 MALKIN(17)",16,26,NYI,PIT
28,1,FAC,C C C D D G,C R L D D G,PIT won Neu. Zone - NYI #84 GRABOVSKI vs PIT #13 BONINO,16,26,NYI,PIT
