n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C L L D D G,C C L D D G,Period Start- Local time: 7:38 PDT,20,00,DET,L.A
2,1,FAC,C L L D D G,C C L D D G,L.A won Neu. Zone - DET #43 HELM vs L.A #10 RICHARDS,20,00,DET,L.A
3,1,GIVE,C L L D D G,C C L D D G,"DET GIVEAWAY - #55 KRONWALL, Def. Zone",19,47,DET,L.A
4,1,SHOT,C L L D D G,C C L D D G,"L.A ONGOAL - #33 MITCHELL, Slap, Off. Zone, 57 ft.",19,42,DET,L.A
5,1,HIT,C L L D D G,C C L D D G,"L.A #77 CARTER HIT DET #8 ABDELKADER, Off. Zone",19,37,DET,L.A
6,1,TAKE,C C L D D G,C R L D D G,"L.A TAKEAWAY - #11 KOPITAR, Off. Zone",19,07,DET,L.A
7,1,SHOT,C C L D D G,C R L D D G,"L.A ONGOAL - #8 DOUGHTY, Slap, Off. Zone, 47 ft.",18,43,DET,L.A
8,1,STOP,C C L D D G,C R L D D G,PUCK IN NETTING,18,41,DET,L.A
9,1,FAC,C C R D D G,C C R D D G,L.A won Off. Zone - DET #11 CLEARY vs L.A #28 STOLL,18,41,DET,L.A
10,1,HIT,C C R D D G,C C R D D G,"L.A #28 STOLL HIT DET #23 STUART, Off. Zone",18,25,DET,L.A
11,1,HIT,C C R D D G,C C R D D G,"L.A #25 PENNER HIT DET #14 NYQUIST, Neu. Zone",18,02,DET,L.A
12,1,HIT,C L L D D G,C C L D D G,"L.A #13 CLIFFORD HIT DET #2 SMITH, Off. Zone",17,45,DET,L.A
13,1,HIT,C L L D D G,C C L D D G,"L.A #24 FRASER HIT DET #48 EMMERTON, Off. Zone",17,40,DET,L.A
14,1,MISS,C L L D D G,C C L D D G,"DET #39 MURSAK, Snap, Wide of Net, Off. Zone, 40 ft.",17,35,DET,L.A
15,1,STOP,C L L D D G,C C L D D G,PUCK IN NETTING,17,34,DET,L.A
16,1,FAC,C L L D D G,C C L D D G,L.A won Def. Zone - DET #43 HELM vs L.A #10 RICHARDS,17,34,DET,L.A
