n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C R R D D G,C R L D D G,Period Start- Local time: 7:37 MST,20,00,ANA,CGY
2,1,FAC,C R R D D G,C R L D D G,CGY won Neu. Zone - ANA #15 GETZLAF vs CGY #13 JOKINEN,20,00,ANA,CGY
3,1,MISS,C R R D D G,C R L D D G,"CGY #44 BUTLER, Wrist, Wide of Net, Off. Zone, 58 ft.",19,32,ANA,CGY
4,1,GIVE,C C L D D G,C C L D D G,"CGY GIVEAWAY - #32 BYRON, Off. Zone",18,54,ANA,CGY
5,1,STOP,C C L D D G,C C L D D G,OFFSIDE,18,52,ANA,CGY
6,1,FAC,C C L D D G,C C L D D G,CGY won Neu. Zone - ANA #63 BONINO vs CGY #19 JONES,18,52,ANA,CGY
7,1,TAKE,C R L D D G,C R L D D G,"ANA TAKEAWAY - #11 KOIVU, Off. Zone",18,07,ANA,CGY
8,1,MISS,C R L D D G,R R L D D G,"CGY #16 KOSTOPOULOS, Tip-In, Wide of Net, Off. Zone, 12 ft.",17,11,ANA,CGY
9,1,HIT,C R L D D G,R R L D D G,"CGY #5 GIORDANO HIT ANA #16 PARROS, Off. Zone",17,07,ANA,CGY
10,1,TAKE,C R L D D G,R R L D D G,"ANA TAKEAWAY - #14 PELLEY, Def. Zone",16,50,ANA,CGY
11,1,TAKE,C R R D D G,C R L D D G,"CGY TAKEAWAY - #12 IGINLA, Off. Zone",15,54,ANA,CGY
12,1,SHOT,C R R D D G,C R L D D G,"CGY ONGOAL - #12 IGINLA, Wrist, Off. Zone, 20 ft.",15,54,ANA,CGY
13,1,HIT,C C L D D G,C C L D D G,"CGY #32 BYRON HIT ANA #32 LYDMAN, Off. Zone",15,40,ANA,CGY
14,1,GIVE,C C L D D G,C C L D D G,"ANA GIVEAWAY - #21 BROOKBANK, Def. Zone",15,30,ANA,CGY
15,1,GIVE,C C L D D G,C C L D D G,"CGY GIVEAWAY - #19 JONES, Off. Zone",15,21,ANA,CGY
16,1,HIT,C C L D D G,C C L D D G,"ANA #7 COGLIANO HIT CGY #7 BRODIE, Off. Zone",15,11,ANA,CGY
17,1,TAKE,C C L D D G,C C L D D G,"ANA TAKEAWAY - #11 KOIVU, Off. Zone",14,59,ANA,CGY
18,1,STOP,C R L D D G,C R L D D G,ICING,14,38,ANA,CGY
19,1,FAC,C R L D D G,C R L D D G,CGY won Off. Zone - ANA #11 KOIVU vs CGY #11 BACKLUND,14,38,ANA,CGY
20,1,BLOCK,C R L D D G,C R L D D G,"CGY #4 BOUWMEESTER BLOCKED BY  ANA #23 BEAUCHEMIN, Wrist, Def. Zone",14,19,ANA,CGY
21,1,HIT,C C R D D G,R R L D D G,"ANA #15 GETZLAF HIT CGY #33 BABCHUK, Neu. Zone",13,37,ANA,CGY
22,1,STOP,C R R D D G,C R R D D G,ICING,12,50,ANA,CGY
23,1,FAC,C R L D D G,C R R D D G,ANA won Off. Zone - ANA #8 SELANNE vs CGY #13 JOKINEN,12,50,ANA,CGY
24,1,MISS,C R L D D G,C R R D D G,"ANA #32 LYDMAN, Wrist, Wide of Net, Off. Zone, 55 ft.",12,38,ANA,CGY
25,1,MISS,C R L D D G,C R R D D G,"CGY #13 JOKINEN, Wrist, Wide of Net, Off. Zone, 21 ft.",12,27,ANA,CGY
26,1,TAKE,C R L D D G,C R L D D G,"CGY TAKEAWAY - #20 GLENCROSS, Def. Zone",12,13,ANA,CGY
27,1,BLOCK,C R L D D G,C R L D D G,"CGY #6 SARICH BLOCKED BY  ANA #14 PELLEY, Wrist, Def. Zone",12,01,ANA,CGY
28,1,HIT,C R L D D G,C R L D D G,"ANA #14 PELLEY HIT CGY #6 SARICH, Off. Zone",11,54,ANA,CGY
29,1,GIVE,C R L D D G,C R L D D G,"CGY GIVEAWAY - #12 IGINLA, Def. Zone",11,42,ANA,CGY
30,1,SHOT,C R R D D G,C R L D D G,"CGY ONGOAL - #22 STEMPNIAK, Snap, Off. Zone, 22 ft.",11,22,ANA,CGY
31,1,STOP,C R R D D G,C R L D D G,"GOALIE STOPPED,TV TIMEOUT",11,20,ANA,CGY
