n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C C C D D G,C C L D D G,Period Start- Local time: 7:12 EST,20,00,ANA,PHI
2,1,FAC,C C C D D G,C C L D D G,PHI won Neu. Zone - ANA #17 KESLER vs PHI #25 WHITE,20,00,ANA,PHI
3,1,SHOT,C R L D D G,C C L D D G,"ANA ONGOAL - #15 GETZLAF, Snap, Off. Zone, 41 ft.",19,38,ANA,PHI
4,1,GIVE,C C R D D G,R R R D D G,"PHI GIVEAWAY - #15 DEL ZOTTO, Def. Zone",19,20,ANA,PHI
5,1,SHOT,C C R D D G,R R R D D G,"ANA ONGOAL - #17 KESLER, Wrap-around, Off. Zone, 11 ft.",19,19,ANA,PHI
6,1,HIT,C C R D D G,R R R D D G,"ANA #17 KESLER HIT PHI #15 DEL ZOTTO, Off. Zone",19,05,ANA,PHI
7,1,BLOCK,C C R D D G,R R R D D G,"PHI #93 VORACEK BLOCKED BY  ANA #4 FOWLER, Wrist, Def. Zone",19,01,ANA,PHI
8,1,STOP,C C R D D G,R R R D D G,PUCK IN NETTING,19,01,ANA,PHI
9,1,FAC,R R L D D G,C C C D D G,ANA won Def. Zone - ANA #67 RAKELL vs PHI #52 COUSINS,19,01,ANA,PHI
10,1,GIVE,R R L D D G,C C C D D G,"ANA GIVEAWAY - #24 DESPRES, Def. Zone",18,38,ANA,PHI
11,1,BLOCK,R R L D D G,C C C D D G,"PHI #10 SCHENN BLOCKED BY  ANA #24 DESPRES, Wrist, Def. Zone",18,34,ANA,PHI
12,1,BLOCK,R R L D D G,C C C D D G,"PHI #23 MANNING BLOCKED BY  ANA #24 DESPRES, Backhand, Def. Zone",18,23,ANA,PHI
13,1,STOP,R R L D D G,C C C D D G,ICING,18,19,ANA,PHI
14,1,FAC,R R L D D G,R R R D D G,PHI won Off. Zone - ANA #67 RAKELL vs PHI #28 GIROUX,18,19,ANA,PHI
15,1,HIT,C C R D D G,R R R D D G,"ANA #42 MANSON HIT PHI #15 DEL ZOTTO, Neu. Zone",17,54,ANA,PHI
16,1,HIT,C C R D D G,R R R D D G,"PHI #93 VORACEK HIT ANA #47 LINDHOLM, Off. Zone",17,47,ANA,PHI
17,1,HIT,C C R D D G,R R R D D G,"PHI #17 SIMMONDS HIT ANA #47 LINDHOLM, Off. Zone",17,34,ANA,PHI
18,1,GIVE,C C C D D G,R L L D D G,"ANA GIVEAWAY - #16 GARBUTT, Off. Zone",17,21,ANA,PHI
19,1,MISS,C C C D D G,R L L D D G,"PHI #21 LAUGHTON, Wrist, Wide of Net, Off. Zone, 26 ft.",17,15,ANA,PHI
20,1,SHOT,C C C D D G,R L L D D G,"PHI ONGOAL - #32 STREIT, Slap, Off. Zone, 66 ft.",17,02,ANA,PHI
21,1,STOP,C R L D D G,R L L D D G,GOALIE STOPPED,17,02,ANA,PHI
22,1,FAC,C R L D D G,C C L D D G,PHI won Off. Zone - ANA #15 GETZLAF vs PHI #78 BELLEMARE,17,02,ANA,PHI
23,1,HIT,C R L D D G,C C L D D G,"PHI #25 WHITE HIT ANA #24 DESPRES, Off. Zone",16,51,ANA,PHI
24,1,HIT,C R L D D G,C C L D D G,"ANA #29 STEWART HIT PHI #3 GUDAS, Off. Zone",16,42,ANA,PHI
25,1,MISS,C R L D D G,C C L D D G,"ANA #15 GETZLAF, Wrist, Wide of Net, Off. Zone, 49 ft.",16,41,ANA,PHI
26,1,SHOT,C R L D D G,C C L D D G,"ANA ONGOAL - #45 VATANEN, Wrist, Off. Zone, 59 ft.",16,36,ANA,PHI
27,1,SHOT,C R L D D G,C C L D D G,"ANA ONGOAL - #29 STEWART, Wrist, Off. Zone, 6 ft.",16,32,ANA,PHI
28,1,PENL,C R L D D G,C C L D D G,"PHI #3 GUDAS Hooking(2 min), Def. Zone Drawn By: ANA #29 STEWART",16,32,ANA,PHI
