n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C R L D D G,C C R D D G,Period Start- Local time: 7:14 EDT,20,00,TOR,OTT
2,1,FAC,C R L D D G,C C R D D G,OTT won Neu. Zone - TOR #43 KADRI vs OTT #18 O'BRIEN,20,00,TOR,OTT
3,1,HIT,C R L D D G,C C R D D G,"TOR #41 KULEMIN HIT OTT #4 PHILLIPS, Def. Zone",19,45,TOR,OTT
4,1,HIT,C R L D D G,C C R D D G,"OTT #25 NEIL HIT TOR #19 LUPUL, Off. Zone",19,35,TOR,OTT
5,1,HIT,C R L D D G,C C R D D G,"TOR #41 KULEMIN HIT OTT #4 PHILLIPS, Off. Zone",19,27,TOR,OTT
6,1,STOP,C C L D D G,C R L D D G,ICING,19,04,TOR,OTT
7,1,FAC,C C L D D G,C C R D D G,TOR won Def. Zone - TOR #42 BOZAK vs OTT #7 TURRIS,19,04,TOR,OTT
8,1,SHOT,C C L D D G,C C R D D G,"TOR ONGOAL - #21 VAN RIEMSDYK, Wrist, Off. Zone, 53 ft.",18,54,TOR,OTT
9,1,STOP,C C L D D G,C C R D D G,GOALIE STOPPED,18,53,TOR,OTT
10,1,FAC,C C R D D G,C R L D D G,OTT won Def. Zone - TOR #84 GRABOVSKI vs OTT #93 ZIBANEJAD,18,53,TOR,OTT
11,1,BLOCK,C C R D D G,C R L D D G,"TOR #11 MCCLEMENT BLOCKED BY  OTT #46 WIERCIOCH, Wrist, Def. Zone",18,41,TOR,OTT
12,1,SHOT,C C R D D G,C R L D D G,"TOR ONGOAL - #24 LILES, Slap, Off. Zone, 65 ft.",18,32,TOR,OTT
13,1,STOP,C C R D D G,C R L D D G,GOALIE STOPPED,18,31,TOR,OTT
14,1,FAC,C C R D D G,C C R D D G,OTT won Def. Zone - TOR #84 GRABOVSKI vs OTT #7 TURRIS,18,31,TOR,OTT
15,1,PENL,R L L D D G,C C R D D G,OTT #11 ALFREDSSON Hooking(2 min) Drawn By: TOR #53 KOSTKA,17,57,TOR,OTT
16,1,FAC,C C L D D G,C R D D G,TOR won Off. Zone - TOR #21 VAN RIEMSDYK vs OTT #7 TURRIS,17,57,TOR,OTT
17,1,STOP,C C L D D G,C R D D G,OFFSIDE,17,26,TOR,OTT
18,1,FAC,C C R D D G,C R D D G,TOR won Def. Zone - TOR #84 GRABOVSKI vs OTT #33 SILFVERBERG,17,26,TOR,OTT
19,1,HIT,C C R D D G,C R D D G,"OTT #3 METHOT HIT TOR #84 GRABOVSKI, Def. Zone",17,11,TOR,OTT
20,1,GOAL,C C R D D G,C R D D G,"TOR #19 LUPUL(8), Tip-In, Off. Zone, 11 ft.Assists: #43 KADRI(22); #53 KOSTKA(8)",16,57,TOR,OTT
21,1,FAC,C C L D D G,C R L D D G,TOR won Neu. Zone - TOR #42 BOZAK vs OTT #93 ZIBANEJAD,16,57,TOR,OTT
22,1,TAKE,C C L D D G,C R L D D G,"OTT TAKEAWAY - #73 LATENDRESSE, Off. Zone",16,40,TOR,OTT
23,1,HIT,C C L D D G,C R L D D G,"TOR #81 KESSEL HIT OTT #93 ZIBANEJAD, Def. Zone",16,34,TOR,OTT
24,1,BLOCK,C C L D D G,C R L D D G,"TOR #81 KESSEL BLOCKED BY  OTT #73 LATENDRESSE, Wrist, Def. Zone",16,16,TOR,OTT
25,1,BLOCK,C C L D D G,C R L D D G,"TOR #24 LILES BLOCKED BY  OTT #3 METHOT, Snap, Def. Zone",16,08,TOR,OTT
26,1,STOP,C C L D D G,C R L D D G,PUCK IN BENCHES,16,03,TOR,OTT
27,1,FAC,R L L D D G,C R L D D G,OTT won Neu. Zone - TOR #48 HAMILTON vs OTT #15 SMITH,16,03,TOR,OTT
28,1,PENL,R L L D D G,C R L D D G,OTT #28 KASSIAN Fighting (maj)(5 min) Drawn By: TOR #28 ORR,16,01,TOR,OTT
29,1,PENL,R L L D D G,C R D D G,TOR #28 ORR Fighting (maj)(5 min) Drawn By: OTT #28 KASSIAN,16,01,TOR,OTT
30,1,FAC,C C R D D G,C C R D D G,OTT won Def. Zone - TOR #11 MCCLEMENT vs OTT #7 TURRIS,16,01,TOR,OTT
31,1,BLOCK,C C R D D G,C C R D D G,"OTT #68 HOFFMAN BLOCKED BY  TOR #36 GUNNARSSON, Wrist, Def. Zone",15,43,TOR,OTT
32,1,BLOCK,C C R D D G,C C R D D G,"OTT #55 GONCHAR BLOCKED BY  TOR #3 PHANEUF, Wrist, Def. Zone",15,35,TOR,OTT
33,1,SHOT,C C R D D G,C C R D D G,"TOR ONGOAL - #84 GRABOVSKI, Wrist, Off. Zone, 39 ft.",15,30,TOR,OTT
34,1,GIVE,C C R D D G,C C R D D G,"OTT GIVEAWAY - #7 TURRIS, Off. Zone",15,10,TOR,OTT
35,1,HIT,C C R D D G,C C R D D G,"TOR #3 PHANEUF HIT OTT #7 TURRIS, Def. Zone",15,08,TOR,OTT
36,1,SHOT,C R R D D G,C C R D D G,"TOR ONGOAL - #39 FRATTIN, Slap, Off. Zone, 43 ft.",15,00,TOR,OTT
37,1,STOP,C R L D D G,C C R D D G,PUCK IN CROWD,14,48,TOR,OTT
38,1,FAC,C L L D D G,C R L D D G,OTT won Off. Zone - TOR #11 MCCLEMENT vs OTT #15 SMITH,14,48,TOR,OTT
39,1,STOP,C L L D D G,C R L D D G,OFFSIDE,14,39,TOR,OTT
40,1,FAC,C L L D D G,C R L D D G,TOR won Neu. Zone - TOR #11 MCCLEMENT vs OTT #15 SMITH,14,39,TOR,OTT
41,1,HIT,C R L D D G,C R L D D G,"TOR #43 KADRI HIT OTT #62 GRYBA, Off. Zone",13,59,TOR,OTT
42,1,SHOT,C R L D D G,C C R D D G,"TOR ONGOAL - #43 KADRI, Backhand, Off. Zone, 10 ft.",13,46,TOR,OTT
43,1,STOP,C R L D D G,C C R D D G,"GOALIE STOPPED,TV TIMEOUT",13,45,TOR,OTT
44,1,FAC,C C L D D G,C C R D D G,TOR won Off. Zone - TOR #42 BOZAK vs OTT #7 TURRIS,13,45,TOR,OTT
45,1,SHOT,C C L D D G,C C R D D G,"TOR ONGOAL - #21 VAN RIEMSDYK, Tip-In, Off. Zone, 14 ft.",13,39,TOR,OTT
46,1,STOP,C C L D D G,C C R D D G,GOALIE STOPPED,13,37,TOR,OTT
47,1,FAC,C C L D D G,C C R D D G,OTT won Def. Zone - TOR #21 VAN RIEMSDYK vs OTT #7 TURRIS,13,37,TOR,OTT
48,1,HIT,C C L D D G,C C R D D G,"TOR #3 PHANEUF HIT OTT #68 HOFFMAN, Neu. Zone",13,19,TOR,OTT
49,1,SHOT,C C L D D G,C C R D D G,"OTT ONGOAL - #11 ALFREDSSON, Slap, Off. Zone, 44 ft.",13,06,TOR,OTT
50,1,STOP,C C L D D G,C C R D D G,GOALIE STOPPED,13,03,TOR,OTT
51,1,FAC,C C R D D G,C R L D D G,TOR won Def. Zone - TOR #11 MCCLEMENT vs OTT #93 ZIBANEJAD,13,03,TOR,OTT
52,1,TAKE,C C R D D G,C R L D D G,"TOR TAKEAWAY - #11 MCCLEMENT, Neu. Zone",12,46,TOR,OTT
53,1,SHOT,C C R D D G,C R L D D G,"OTT ONGOAL - #73 LATENDRESSE, Backhand, Off. Zone, 9 ft.",12,35,TOR,OTT
54,1,STOP,C C R D D G,C R L D D G,GOALIE STOPPED,12,33,TOR,OTT
55,1,FAC,C L L D D G,C C R D D G,OTT won Off. Zone - TOR #42 BOZAK vs OTT #18 O'BRIEN,12,33,TOR,OTT
56,1,HIT,C L L D D G,C C R D D G,"TOR #45 FRASER HIT OTT #14 GREENING, Def. Zone",12,26,TOR,OTT
57,1,TAKE,C L L D D G,C C R D D G,"TOR TAKEAWAY - #4 FRANSON, Def. Zone",12,25,TOR,OTT
58,1,STOP,C L L D D G,C C R D D G,GOALIE STOPPED,12,18,TOR,OTT
59,1,PENL,C L L D D G,C C R D D G,OTT #14 GREENING Fighting (maj)(5 min) Drawn By: TOR #45 FRASER,12,18,TOR,OTT
60,1,PENL,C L L D D G,C R D D G,TOR #45 FRASER Fighting (maj)(5 min) Drawn By: OTT #14 GREENING,12,18,TOR,OTT
