n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PGSTR,,, ,20,00,NYR,CGY
2,1,PGEND,,, ,20,00,NYR,CGY
3,1,ANTHEM,,, ,20,00,NYR,CGY
4,1,PSTR,C R R D D G,C R L D D G,Period Start- Local time: 7:12 MST,20,00,NYR,CGY
5,1,FAC,C R R D D G,C R L D D G,NYR won Neu. Zone - NYR #13 HAYES vs CGY #11 BACKLUND,20,00,NYR,CGY
6,1,SHOT,C R R D D G,C R L D D G,"NYR ONGOAL - #23 SPOONER, Wrist, Off. Zone, 47 ft.",19,51,NYR,CGY
7,1,STOP,C R R D D G,C R L D D G,PUCK FROZEN,19,51,NYR,CGY
8,1,FAC,C C L D D G,C C L D D G,CGY won Def. Zone - NYR #90 NAMESTNIKOV vs CGY #23 MONAHAN,19,51,NYR,CGY
9,1,GIVE,C C L D D G,C C L D D G,"CGY GIVEAWAY - #13 GAUDREAU, Def. Zone",19,45,NYR,CGY
10,1,PENL,C C L D D G,C C L D D G,"NYR #76 SKJEI Hooking(2 min), Def. Zone Drawn By: CGY #93 BENNETT",19,33,NYR,CGY
11,1,FAC,R R D D G,C L L D D G,CGY won Off. Zone - NYR #13 HAYES vs CGY #23 MONAHAN,19,33,NYR,CGY
12,1,MISS,R R D D G,C L L D D G,"CGY #19 TKACHUK, Tip-In, Over Net, Off. Zone, 10 ft.",19,27,NYR,CGY
13,1,STOP,R R D D G,C L L D D G,PUCK IN NETTING,19,27,NYR,CGY
14,1,FAC,R R D D G,C L L D D G,NYR won Def. Zone - NYR #13 HAYES vs CGY #23 MONAHAN,19,27,NYR,CGY
15,1,BLOCK,R R D D G,C L L D D G,"CGY #13 GAUDREAU BLOCKED BY  NYR #44 PIONK, Wrist, Def. Zone",19,02,NYR,CGY
16,1,STOP,R R D D G,C L L D D G,PUCK IN NETTING,19,02,NYR,CGY
17,1,FAC,C C D D G,C L L D D G,NYR won Def. Zone - NYR #93 ZIBANEJAD vs CGY #23 MONAHAN,19,02,NYR,CGY
18,1,SHOT,C C D D G,C L L D D G,"CGY ONGOAL - #19 TKACHUK, Tip-In, Off. Zone, 7 ft.",18,34,NYR,CGY
19,1,STOP,C C D D G,C L L D D G,GOALIE STOPPED,18,33,NYR,CGY
20,1,FAC,R R D D G,C C R D D G,NYR won Def. Zone - NYR #13 HAYES vs CGY #36 BROUWER,18,33,NYR,CGY
21,1,GIVE,R R D D G,C C R D D G,"NYR GIVEAWAY - #18 STAAL, Def. Zone",18,28,NYR,CGY
22,1,SHOT,R R D D G,C C R D D G,"CGY ONGOAL - #26 STONE, Wrist, Off. Zone, 56 ft.",18,18,NYR,CGY
