n_row,period,event,away_line,home_line,description,minute,second,away_team,home_team
1,1,PSTR,C R R D D G,C C R D D G,Period Start- Local time: 2:15 CST,20,00,PHI,WPG
2,1,FAC,C R R D D G,C C R D D G,PHI won Neu. Zone - PHI #27 TALBOT vs WPG #8 BURMISTROV,20,00,PHI,WPG
3,1,HIT,C R R D D G,C C R D D G,"WPG #22 THORBURN HIT PHI #93 VORACEK, Neu. Zone",19,23,PHI,WPG
4,1,SHOT,C R R D D G,C C R D D G,"PHI ONGOAL - #27 TALBOT, Slap, Off. Zone, 68 ft.",19,20,PHI,WPG
5,1,HIT,C R R D D G,C C R D D G,"WPG #22 THORBURN HIT PHI #27 TALBOT, Def. Zone",19,18,PHI,WPG
6,1,HIT,R L L D D G,C C R D D G,"WPG #8 BURMISTROV HIT PHI #25 CARLE, Def. Zone",19,13,PHI,WPG
7,1,SHOT,C C L D D G,R R L D D G,"WPG ONGOAL - #9 KANE, Wrist, Off. Zone, 35 ft.",18,37,PHI,WPG
8,1,SHOT,C C L D D G,R R L D D G,"WPG ONGOAL - #9 KANE, Wrist, Off. Zone, 29 ft.",18,28,PHI,WPG
9,1,HIT,C C L D D G,R R L D D G,"WPG #26 WHEELER HIT PHI #25 CARLE, Off. Zone",18,24,PHI,WPG
10,1,BLOCK,R L L D D G,C R L D D G,"WPG #18 LITTLE BLOCKED BY  PHI #41 MESZAROS, Slap, Off. Zone",18,00,PHI,WPG
11,1,HIT,R L L D D G,C C L D D G,"PHI #5 COBURN HIT WPG #16 LADD, Off. Zone",17,34,PHI,WPG
12,1,STOP,R L L D D G,C C L D D G,OFFSIDE,17,33,PHI,WPG
13,1,FAC,C R L D D G,C C L D D G,WPG won Neu. Zone - PHI #48 BRIERE vs WPG #80 ANTROPOV,17,33,PHI,WPG
14,1,TAKE,C R L D D G,C C L D D G,"PHI TAKEAWAY - #48 BRIERE, Off. Zone",17,04,PHI,WPG
15,1,SHOT,C R L D D G,C C L D D G,"PHI ONGOAL - #48 BRIERE, Backhand, Off. Zone, 7 ft.",17,01,PHI,WPG
16,1,PENL,C R L D D G,C C R D D G,"PHI TEAM Too many men/ice - bench(2 min) Served By: #29 ZOLNIERCZYK, Neu. Zone",16,38,PHI,WPG
17,1,FAC,C R D D G,C C L D D G,WPG won Off. Zone - PHI #27 TALBOT vs WPG #13 WELLWOOD,16,38,PHI,WPG
18,1,GIVE,C R D D G,C C L D D G,"PHI GIVEAWAY - #44 TIMONEN, Def. Zone",16,30,PHI,WPG
19,1,SHOT,R L D D G,R R L D D G,"WPG ONGOAL - #36 FLOOD, Slap, Off. Zone, 43 ft.",15,34,PHI,WPG
20,1,BLOCK,R L D D G,R R L D D G,"WPG #9 KANE BLOCKED BY  PHI #5 COBURN, Slap, Def. Zone",15,21,PHI,WPG
21,1,SHOT,R L D D G,R R L D D G,"WPG ONGOAL - #33 BYFUGLIEN, Slap, Off. Zone, 62 ft.",15,16,PHI,WPG
